Quarter,Time,Down,ToGo,Location,OAK,IND,Detail,EPB,EPA
2,12:28,2,3,OAK 44,0,7,Vick Ballard right tackle for 7 yards (tackle by Charles Woodson),2.590,3.120
2,12:04,1,10,OAK 37,0,7,Andrew Luck pass complete short right to Reggie Wayne for 13 yards (tackle by Mike Jenkins),3.120,3.970
2,11:22,1,10,OAK 24,0,7,Vick Ballard right end for 4 yards (tackle by Charles Woodson and Nick Roach),3.970,3.970
2,10:52,2,6,OAK 20,0,13,"Andrew Luck pass complete short middle to Dwayne Allen for 20 yards, touchdown",3.970,7.000
2,10:52,,,OAK 2,0,14,Adam Vinatieri kicks extra point good,0.000,0.000
2,10:52,,,IND 35,0,14,"Pat McAfee kicks off 70 yards, returned by Jacoby Ford for 20 yards (tackle by Donald Brown)",0.000,0.220
2,10:42,1,10,OAK 15,0,14,Terrelle Pryor pass incomplete deep middle intended for Rod Streater,-0.220,-0.710
2,10:36,2,10,OAK 15,0,14,Terrelle Pryor pass complete short right to Darren McFadden for 14 yards (tackle by Kelvin Sheppard and Antoine Bethea),-0.710,0.870
2,10:01,1,10,OAK 29,0,14,Darren McFadden left end for 2 yards (tackle by Robert Mathis and Ricardo Mathews),0.870,0.600
2,9:23,2,8,OAK 31,0,14,Terrelle Pryor left end for 9 yards (tackle by Jerrell Freeman),0.600,1.600
2,8:45,1,10,OAK 40,0,14,Terrelle Pryor up the middle for 29 yards (tackle by Antoine Bethea),1.600,3.510
2,8:01,1,10,IND 31,0,14,Darren McFadden left guard for 6 yards (tackle by Kelvin Sheppard),3.510,3.780
2,7:24,2,4,IND 25,0,14,Terrelle Pryor for 13 yards (tackle by Antoine Bethea),3.780,3.780
2,6:38,2,4,IND 25,0,14,Timeout #2 by Oakland Raiders,3.780,4.780
2,6:38,1,10,IND 12,0,14,Terrelle Pryor pass complete short left to Marcel Reece for 9 yards (tackle by LaRon Landry),4.780,5.790
2,6:07,2,1,IND 3,0,14,Rashad Jennings up the middle for 2 yards (tackle by Aubrayo Franklin and LaRon Landry),5.790,6.970
2,5:35,1,1,IND 1,0,14,Rashad Jennings up the middle for no gain (tackle by Cory Redding and Kelvin Sheppard),6.970,5.910
2,4:56,2,1,IND 1,6,14,"Darren McFadden left tackle for 1 yard, touchdown",5.910,7.000
2,4:56,,,IND 2,7,14,Sebastian Janikowski kicks extra point good,0.000,0.000
2,4:56,,,OAK 35,7,14,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,-0.280
2,4:53,1,10,IND 20,7,14,Andrew Luck pass complete short right to T.Y. Hilton for 5 yards (tackle by Tracy Porter),0.280,0.410
2,4:19,2,5,IND 25,7,14,Ahmad Bradshaw up the middle for -3 yards (tackle by Kevin Burnett and Vance Walker),0.410,-0.690
2,3:37,3,8,IND 22,7,14,Andrew Luck pass complete short middle to Ahmad Bradshaw for 7 yards (tackle by Kevin Burnett),-0.690,-1.440
2,2:59,4,1,IND 29,7,14,"Pat McAfee punts 33 yards, out of bounds",-1.440,-1.470
2,2:52,1,10,OAK 38,7,14,Terrelle Pryor pass complete short left to Mychal Rivera for 7 yards (tackle by Vontae Davis),1.470,1.870
2,2:17,2,3,OAK 45,7,14,Darren McFadden left guard for 2 yards (tackle by Ricky Jean-Francois and Cory Redding),1.870,1.420
2,2:00,3,1,OAK 47,7,14,Terrelle Pryor pass incomplete deep right intended for Marcel Reece,1.420,-0.260
2,1:54,4,1,OAK 47,7,14,"Marquette King punts 53 yards, touchback",-0.260,-0.280
2,1:46,1,10,IND 20,7,14,Andrew Luck pass complete short middle to Reggie Wayne for 2 yards (tackle by Lamarr Houston),0.280,0.000
2,1:28,2,8,IND 22,7,14,Andrew Luck sacked by Lamarr Houston for -8 yards,0.000,0.000
2,1:20,2,8,IND 22,7,14,Timeout #2 by Indianapolis Colts,0.000,-2.030
2,1:19,3,16,IND 14,7,14,Andrew Luck pass incomplete deep right intended for Darrius Heyward-Bey,-2.030,-2.470
2,1:14,4,16,IND 14,7,14,"Pat McAfee punts 45 yards, returned by Phillip Adams for 5 yards (tackle by Bjoern Werner)",-2.470,-1.990
2,1:04,1,10,OAK 46,7,14,Terrelle Pryor pass complete short right to Mychal Rivera for 19 yards (tackle by Antoine Bethea),1.990,3.250
2,0:56,1,10,IND 35,7,14,Terrelle Pryor right tackle for -3 yards (tackle by Robert Mathis),3.250,2.300
2,0:29,2,13,IND 38,7,14,Terrelle Pryor pass incomplete short left intended for Denarius Moore,2.300,1.620
2,0:28,3,13,IND 38,7,14,Terrelle Pryor pass complete short left to Brice Butler for 8 yards (tackle by Darius Butler),1.620,1.620
2,0:04,3,13,IND 38,7,14,Timeout #3 by Oakland Raiders,1.620,1.450
2,0:04,4,5,IND 30,7,14,Sebastian Janikowski 48 yard field goal no good,1.450,1.400
Quarter,Time,Down,ToGo,Location,OAK,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,7,14,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,-0.280
3,15:00,1,10,IND 20,7,14,Vick Ballard up the middle for 10 yards (tackle by Tracy Porter and Nick Roach),0.280,0.940
3,14:33,1,10,IND 30,7,14,Andrew Luck for 8 yards (tackle by Mike Jenkins),0.940,1.470
3,14:06,2,2,IND 38,7,14,Andrew Luck pass incomplete short middle intended for Vick Ballard,1.470,0.760
3,14:00,3,2,IND 38,7,14,"Andrew Luck pass incomplete short right intended for T.Y. Hilton. Penalty on Mike Jenkins: Defensive Pass Interference, 6 yards (no play)",0.760,1.860
3,13:58,1,10,IND 44,7,14,Vick Ballard up the middle for 1 yard (tackle by Kaluka Maiava),1.860,1.450
3,13:16,2,9,IND 45,7,14,Andrew Luck pass incomplete deep right intended for Dwayne Allen (defended by Kevin Burnett),1.450,0.760
3,13:12,3,9,IND 45,7,14,Andrew Luck up the middle for 9 yards (tackle by Tracy Porter),0.760,2.520
3,12:26,1,10,OAK 46,7,14,"Andrew Luck pass incomplete short left intended for Dwayne Allen. Penalty on Anthony Castonzo: Face Mask (15 Yards), 15 yards (no play)",2.520,1.530
3,12:19,1,25,IND 39,7,14,Ahmad Bradshaw right end for 2 yards (tackle by Jason Hunter),1.530,0.220
3,11:42,2,23,IND 41,7,14,Andrew Luck sacked by Tracy Porter for -8 yards,0.220,-1.480
3,11:08,3,31,IND 33,7,14,Ahmad Bradshaw up the middle for 13 yards (tackle by Kevin Burnett),-1.480,-0.320
3,10:31,4,18,IND 46,7,14,"Pat McAfee punts 39 yards, fair catch by Phillip Adams",-0.320,0.220
3,10:23,1,10,OAK 15,7,14,Darren McFadden up the middle for 9 yards (tackle by Aubrayo Franklin and LaRon Landry),-0.220,0.620
3,9:50,2,1,OAK 24,7,14,Darren McFadden right tackle for 2 yards (tackle by Erik Walden),0.620,0.670
3,9:08,1,10,OAK 26,7,14,Terrelle Pryor pass incomplete short left intended for Jacoby Ford (defended by LaRon Landry),0.670,0.130
3,9:04,2,10,OAK 26,7,14,Terrelle Pryor left end for 9 yards (tackle by Jerrell Freeman),0.130,0.130
3,8:22,2,10,OAK 26,7,14,Timeout #1 by Oakland Raiders,0.130,0.630
3,8:22,3,1,OAK 35,7,14,Terrelle Pryor right end for 26 yards (tackle by LaRon Landry),0.630,2.980
3,7:54,1,10,IND 39,7,14,"Darren McFadden left end for 5 yards (tackle by LaRon Landry). Penalty on Erik Walden: Illegal Use of Hands, 5 yards",2.980,3.640
3,7:40,1,10,IND 29,7,14,Darren McFadden up the middle for 2 yards (tackle by Ricky Jean-Francois and Ricardo Mathews),3.640,3.370
3,7:00,2,8,IND 27,7,14,Terrelle Pryor up the middle for 2 yards (tackle by Jerrell Freeman and Robert Mathis),3.370,2.940
3,6:14,3,6,IND 25,7,14,Terrelle Pryor right end for 5 yards (tackle by LaRon Landry),2.940,2.270
3,5:46,4,1,IND 20,10,14,Sebastian Janikowski 38 yard field goal good,2.270,3.000
3,5:46,,,OAK 35,10,14,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,-0.280
3,5:42,1,10,IND 20,10,14,Ahmad Bradshaw up the middle for 3 yards (tackle by Jack Crawford),0.280,0.140
3,5:12,2,7,IND 23,10,14,Ahmad Bradshaw left tackle for 10 yards (tackle by Mike Jenkins and Tyvon Branch),0.140,1.140
3,4:32,1,10,IND 33,10,14,Andrew Luck pass complete short right to Reggie Wayne for 15 yards (tackle by Nick Roach),1.140,2.130
3,3:50,1,10,IND 48,10,14,Ahmad Bradshaw right guard for 1 yard (tackle by Vance Walker and Nick Roach),2.130,1.720
3,3:14,2,9,IND 49,10,14,Andrew Luck pass complete short left to Darrius Heyward-Bey for 8 yards (tackle by Nick Roach),1.720,2.080
3,2:43,3,1,OAK 43,10,14,Ahmad Bradshaw up the middle for no gain (tackle by Kevin Burnett and Jason Hunter),2.080,0.400
3,1:57,4,1,OAK 43,10,14,Andrew Luck sacked by Jason Hunter for -13 yards,0.400,-2.650
3,1:50,1,10,IND 44,10,14,Terrelle Pryor pass complete short right to Rod Streater for 8 yards (tackle by Jerrell Freeman),2.650,3.190
3,1:19,2,2,IND 36,10,14,Terrelle Pryor for 6 yards (tackle by Robert Mathis),3.190,3.580
3,0:49,1,10,IND 30,10,14,Darren McFadden up the middle for no gain (tackle by Jerrell Freeman),3.580,3.030
3,0:06,2,10,IND 30,10,14,Terrelle Pryor pass incomplete deep right intended for Darren McFadden,3.030,2.340
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
Quarter,Time,Down,ToGo,Location,OAK,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,IND 30,10,14,Terrelle Pryor pass complete short middle to Denarius Moore for 11 yards (tackle by Greg Toler),2.340,4.310
4,14:20,1,10,IND 19,10,14,Terrelle Pryor pass complete short right to Denarius Moore for no gain,4.310,3.750
4,13:36,2,10,IND 19,10,14,Terrelle Pryor pass complete short middle to Darren McFadden for no gain,3.750,3.030
4,12:51,3,10,IND 19,10,14,Terrelle Pryor pass complete short right to Rod Streater for 17 yards (tackle by Antoine Bethea),3.030,6.740
4,11:56,1,2,IND 2,10,14,Terrelle Pryor pass incomplete short right intended for Denarius Moore (defended by Greg Toler),6.740,5.720
4,11:53,2,2,IND 2,10,14,"Penalty on Terrelle Pryor: Delay of Game, 5 yards (no play)",5.720,4.760
4,11:53,2,7,IND 7,10,14,Darren McFadden up the middle for 2 yards (tackle by LaRon Landry),4.760,4.260
4,11:12,3,5,IND 5,16,14,"Terrelle Pryor pass complete short right to Denarius Moore for 5 yards, touchdown",4.260,7.000
4,11:12,,,IND 2,17,14,Sebastian Janikowski kicks extra point good,0.000,0.000
4,11:12,,,OAK 35,17,14,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,-0.280
4,11:09,1,10,IND 20,17,14,Andrew Luck pass complete short right to Vick Ballard for -5 yards (tackle by Nick Roach),0.280,-1.070
4,10:26,2,15,IND 15,17,14,Vick Ballard up the middle for 7 yards (tackle by Nick Roach),-1.070,-0.690
4,9:46,3,8,IND 22,17,14,Andrew Luck pass complete short left to T.Y. Hilton for 12 yards (tackle by D.J. Hayden),-0.690,1.200
4,9:02,1,10,IND 34,17,14,Vick Ballard up the middle for 3 yards (tackle by Stacy McGee),1.200,1.060
4,8:22,2,7,IND 37,17,14,"Penalty on Lamarr Houston: Neutral Zone Infraction, 5 yards (no play)",1.060,1.740
4,8:00,2,2,IND 42,17,14,Andrew Luck pass incomplete deep right intended for T.Y. Hilton,1.740,1.740
4,7:52,2,2,IND 42,17,14,Timeout #2 by Oakland Raiders,1.740,1.030
4,7:52,3,2,IND 42,17,14,Andrew Luck pass complete short left to Reggie Wayne for 9 yards (tackle by D.J. Hayden),1.030,2.320
4,7:27,1,10,OAK 49,17,14,Andrew Luck pass incomplete deep middle intended for T.Y. Hilton,2.320,1.780
4,7:20,2,10,OAK 49,17,14,"Andrew Luck pass complete short middle to Darrius Heyward-Bey for 9 yards (tackle by Lamarr Houston and Kevin Burnett). Penalty on Kevin Burnett: Unnecessary Roughness, 15 yards",1.780,3.910
4,6:54,1,10,OAK 25,17,14,Vick Ballard up the middle for 3 yards (tackle by Pat Sims and Jason Hunter),3.910,3.770
4,6:15,2,7,OAK 22,17,14,Andrew Luck pass complete short left to T.Y. Hilton for 3 yards (tackle by Tracy Porter),3.770,3.490
4,5:27,3,4,OAK 19,17,20,"Andrew Luck up the middle for 19 yards, touchdown",3.490,7.000
4,5:27,,,OAK 2,17,21,Adam Vinatieri kicks extra point good,0.000,0.000
4,5:27,,,IND 35,17,21,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
4,5:20,1,10,OAK 20,17,21,Terrelle Pryor for 7 yards (tackle by Jerrell Freeman and Antoine Bethea),0.280,0.680
4,4:54,2,3,OAK 27,17,21,Darren McFadden left tackle for 2 yards (tackle by Cory Redding),0.680,0.230
4,4:10,3,1,OAK 29,17,21,Terrelle Pryor pass complete deep left to Jeron Mastrud for 41 yards (tackle by LaRon Landry),0.230,3.580
4,3:38,1,10,IND 30,17,21,"Penalty on Mychal Rivera: Offensive 12 On-field, 5 yards (no play)",3.580,3.250
4,3:38,1,15,IND 35,17,21,Darren McFadden right end for 5 yards (tackle by Jerrell Freeman and Antoine Bethea),3.250,3.030
4,2:54,2,10,IND 30,17,21,Terrelle Pryor left end for 1 yard (tackle by LaRon Landry and Ricky Jean-Francois),3.030,2.480
4,2:02,3,9,IND 29,17,21,Terrelle Pryor pass incomplete short right intended for Darren McFadden. Penalty on Khalif Barnes: Offensive Holding (Declined),2.480,1.500
4,1:57,4,9,IND 29,17,21,Terrelle Pryor pass complete short middle to Denarius Moore for 21 yards (tackle by LaRon Landry and Antoine Bethea),1.500,5.370
4,1:13,1,8,IND 8,17,21,Terrelle Pryor sacked by Robert Mathis for -16 yards,5.370,2.460
4,0:39,2,24,IND 24,17,21,Terrelle Pryor pass incomplete deep left intended for Mychal Rivera,2.460,1.820
4,0:31,3,24,IND 24,17,21,Terrelle Pryor pass incomplete deep right intended for Rod Streater is intercepted by Antoine Bethea at IND-6 and returned for 2 yards,1.820,0.380
4,0:25,1,10,IND 8,17,21,Andrew Luck kneels for no gain,-0.380,-0.380
4,0:20,1,10,IND 8,17,21,Timeout #3 by Oakland Raiders,-0.380,-0.780
4,0:20,2,10,IND 8,17,21,Andrew Luck kneels for -1 yards,-0.780,-1.540
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
