Unnamed: 0,CHI,NOR
First Downs,15,15
Rush-Yds-TDs,32-183-1,33-133-1
Cmp-Att-Yd-TD-INT,12-26-137-1-2,16-26-170-1-2
Sacked-Yards,2-6,3-20
Net Pass Yards,131,150
Total Yards,314,283
Fumbles-Lost,1-1,2-2
Turnovers,3,4
Penalties-Yards,8-60,6-70
Third Down Conv.,4-15,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,26:18,33:42
