Quarter,Time,Down,ToGo,Location,CHI,NOR,Detail,EPB,EPA
1,8:47,2,10,CHI 20,0,3,"Aaron Brooks pass complete to Aaron Stecker for 7 yards (tackle by Lance Briggs). Aaron Stecker fumbles (forced by Lance Briggs), recovered by Chris Harris at CHI-13 and returned for 49 yards (tackle by Donte' Stallworth)",3.690,-3.050
,,,,,,,"NOR challenged the ruling, and the play was upheld.",,
1,8:32,1,10,NOR 38,0,3,"Kyle Orton pass incomplete intended for Muhsin Muhammad (defended by Mike McKenzie). Penalty on Mike McKenzie: Defensive Pass Interfere, 12 yards (no play)",3.050,3.840
1,8:28,1,10,NOR 26,0,3,Thomas Jones right guard for 3 yards (tackle by Darren Howard),3.840,3.700
1,8:00,2,7,NOR 23,0,3,Kyle Orton pass incomplete intended for Muhsin Muhammad,3.700,3.010
1,7:48,,,,0,3,Timeout #1 by Chicago Bears,0.000,3.010
1,7:48,3,7,NOR 23,0,3,Thomas Jones up the middle for 15 yards (tackle by Josh Bullocks),3.010,5.370
1,7:13,1,8,NOR 8,0,3,Kyle Orton pass incomplete intended for Muhsin Muhammad (defended by Mike McKenzie),5.370,4.570
1,7:09,2,8,NOR 8,0,3,Thomas Jones right end for 4 yards (tackle by Josh Bullocks),4.570,4.490
1,6:31,3,4,NOR 4,6,3,"Kyle Orton pass complete to Justin Gage for 4 yards, touchdown",4.490,7.000
1,,,,NOR 2,7,3,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,7,3,"Robbie Gould kicks off 62 yards, returned by Aaron Stecker for 21 yards (tackle by Brendon Ayanbadejo)",0.000,0.870
1,6:19,1,10,NOR 29,7,3,Aaron Brooks pass complete to Antowain Smith for 2 yards (tackle by Hunter Hillenmeyer),0.870,0.600
1,5:40,2,8,NOR 31,7,3,Aaron Brooks left end for -6 yards (tackle by Chris Harris),0.600,-0.890
1,5:20,3,14,NOR 25,7,3,Aaron Brooks pass incomplete intended for Nate Poole (defended by Lance Briggs),-0.890,-1.700
1,5:02,4,14,NOR 25,7,3,"Mitch Berger punts 36 yards, fair catch by Bobby Wade",-1.700,-1.530
1,4:54,1,10,CHI 39,7,3,"Penalty on Desmond Clark: False Start, 5 yards (no play)",1.530,1.200
1,4:40,1,15,CHI 34,7,3,Thomas Jones right guard for 2 yards (tackle by Colby Bockwoldt and Sedrick Hodge),1.200,0.580
1,4:19,2,13,CHI 36,7,3,Kyle Orton pass complete to Desmond Clark for 10 yards (tackle by Colby Bockwoldt and Fred Thomas),0.580,1.220
1,3:39,3,3,CHI 46,7,3,Kyle Orton pass incomplete intended for Justin Gage,1.220,-0.320
1,3:27,4,3,CHI 46,7,3,"Brad Maynard punts 45 yards. Penalty on Jason Craft: Illegal Block Above the , 5 yards",-0.320,0.380
1,3:27,1,10,NOR 5,7,3,Aaron Stecker left end for 11 yards (tackle by Israel Idonije),-0.380,-0.140
1,2:46,1,10,NOR 16,7,3,Aaron Stecker left end for 3 yards (tackle by Israel Idonije),-0.140,-0.180
1,2:09,2,7,NOR 19,7,3,Aaron Stecker left end for 3 yards (tackle by Hunter Hillenmeyer),-0.180,-0.570
1,1:45,3,4,NOR 22,7,3,Aaron Brooks pass complete to Donte' Stallworth for 16 yards (tackle by Nathan Vasher),-0.570,1.470
1,1:00,1,10,NOR 38,7,3,Antowain Smith right end for 3 yards (tackle by Lance Briggs),1.470,1.330
1,0:30,2,7,NOR 41,7,3,Aaron Brooks pass complete to Lamont Hall for 6 yards (tackle by Lance Briggs and Brian Urlacher),1.330,1.420
Quarter,Time,Down,ToGo,Location,CHI,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NOR 47,7,3,Antowain Smith up the middle for 4 yards (tackle by Michael Green),1.420,2.320
2,14:30,1,10,CHI 49,7,3,Antowain Smith left tackle for 19 yards (tackle by Michael Green),2.320,3.580
2,14:12,1,10,CHI 30,7,3,Aaron Stecker right tackle for no gain (tackle by Brian Urlacher and Lance Briggs),3.580,3.030
2,13:46,2,10,CHI 30,7,3,Aaron Stecker right guard for 2 yards (tackle by Chris Harris),3.030,2.610
2,13:02,3,8,CHI 28,7,3,Aaron Brooks pass complete to Joe Horn for 8 yards (tackle by Jerry Azumah),2.610,4.240
2,12:22,1,10,CHI 20,7,3,Antowain Smith left guard for 2 yards (tackle by Brian Urlacher and Ian Scott),4.240,3.960
2,11:55,2,8,CHI 18,7,3,Aaron Brooks pass complete to Zachary Hilton for 3 yards (tackle by Lance Briggs),3.960,3.700
2,10:04,3,5,CHI 15,7,9,"Aaron Brooks pass complete to Donte' Stallworth for 15 yards, touchdown",3.700,7.000
2,,,,CHI 2,7,10,John Carney kicks extra point good,0.000,0.000
2,,,,NOR 30,7,10,"Mitch Berger kicks off 70 yards, touchback",0.000,0.280
2,9:57,1,10,CHI 20,7,10,Kyle Orton pass complete to Thomas Jones for -6 yards (tackle by Colby Bockwoldt),0.280,-1.180
2,9:29,2,16,CHI 14,7,10,Kyle Orton pass complete to Muhsin Muhammad for 30 yards (tackle by Fakhir Brown),-1.180,1.860
2,8:48,1,10,CHI 44,7,10,"Kyle Orton sacked by Dwight Smith for -5 yards. Kyle Orton fumbles (forced by Dwight Smith), recovered by Willie Whitehead at CHI-39 (tackle by Roberto Garza)",1.860,-2.980
2,8:41,1,10,CHI 39,7,10,Aaron Brooks pass incomplete intended for Lamont Hall is intercepted by Hunter Hillenmeyer at CHI-38,2.980,-1.470
2,8:34,1,10,CHI 38,7,10,Thomas Jones right guard for 4 yards (tackle by Ronald McKinnon and Sedrick Hodge),1.470,1.460
2,8:00,2,6,CHI 42,7,10,Thomas Jones right guard for -1 yards (tackle by Colby Bockwoldt),1.460,0.630
2,7:18,3,7,CHI 41,7,10,Kyle Orton pass incomplete intended for Justin Gage is intercepted by Dwight Smith at NOR-33 and returned for 25 yards,0.630,-2.790
2,7:06,1,10,CHI 42,7,10,Antowain Smith right tackle for 5 yards (tackle by Lance Briggs),2.790,2.920
2,6:45,2,5,CHI 37,7,10,Antowain Smith right tackle for 1 yard (tackle by Lance Briggs),2.920,2.340
2,6:15,3,4,CHI 36,7,10,"Aaron Brooks pass complete to Joe Horn for 18 yards (tackle by Brian Urlacher). Penalty on Wayne Gandy: Offensive Holding, 10 yards (no play)",2.340,1.030
2,5:55,3,14,CHI 46,7,10,Aaron Brooks pass incomplete intended for Aaron Stecker,1.030,0.200
2,5:15,4,14,CHI 46,7,10,"Mitch Berger punts 46 yards, touchback. Penalty on Kevin Houser: Offensive Holding, 10 yards (no play)",0.200,-0.460
2,5:03,4,24,NOR 44,7,10,"Mitch Berger punts 46 yards, returned by Bobby Wade for 15 yards (tackle by Fred McAfee)",-0.460,-0.610
2,4:52,1,10,CHI 25,7,10,Thomas Jones right tackle for 1 yard (tackle by Ronald McKinnon),0.610,0.200
2,4:19,2,9,CHI 26,7,10,Thomas Jones left end for 2 yards (tackle by Josh Bullocks),0.200,-0.230
2,3:54,3,7,CHI 28,7,10,"Penalty on Roberto Garza: False Start, 5 yards (no play)",-0.230,-0.890
2,3:41,3,12,CHI 23,7,10,Thomas Jones right guard for 4 yards (tackle by Sedrick Hodge),-0.890,-1.570
2,3:18,,,,7,10,Timeout #2 by New Orleans Saints,0.000,-1.570
2,3:17,4,8,CHI 27,7,10,"Brad Maynard punts 50 yards, returned by Az-Zahir Hakim for 7 yards (tackle by Adrian Peterson)",-1.570,-0.940
2,3:07,1,10,NOR 30,7,10,Aaron Stecker right guard for 2 yards (tackle by Lance Briggs),0.940,0.660
2,2:31,2,8,NOR 32,7,10,Aaron Brooks sacked by Adewale Ogunleye for -3 yards,0.660,-0.430
2,2:23,,,,7,10,Timeout #2 by Chicago Bears,0.000,-0.430
2,2:23,3,11,NOR 29,7,10,Aaron Brooks sacked by Chris Harris for -6 yards,-0.430,-1.830
2,1:59,4,17,NOR 23,7,10,"Mitch Berger punts 39 yards, returned by Bobby Wade for 3 yards (tackle by Fred McAfee). Penalty on Adrian Peterson: Illegal Block Above the , 10 yards",-1.830,-1.000
2,1:49,1,10,CHI 31,7,10,Kyle Orton pass complete to Bobby Wade for 8 yards (tackle by Mike McKenzie and Fred Thomas),1.000,1.540
2,1:40,2,2,CHI 39,7,10,Kyle Orton pass complete to Justin Gage for 4 yards (tackle by Fakhir Brown),1.540,1.800
2,1:35,1,10,CHI 43,7,10,Kyle Orton pass incomplete intended for Justin Gage,1.800,1.250
2,1:15,2,10,CHI 43,7,10,Kyle Orton pass incomplete intended for Muhsin Muhammad,1.250,0.560
2,1:07,3,10,CHI 43,7,10,Kyle Orton pass complete to Muhsin Muhammad for 33 yards (tackle by Fred Thomas),0.560,3.970
2,0:38,1,10,NOR 24,7,10,Kyle Orton pass complete to Justin Gage for 7 yards (tackle by Fakhir Brown),3.970,4.460
2,0:37,2,3,NOR 17,7,10,Kyle Orton pass incomplete intended for Desmond Clark,4.460,3.750
2,0:30,3,3,NOR 17,7,10,Kyle Orton pass incomplete intended for Justin Gage,3.750,2.410
2,0:27,,,,7,10,Timeout #3 by New Orleans Saints,0.000,2.410
2,0:27,4,3,NOR 17,10,10,Robbie Gould 35 yard field goal good,2.410,3.000
2,,,,CHI 30,10,10,"Robbie Gould kicks off 64 yards, returned by Aaron Stecker for 24 yards (tackle by Leon Joe)",0.000,0.940
2,0:14,1,10,NOR 30,10,10,Aaron Brooks kneels for -1 yards,0.940,0.260
Quarter,Time,Down,ToGo,Location,CHI,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 30,10,10,"Mitch Berger kicks off 63 yards, returned by Jerry Azumah for 19 yards (tackle by Steve Gleason)",0.000,0.670
3,14:40,1,10,CHI 26,10,10,Cedric Benson left guard for 1 yard (tackle by Brian Young),0.670,0.270
3,14:14,2,9,CHI 27,10,10,Kyle Orton pass incomplete intended for Muhsin Muhammad,0.270,-0.430
3,13:50,3,9,CHI 27,10,10,Kyle Orton pass complete to Adrian Peterson for 3 yards (tackle by Sedrick Hodge),-0.430,-1.370
3,13:35,4,6,CHI 30,10,10,Brad Maynard punts 47 yards,-1.370,-0.480
3,13:27,1,10,NOR 23,10,10,"Antowain Smith right tackle for -3 yards (tackle by Tommie Harris). Antowain Smith fumbles (forced by Tommie Harris), recovered by Michael Green at NOR-20 (tackle by Jammal Brown)",0.480,-4.240
3,13:23,1,10,NOR 20,10,10,Kyle Orton pass incomplete intended for Muhsin Muhammad (defended by Fred Thomas),4.240,3.690
3,13:17,2,10,NOR 20,10,10,Cedric Benson right end for 1 yard (tackle by Charles Grant),3.690,3.100
3,13:00,3,9,NOR 19,10,10,"Kyle Orton pass incomplete. Penalty on Kyle Orton: Intentional Grounding, 10 yards",3.100,1.500
3,12:44,4,19,NOR 29,10,10,Robbie Gould 47 yard field goal no good,1.500,-1.400
3,12:29,1,10,NOR 37,10,10,Antowain Smith right guard for no gain (tackle by Alfonso Boone),1.400,0.860
3,11:51,2,10,NOR 37,10,10,Aaron Brooks pass complete to Antowain Smith for 5 yards (tackle by Lance Briggs),0.860,0.830
3,11:08,3,5,NOR 42,10,10,Aaron Brooks pass incomplete intended for Donte' Stallworth (defended by Charles Tillman),0.830,-0.590
3,11:04,4,5,NOR 42,10,10,"Mitch Berger punts 54 yards, returned by Bobby Wade for 8 yards (tackle by Fred McAfee). Penalty on Israel Idonije: Illegal Block Above the , 6 yards",-0.590,0.380
3,10:51,1,10,CHI 6,10,10,Cedric Benson left tackle for 2 yards (tackle by Ronald McKinnon and Fred Thomas),-0.380,-0.630
3,10:20,2,8,CHI 8,10,10,"Penalty on John Tait: False Start, 4 yards (no play)",-0.630,-0.930
3,10:02,2,12,CHI 4,10,10,"Kyle Orton pass incomplete intended for Muhsin Muhammad is intercepted by Josh Bullocks at CHI-44. Penalty on Mike McKenzie: Defensive Pass Interfere, 28 yards (no play)",-0.930,1.070
3,9:45,1,10,CHI 32,10,10,Adrian Peterson right end for 9 yards (tackle by Tony Bryant),1.070,1.740
3,9:15,2,1,CHI 41,10,10,Cedric Benson left tackle for 4 yards (tackle by Willie Whitehead and Ronald McKinnon),1.740,1.930
3,8:40,1,10,CHI 45,10,10,Kyle Orton pass complete to Justin Gage for 13 yards (tackle by Fred Thomas),1.930,2.790
3,8:10,1,10,NOR 42,10,10,Adrian Peterson left tackle for 36 yards (tackle by Fakhir Brown and Tony Bryant),2.790,5.830
3,7:40,1,6,NOR 6,16,10,"Adrian Peterson left tackle for 6 yards, touchdown",5.830,7.000
3,,,,NOR 2,17,10,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,17,10,"Robbie Gould kicks off 68 yards, returned by Aaron Stecker for 20 yards (tackle by Michael Green)",0.000,0.410
3,7:22,1,10,NOR 22,17,10,Aaron Stecker right tackle for 1 yard (tackle by Hunter Hillenmeyer),0.410,0.000
3,6:44,2,9,NOR 23,17,10,Aaron Brooks pass complete to Mike Karney for 3 yards (tackle by Nathan Vasher),0.000,-0.290
3,6:01,3,6,NOR 26,17,10,Aaron Brooks pass incomplete,-0.290,-1.630
3,5:54,4,6,NOR 26,17,10,"Mitch Berger punts 40 yards, returned by Bobby Wade for 9 yards (tackle by Fred McAfee)",-1.630,-1.800
3,5:45,1,10,CHI 43,17,10,Cedric Benson left end for 3 yards (tackle by Ronald McKinnon),1.800,1.660
3,5:12,2,7,CHI 46,17,10,Kyle Orton pass incomplete intended for Muhsin Muhammad,1.660,0.960
3,5:05,3,7,CHI 46,17,10,Kyle Orton sacked by Tony Bryant for -1 yards,0.960,-0.390
3,4:32,4,8,CHI 45,17,10,"Brad Maynard punts 45 yards, fair catch by Az-Zahir Hakim",-0.390,0.380
3,4:23,1,10,NOR 10,17,10,Antowain Smith left tackle for 3 yards (tackle by Mike Brown),-0.380,-0.560
3,3:46,2,7,NOR 13,17,10,Aaron Brooks pass incomplete intended for Joe Horn (defended by Ian Scott),-0.560,-1.070
3,3:41,3,7,NOR 13,17,10,Aaron Brooks pass complete to Nate Poole for 42 yards (tackle by Chris Harris),-1.070,2.590
3,3:11,1,10,CHI 45,17,10,Aaron Brooks sacked by Hunter Hillenmeyer for -11 yards,2.590,0.560
3,2:31,2,21,NOR 44,17,10,Aaron Brooks pass incomplete (defended by Adewale Ogunleye),0.560,-0.100
3,2:24,3,21,NOR 44,17,10,Aaron Brooks pass complete to Aaron Stecker for 10 yards (tackle by Lance Briggs),-0.100,0.200
3,1:46,4,11,CHI 46,17,10,"Mitch Berger punts 36 yards, fair catch by Bobby Wade",0.200,0.380
3,1:40,1,10,CHI 10,17,10,Cedric Benson right guard for 36 yards (tackle by Fakhir Brown),-0.380,1.990
3,0:55,1,10,CHI 46,17,10,Cedric Benson right guard for 3 yards (tackle by Brian Young and Charles Grant),1.990,1.860
3,0:20,2,7,CHI 49,17,10,Adrian Peterson left guard for -2 yards (tackle by Tony Bryant),1.860,0.890
Quarter,Time,Down,ToGo,Location,CHI,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,CHI 47,17,10,Kyle Orton right guard for 6 yards (tackle by Courtney Watson),0.890,0.130
4,14:21,4,3,NOR 47,17,10,"Brad Maynard punts 47 yards, touchback",0.130,-0.280
4,14:16,1,10,NOR 20,17,10,Aaron Stecker right end for 2 yards (tackle by Michael Green),0.280,0.000
4,13:34,2,8,NOR 22,17,10,"Aaron Stecker left guard for 9 yards (tackle by Tank Johnson). Penalty on Israel Idonije: Face Mask (15 Yards), 15 yards",0.000,1.990
4,13:08,1,10,NOR 46,17,10,Aaron Stecker left guard for -2 yards (tackle by Adewale Ogunleye),1.990,1.180
4,12:29,2,12,NOR 44,17,10,Aaron Brooks pass complete to Donte' Stallworth for 6 yards (tackle by Nathan Vasher),1.180,1.290
4,11:50,3,6,NOR 50,17,10,Aaron Brooks pass complete to Zachary Hilton for 10 yards (tackle by Lance Briggs),1.290,2.920
4,11:13,1,10,CHI 40,17,10,Antowain Smith right end for 5 yards (tackle by Brian Urlacher and Charles Tillman),2.920,3.050
4,10:36,2,5,CHI 35,17,10,Aaron Brooks pass complete to Joe Horn for 19 yards (tackle by Charles Tillman),3.050,4.510
4,9:51,1,10,CHI 16,17,10,Antowain Smith left tackle for 14 yards (tackle by Chris Harris and Mike Brown),4.510,6.740
4,9:08,1,2,CHI 2,17,10,Antowain Smith left guard for no gain (tackle by Todd Johnson and Tank Johnson),6.740,5.720
4,8:31,2,2,CHI 2,17,10,Antowain Smith left guard for 1 yard (tackle by Tank Johnson),5.720,5.170
4,7:52,3,1,CHI 1,17,16,"Aaron Brooks right end for 1 yard, touchdown",5.170,7.000
4,,,,CHI 2,17,17,John Carney kicks extra point good,0.000,0.000
4,,,,NOR 30,17,17,"Mitch Berger kicks off 68 yards, returned by Jerry Azumah for 18 yards (tackle by Mel Mitchell)",0.000,0.280
4,7:39,1,10,CHI 20,17,17,Kyle Orton pass incomplete,0.280,-0.270
4,7:33,2,10,CHI 20,17,17,Cedric Benson right tackle for no gain (tackle by Brian Young and Will Smith),-0.270,-0.960
4,6:53,3,10,CHI 20,17,17,Kyle Orton pass complete to Marc Edwards for 9 yards (tackle by Fred Thomas),-0.960,-1.440
4,6:32,4,1,CHI 29,17,17,Brad Maynard punts 59 yards,-1.440,0.350
4,6:17,1,10,NOR 12,17,17,Aaron Stecker left tackle for -1 yards (tackle by Alex Brown),-0.350,-0.850
4,5:38,2,11,NOR 11,17,17,Aaron Brooks pass complete to Az-Zahir Hakim for 10 yards (tackle by Nathan Vasher),-0.850,-0.370
4,4:59,3,1,NOR 21,17,17,Aaron Stecker left end for -1 yards (tackle by Lance Briggs),-0.370,-2.030
4,4:20,4,2,NOR 20,17,17,Mitch Berger punts 55 yards,-2.030,-0.610
4,4:08,1,10,CHI 25,17,17,Cedric Benson left end for 27 yards (tackle by Dwight Smith),0.610,2.390
4,3:27,1,10,NOR 48,17,17,"Cedric Benson left end for no gain (tackle by Ronald McKinnon). Penalty on Brian Young: Defensive Offside, 5 yards (no play)",2.390,3.120
4,3:21,1,5,NOR 43,17,17,Cedric Benson left end for 4 yards (tackle by Willie Whitehead and Colby Bockwoldt),3.120,3.060
4,2:48,2,1,NOR 39,17,17,Cedric Benson right guard for 2 yards (tackle by Dwight Smith),3.060,3.120
4,2:05,1,10,NOR 37,17,17,Cedric Benson left guard for -1 yards (tackle by Darren Howard and Colby Bockwoldt),3.120,2.440
4,1:59,2,11,NOR 38,17,17,Adrian Peterson right tackle for 6 yards (tackle by Mike McKenzie and Brian Young),2.440,2.540
4,1:52,,,,17,17,Timeout #2 by New Orleans Saints,0.000,2.540
4,1:52,3,5,NOR 32,17,17,Kyle Orton pass complete to Muhsin Muhammad for 22 yards,2.540,4.910
4,1:43,1,10,NOR 10,17,17,Cedric Benson left guard for 1 yard (tackle by Brian Young),4.910,4.380
4,1:41,,,,17,17,Timeout #3 by New Orleans Saints,0.000,4.380
4,1:00,2,9,NOR 9,17,17,Cedric Benson left end for -4 yards (tackle by Colby Bockwoldt),4.380,3.060
4,0:54,,,,17,17,Timeout #1 by Chicago Bears,0.000,3.060
4,0:54,3,13,NOR 13,17,17,Adrian Peterson right guard for 3 yards (tackle by Ronald McKinnon),3.060,2.760
4,0:10,,,,17,17,Timeout #2 by Chicago Bears,0.000,2.760
4,0:10,4,10,NOR 10,20,17,Robbie Gould 28 yard field goal good,2.760,3.000
4,,,,CHI 30,20,17,Robbie Gould kicks off 35 yards,0.000,1.270
4,0:04,1,10,NOR 35,20,17,Aaron Brooks pass incomplete intended for Az-Zahir Hakim is intercepted by Nathan Vasher at CHI-37 and returned for 5 yards,1.270,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
