Quarter,Time,Tm,Detail,CHI,NOR
1.0,12:18,Saints,John Carney 22 yard field goal,0,3
,6:26,Bears,Justin Gage 4 yard pass from Kyle Orton (Robbie Gould kick),7,3
2.0,9:57,Saints,Donte' Stallworth 15 yard pass from Aaron Brooks (John Carney kick),7,10
,0:22,Bears,Robbie Gould 35 yard field goal,10,10
3.0,7:29,Bears,Adrian Peterson 6 yard rush (Robbie Gould kick),17,10
4.0,7:44,Saints,Aaron Brooks 1 yard rush (John Carney kick),17,17
,0:06,Bears,Robbie Gould 28 yard field goal,20,17
