Unnamed: 0,DET,BAL
First Downs,18,23
Rush-Yds-TDs,14-84-1,27-146-2
Cmp-Att-Yd-TD-INT,33-53-284-0-1,21-28-357-3-0
Sacked-Yards,5-31,0-0
Net Pass Yards,253,357
Total Yards,337,503
Fumbles-Lost,2-0,1-1
Turnovers,1,1
Penalties-Yards,5-57,4-45
Third Down Conv.,5-16,4-8
Fourth Down Conv.,2-6,1-1
Time of Possession,29:38,30:22
