Quarter,Time,Tm,Detail,MIA,DET
1.0,11:11,Lions,Dan Campbell 2 yard pass from Jon Kitna (Jason Hanson kick),0,7
,6:23,Lions,Jason Hanson 52 yard field goal,0,10
,2:37,Dolphins,Marty Booker 8 yard pass from Joey Harrington (Olindo Mare kick),7,10
2.0,1:55,Dolphins,Randy McMichael 5 yard pass from Joey Harrington (Olindo Mare kick),14,10
3.0,11:49,Dolphins,Olindo Mare 42 yard field goal,17,10
,4:17,Dolphins,Marty Booker 19 yard pass from Joey Harrington (Olindo Mare kick),24,10
4.0,11:44,Dolphins,Olindo Mare 28 yard field goal,27,10
