Unnamed: 0,MIA,DET
First Downs,18,13
Rush-Yds-TDs,35-186-0,10-21-0
Cmp-Att-Yd-TD-INT,19-29-213-3-1,22-40-252-1-1
Sacked-Yards,1-4,8-53
Net Pass Yards,209,199
Total Yards,395,220
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,11-100,7-55
Third Down Conv.,7-14,2-12
Fourth Down Conv.,0-0,0-2
Time of Possession,34:04,25:56
