Quarter,Time,Down,ToGo,Location,MIA,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 68 yards, returned by Aveion Cason for 40 yards (tackle by Michael Lehan)",0.000,1.730
1,14:53,1,10,DET 42,0,0,Jon Kitna pass incomplete short right intended for Cory Schlesinger (defended by Zach Thomas),1.730,1.190
1,14:47,2,10,DET 42,0,0,Jon Kitna pass complete deep right to Roy Williams for 41 yards (tackle by Yeremiah Bell),1.190,4.440
1,14:02,1,10,MIA 17,0,0,Arlen Harris left end for 2 yards (tackle by Kevin Carter),4.440,4.150
1,13:18,2,8,MIA 15,0,0,Jon Kitna pass complete short left to Roy Williams for 9 yards (tackle by Channing Crowder),4.150,5.830
1,12:37,1,6,MIA 6,0,0,Jon Kitna pass complete short right to Dan Campbell for 4 yards (tackle by Vonnie Holliday),5.830,5.720
1,11:55,2,2,MIA 2,0,0,Arlen Harris right tackle for no gain (tackle by Keith Traylor),5.720,4.950
1,11:16,3,2,MIA 2,0,6,"Jon Kitna pass complete short middle to Dan Campbell for 2 yards, touchdown",4.950,7.000
1,,,,MIA 2,0,7,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,0,7,"Jason Hanson kicks off 61 yards, returned by Wes Welker for 12 yards (tackle by Donte Curry)",0.000,0.340
1,11:02,,,,0,7,Timeout #1 by Detroit Lions,0.000,0.340
1,11:02,1,10,MIA 21,0,7,"Penalty on Vernon Carey: False Start, 5 yards (no play)",0.340,-0.220
1,11:02,1,15,MIA 16,0,7,Joey Harrington pass complete short right to Marty Booker for 8 yards (tackle by Terrence Holt and Fernando Bryant),-0.220,0.210
1,10:26,2,7,MIA 24,0,7,Ronnie Brown left tackle for 3 yards (tackle by Ernie Sims),0.210,-0.100
1,9:47,3,4,MIA 27,0,7,Joey Harrington pass incomplete short middle intended for Randy McMichael (defended by Jon McGraw),-0.100,-1.570
