Quarter,Time,Down,ToGo,Location,NYJ,MIA,Detail,EPB,EPA
1,4:53,1,10,MIA 21,0,7,"Mark Sanchez pass incomplete deep middle intended for Dustin Keller. Penalty on Yeremiah Bell: Defensive Pass Interfere, 15 yards (no play)",4.170,5.830
1,4:47,1,6,MIA 6,0,7,Thomas Jones right guard for 3 yards (tackle by Gibril Wilson),5.830,5.530
1,4:01,2,3,MIA 3,0,7,Mark Sanchez pass incomplete short right intended for Brad Smith,5.530,4.720
1,3:57,,,,0,7,Timeout #1 by Miami Dolphins,0.000,4.720
1,3:57,3,3,MIA 3,6,7,"Mark Sanchez pass complete short middle to Braylon Edwards for 3 yards, touchdown",4.720,7.000
1,,,,MIA 2,7,7,Jay Feely kicks extra point good,0.000,0.000
1,,,,NYJ 30,7,7,"Jay Feely kicks off 72 yards, returned by Patrick Cobbs for 23 yards (tackle by Larry Izzo)",0.000,0.340
1,3:46,1,10,MIA 21,7,7,Chad Henne pass complete short left to Ricky Williams for 3 yards (tackle by Bart Scott),0.340,0.210
1,3:08,2,7,MIA 24,7,7,Chad Henne pass complete short middle to Ricky Williams for 59 yards (tackle by Darrelle Revis),0.210,4.440
1,2:25,1,10,NYJ 17,7,7,Ronnie Brown left tackle for 1 yard (tackle by Sione Pouha),4.440,4.000
1,1:45,,,,7,7,Timeout #2 by Miami Dolphins,0.000,4.000
1,1:45,2,9,NYJ 16,7,7,Chad Henne pass incomplete short right intended for Ronnie Brown,4.000,3.190
1,1:39,3,9,NYJ 16,7,7,Chad Henne pass complete short right to Ronnie Brown for -1 yards (tackle by Jim Leonhard),3.190,2.310
1,1:02,4,10,NYJ 17,7,10,Dan Carpenter 35 yard field goal good,2.310,3.000
1,,,,MIA 30,7,10,"Dan Carpenter kicks off 70 yards, returned by Leon Washington for 28 yards (tackle by Reggie Torbor). Penalty on Shonn Greene: Offensive Holding, 10 yards",0.000,0.040
1,0:50,1,10,NYJ 18,7,10,Thomas Jones middle for 5 yards (tackle by Paul Soliai),0.040,0.280
1,0:10,2,5,NYJ 23,7,10,Thomas Jones left guard for 4 yards (tackle by Channing Crowder),0.280,-0.020
Quarter,Time,Down,ToGo,Location,NYJ,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NYJ 27,7,10,Mark Sanchez right guard for 2 yards (tackle by Channing Crowder),-0.020,0.870
2,14:24,1,10,NYJ 29,7,10,Thomas Jones right end for 1 yard (tackle by Jason Taylor and Sean Smith),0.870,0.460
2,13:42,2,9,NYJ 30,7,10,Mark Sanchez sacked by Randy Starks for -1 yards,0.460,-0.360
2,13:05,3,10,NYJ 29,7,10,"Mark Sanchez pass incomplete deep middle intended for Braylon Edwards (defended by Gibril Wilson). Penalty on Will Allen: Illegal Contact, 4 yards (no play)",-0.360,1.140
2,12:58,1,10,NYJ 33,7,10,Leon Washington middle for 9 yards (tackle by Gibril Wilson and Yeremiah Bell),1.140,1.810
2,12:15,2,1,NYJ 42,7,10,Leon Washington right tackle for 3 yards (tackle by Yeremiah Bell),1.810,1.930
2,11:35,1,10,NYJ 45,7,10,Mark Sanchez pass incomplete short right intended for Thomas Jones,1.930,1.380
2,11:29,2,10,NYJ 45,7,10,Thomas Jones middle for -1 yards (tackle by Jason Ferguson and Yeremiah Bell),1.380,0.560
2,10:45,3,11,NYJ 44,7,10,Mark Sanchez pass incomplete short left intended for Dustin Keller,0.560,-0.460
2,10:40,4,11,NYJ 44,7,10,"Steve Weatherford punts 56 yards, touchback",-0.460,-0.280
2,10:30,1,10,MIA 20,7,10,Ronnie Brown left tackle for 13 yards (tackle by Shaun Ellis and Jim Leonhard),0.280,1.140
2,9:49,1,10,MIA 33,7,10,Ricky Williams right guard for 6 yards (tackle by Mike DeVito),1.140,1.400
2,9:07,2,4,MIA 39,7,10,Ricky Williams left guard for -5 yards (tackle by Kris Jenkins),1.400,0.040
2,8:28,3,9,MIA 34,7,10,Chad Henne pass incomplete short middle intended for Brian Hartline (defended by Kerry Rhodes),0.040,-1.110
2,8:21,4,9,MIA 34,7,10,"Brandon Fields punts 54 yards, returned by Jim Leonhard for 9 yards (tackle by Charlie Anderson)",-1.110,-0.340
2,8:11,1,10,NYJ 21,7,10,"Penalty on Damien Woody: False Start, 5 yards (no play)",0.340,-0.220
2,8:11,1,15,NYJ 16,7,10,Leon Washington left guard for 10 yards (tackle by Gibril Wilson),-0.220,0.480
2,7:36,2,5,NYJ 26,7,10,Leon Washington right tackle for 10 yards (tackle by Will Allen),0.480,1.330
2,6:56,1,10,NYJ 36,7,10,Mark Sanchez pass complete deep middle to Braylon Edwards for 17 yards (tackle by Gibril Wilson),1.330,2.460
2,6:16,1,10,MIA 47,7,10,Leon Washington right tackle for 3 yards (tackle by Akin Ayodele and Kendall Langford),2.460,2.320
2,5:32,2,7,MIA 44,7,10,Mark Sanchez pass complete short right to Jerricho Cotchery for 4 yards (tackle by Nate Jones),2.320,2.150
2,5:02,,,,7,10,Timeout #3 by Miami Dolphins,0.000,2.150
2,5:02,3,3,MIA 40,7,10,Mark Sanchez pass incomplete short right intended for Braylon Edwards,2.150,0.590
2,4:58,4,3,MIA 40,7,10,Brad Smith right end for 12 yards (tackle by Yeremiah Bell),0.590,3.710
2,4:12,1,10,MIA 28,7,10,"Thomas Jones middle for no gain (tackle by Sean Smith and Gibril Wilson). Penalty on D'Brickashaw Ferguson: Offensive Holding, 10 yards (no play)",3.710,3.050
2,3:42,1,20,MIA 38,7,10,Mark Sanchez pass incomplete short right intended for Leon Washington,3.050,1.820
2,3:35,2,20,MIA 38,7,10,Leon Washington middle for 11 yards (tackle by Akin Ayodele and Nate Jones),1.820,2.610
2,2:48,3,9,MIA 27,7,10,Mark Sanchez pass complete short left to David Clowney for 5 yards (tackle by Vontae Davis),2.610,2.070
2,2:12,4,4,MIA 22,10,10,Jay Feely 40 yard field goal good,2.070,3.000
2,,,,NYJ 30,10,10,"Jay Feely kicks off 67 yards, returned by Patrick Cobbs for 13 yards (tackle by Marques Murrell)",0.000,-0.140
2,1:59,1,10,MIA 16,10,10,Chad Henne pass complete short right to Davone Bess for 3 yards (tackle by Jim Leonhard),-0.140,-0.180
2,1:36,2,7,MIA 19,10,10,"Chad Henne pass complete deep right to Ronnie Brown for 19 yards (tackle by Jim Leonhard and Bryan Thomas). Penalty on Jake Grove: Offensive Holding, 9 yards (no play)",-0.180,-1.220
2,1:24,2,16,MIA 10,10,10,Ronnie Brown left guard for 3 yards (tackle by Kris Jenkins),-1.220,-1.750
2,1:18,,,,10,10,Timeout #2 by New York Jets,0.000,-1.750
2,1:18,3,13,MIA 13,10,10,Ronnie Brown middle for 1 yard (tackle by Bryan Thomas),-1.750,-2.470
2,1:13,,,,10,10,Timeout #3 by New York Jets,0.000,-2.470
2,1:13,4,12,MIA 14,10,10,"Brandon Fields punts 52 yards, returned by Jim Leonhard for 10 yards (tackle by Charlie Anderson)",-2.470,-1.860
2,1:01,1,10,NYJ 44,10,10,Mark Sanchez pass complete short left to Leon Washington for 13 yards (tackle by Nate Jones),1.860,2.720
2,0:54,1,10,MIA 43,10,10,Mark Sanchez pass complete short right to David Clowney for 8 yards (tackle by Will Allen),2.720,3.260
2,0:34,2,2,MIA 35,10,10,Mark Sanchez pass complete short right to David Clowney for 6 yards (tackle by Will Allen),3.260,3.640
2,0:21,1,10,MIA 29,10,10,Mark Sanchez spiked the ball,3.640,3.100
2,0:18,2,10,MIA 29,10,10,Mark Sanchez right end for 4 yards (tackle by Will Allen and Yeremiah Bell),3.100,2.940
2,0:08,3,6,MIA 25,13,10,Jay Feely 43 yard field goal good,2.940,3.000
2,,,,NYJ 30,13,10,"Jay Feely kicks off 51 yards, returned by Joe Berger for 13 yards (tackle by Wallace Wright)",0.000,0.940
Quarter,Time,Down,ToGo,Location,NYJ,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,13,10,"Dan Carpenter kicks off 72 yards, returned by Leon Washington for 27 yards (tackle by Lex Hilliard)",0.000,0.610
3,14:54,1,10,NYJ 25,13,10,Thomas Jones right tackle for 7 yards (tackle by Gibril Wilson),0.610,1.010
3,14:17,2,3,NYJ 32,13,10,Thomas Jones right tackle for 7 yards (tackle by Sean Smith),1.010,1.530
3,13:35,1,10,NYJ 39,13,10,Mark Sanchez pass complete short right to Braylon Edwards for 7 yards (tackle by Vontae Davis),1.530,1.930
3,13:09,2,3,NYJ 46,13,10,Thomas Jones middle for -3 yards (tackle by Jason Ferguson and Gibril Wilson),1.930,0.830
3,12:29,3,6,NYJ 43,13,10,Mark Sanchez pass incomplete short right intended for Braylon Edwards (defended by Will Allen),0.830,-0.520
3,12:23,4,6,NYJ 43,13,10,"Steve Weatherford punts 57 yards, touchback",-0.520,-0.280
3,12:14,1,10,MIA 20,13,10,Chad Henne pass complete short left to Joey Haynos for 17 yards (tackle by Kerry Rhodes and David Harris),0.280,1.400
3,11:35,1,10,MIA 37,13,10,Ricky Williams left tackle for 3 yards (tackle by Howard Green),1.400,1.260
3,10:58,2,7,MIA 40,13,10,Ricky Williams middle for no gain (tackle by Kerry Rhodes and Marques Douglas),1.260,0.560
3,10:28,3,7,MIA 40,13,10,Chad Henne pass incomplete short right intended for Lousaka Polite,0.560,-0.720
3,10:23,4,7,MIA 40,13,10,Brandon Fields punts 52 yards,-0.720,0.380
3,10:14,1,10,NYJ 8,13,10,"Penalty on Ben Hartsock: False Start, 4 yards (no play)",-0.380,-0.530
3,10:14,1,14,NYJ 4,13,10,Shonn Greene right guard for 5 yards (tackle by Randy Starks),-0.530,-0.710
3,9:30,2,9,NYJ 9,13,10,"Mark Sanchez pass incomplete deep middle intended for Ben Hartsock. Penalty on Gibril Wilson: Unnecessary Roughness, 15 yards (no play)",-0.710,0.540
3,9:25,1,10,NYJ 24,13,10,Shonn Greene left tackle for 2 yards (tackle by Randy Starks),0.540,0.270
3,8:45,2,8,NYJ 26,13,10,Mark Sanchez pass incomplete deep left intended for Braylon Edwards (defended by Sean Smith),0.270,-0.430
3,8:38,3,8,NYJ 26,13,10,Leon Washington right tackle for -5 yards (tackle by Jason Taylor),-0.430,-1.960
3,8:08,4,13,NYJ 21,13,10,"Steve Weatherford punts 42 yards, returned by Davone Bess for 9 yards (tackle by Wallace Wright). Penalty on Vontae Davis: Offensive Holding, 10 yards",-1.960,-1.330
3,7:58,1,10,MIA 36,13,10,Ronnie Brown left tackle for 7 yards (tackle by Mike DeVito),1.330,1.740
3,7:20,2,3,MIA 43,13,10,Ronnie Brown left tackle for 2 yards (tackle by Mike DeVito and Howard Green),1.740,1.290
3,6:38,3,1,MIA 45,13,10,Lousaka Polite middle for 2 yards (tackle by Sione Pouha),1.290,2.060
3,5:57,1,10,MIA 47,13,10,Chad Henne pass complete short right to Ronnie Brown for 5 yards (tackle by David Harris),2.060,2.190
3,5:15,2,5,NYJ 48,13,10,Chad Henne pass complete short left to Davone Bess for 8 yards (tackle by David Harris),2.190,2.920
3,4:34,1,10,NYJ 40,13,10,Ronnie Brown right tackle for 5 yards (tackle by Calvin Pace),2.920,3.050
3,3:55,2,5,NYJ 35,13,10,Ronnie Brown middle for 6 yards (tackle by David Harris),3.050,3.640
3,3:14,1,10,NYJ 29,13,10,Ronnie Brown left end for 4 yards (tackle by Bryan Thomas and Marques Douglas),3.640,3.640
3,2:30,2,6,NYJ 25,13,10,Ronnie Brown pass incomplete short left intended for Joey Haynos,3.640,2.940
3,2:23,,,,13,10,Timeout #1 by Miami Dolphins,0.000,2.940
3,2:23,3,6,NYJ 25,13,10,Ricky Williams left end for 10 yards (tackle by Bart Scott),2.940,4.580
3,1:52,1,10,NYJ 15,13,10,Chad Henne pass complete short left to Patrick Cobbs for 5 yards (tackle by Bart Scott),4.580,4.840
3,1:09,2,5,NYJ 10,13,10,Ricky Williams right guard for 4 yards (tackle by Kerry Rhodes),4.840,4.900
3,0:26,3,1,NYJ 6,13,10,Ricky Williams left end for 5 yards (tackle by David Harris),4.900,6.970
Quarter,Time,Down,ToGo,Location,NYJ,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,1,NYJ 1,13,10,Ronnie Brown middle for -1 yards (tackle by Calvin Pace and Larry Izzo),6.970,5.720
4,14:23,2,2,NYJ 2,13,16,"Chad Henne pass complete short right to Anthony Fasano for 2 yards, touchdown",5.720,7.000
4,,,,NYJ 2,13,17,Dan Carpenter kicks extra point good,0.000,0.000
4,,,,MIA 30,13,17,"Dan Carpenter kicks off 65 yards, returned by Leon Washington for 18 yards (tackle by Reggie Torbor)",0.000,0.480
4,14:11,1,10,NYJ 23,13,17,Mark Sanchez pass complete deep left to David Clowney for 53 yards (tackle by Yeremiah Bell),0.480,3.970
4,13:24,1,10,MIA 24,13,17,Leon Washington left tackle for 1 yard (tackle by Jason Taylor),3.970,3.570
4,12:40,2,9,MIA 23,13,17,"Mark Sanchez pass incomplete. Penalty on Mark Sanchez: Intentional Grounding, 12 yards",3.570,1.290
4,12:34,3,21,MIA 35,13,17,Mark Sanchez pass complete deep left to Braylon Edwards for 34 yards (tackle by Gibril Wilson). Penalty on Vontae Davis: Illegal Contact (Declined),1.290,6.970
,,,,,,,"MIA challenged the runner broke the plane ruling, and the original play was overturned.",,
4,12:20,1,1,MIA 1,19,17,"Thomas Jones middle for 1 yard, touchdown",6.970,7.000
4,,,,MIA 2,20,17,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYJ 30,20,17,"Jay Feely kicks off 72 yards, returned by Patrick Cobbs for 18 yards (tackle by Wallace Wright)",0.000,-0.140
4,12:11,1,10,MIA 16,20,17,Chad Henne pass complete short left to Brian Hartline for 10 yards (tackle by Darrelle Revis),-0.140,0.670
4,11:43,1,10,MIA 26,20,17,Chad Henne pass incomplete deep right intended for Anthony Fasano,0.670,0.130
4,11:38,2,10,MIA 26,20,17,Chad Henne pass complete short right to Greg Camarillo for 7 yards (tackle by Jim Leonhard),0.130,0.370
4,10:59,3,3,MIA 33,20,17,Chad Henne pass complete short middle to Anthony Fasano for 14 yards (tackle by David Harris),0.370,2.060
4,10:19,1,10,MIA 47,20,23,"Chad Henne pass complete deep middle to Ted Ginn for 53 yards, touchdown. Penalty on Calvin Pace: Unnecessary Roughness, 15 yards",2.060,7.000
4,,,,NYJ 2,20,24,Dan Carpenter kicks extra point good,0.000,0.000
4,,,,MIA 45,20,24,"Dan Carpenter kicks off 55 yards, touchback",0.000,0.280
4,10:09,1,10,NYJ 20,20,24,Leon Washington right tackle for 6 yards (tackle by Gibril Wilson),0.280,0.540
4,9:41,2,4,NYJ 26,20,24,Leon Washington right guard for no gain (tackle by Randy Starks and Channing Crowder),0.540,-0.160
4,9:00,3,4,NYJ 26,20,24,Mark Sanchez pass incomplete short middle intended for Braylon Edwards,-0.160,-1.630
4,8:54,4,4,NYJ 26,20,24,"Steve Weatherford punts 44 yards, fair catch by Davone Bess",-1.630,-0.940
4,8:46,1,10,MIA 30,20,24,Ronnie Brown left tackle for 2 yards (tackle by Darrelle Revis),0.940,0.660
4,8:07,2,8,MIA 32,20,24,Patrick Cobbs left end for -1 yards (tackle by Bryan Thomas),0.660,-0.160
4,7:40,3,9,MIA 31,20,24,Chad Henne pass complete short left to Anthony Fasano for 1 yard (tackle by Calvin Pace),-0.160,-1.240
4,7:06,4,8,MIA 32,20,24,"Brandon Fields punts 41 yards, returned by Jim Leonhard for 10 yards (tackle by Jason Allen)",-1.240,-1.400
4,6:55,1,10,NYJ 37,20,24,Mark Sanchez pass incomplete short right intended for Thomas Jones,1.400,0.860
4,6:49,2,10,NYJ 37,20,24,Thomas Jones middle for 8 yards (tackle by Akin Ayodele),0.860,1.220
4,6:06,3,2,NYJ 45,20,24,Mark Sanchez pass complete short right to Braylon Edwards for 3 yards (tackle by Gibril Wilson),1.220,2.130
4,5:27,1,10,NYJ 48,20,24,"Mark Sanchez pass incomplete deep middle intended for Braylon Edwards. Penalty on Will Allen: Defensive Pass Interfere, 49 yards (no play)",2.130,6.510
4,5:19,,,,20,24,Timeout #1 by New York Jets,0.000,6.510
4,5:19,1,3,MIA 3,26,24,"Thomas Jones middle for 3 yards, touchdown",6.510,7.000
4,,,,MIA 2,27,24,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYJ 30,27,24,"Jay Feely kicks off 72 yards, returned by Ted Ginn for 32 yards (tackle by Eric Smith)",0.000,0.940
4,5:05,1,10,MIA 30,27,24,Chad Henne pass complete short left to Ricky Williams for 8 yards (tackle by Calvin Pace),0.940,1.470
4,4:57,2,2,MIA 38,27,24,Ricky Williams left end for 15 yards (tackle by Bart Scott),1.470,2.460
4,4:11,1,10,NYJ 47,27,24,Ronnie Brown middle for 6 yards (tackle by Bart Scott),2.460,2.720
4,3:30,2,4,NYJ 41,27,24,Pat White middle for 6 yards (tackle by Bart Scott),2.720,3.250
4,2:48,1,10,NYJ 35,27,24,"Penalty on Jake Grove: False Start, 5 yards (no play)",3.250,2.920
4,2:47,1,15,NYJ 40,27,24,Ricky Williams right end for 6 yards (tackle by Darrelle Revis and Bart Scott),2.920,2.840
4,2:12,2,9,NYJ 34,27,24,Ronnie Brown middle for 4 yards (tackle by Shaun Ellis),2.840,2.680
4,2:00,3,5,NYJ 30,27,24,Chad Henne pass complete short left to Greg Camarillo for 14 yards (tackle by Drew Coleman),2.680,4.510
4,1:53,1,10,NYJ 16,27,24,Ronnie Brown middle for no gain (tackle by Kris Jenkins),4.510,3.900
4,1:12,2,10,NYJ 16,27,24,Chad Henne pass incomplete deep right intended for Anthony Fasano,3.900,3.080
4,1:06,3,10,NYJ 16,27,24,Chad Henne pass complete short right to Greg Camarillo for 12 yards (tackle by Dwight Lowery),3.080,6.280
4,0:23,1,4,NYJ 4,27,24,Ronnie Brown left end for 2 yards (tackle by Kerry Rhodes),6.280,5.720
4,0:17,,,,27,24,Timeout #2 by Miami Dolphins,0.000,5.720
4,0:17,2,2,NYJ 2,27,24,Chad Henne pass incomplete short left intended for Anthony Fasano,5.720,4.950
4,0:10,3,2,NYJ 2,27,30,"Ronnie Brown right guard for 2 yards, touchdown",4.950,7.000
4,,,,NYJ 2,27,31,Dan Carpenter kicks extra point good,0.000,0.000
4,,,,MIA 30,27,31,"Dan Carpenter kicks off 34 yards, returned by Jim Leonhard for 7 yards (tackle by Gibril Wilson)",0.000,1.800
4,0:03,1,10,NYJ 43,27,31,Mark Sanchez pass incomplete deep right intended for Jerricho Cotchery,1.800,1.250
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
