Quarter,Time,Tm,Detail,NYG,DET
1.0,7:12,Lions,Devon Kennard 13 yard fumble return (Matt Prater kick),0,7
,2:31,Lions,Marvin Hall 49 yard pass from Matthew Stafford (Matt Prater kick),0,14
2.0,12:27,Giants,Darius Slayton 22 yard pass from Daniel Jones (Aldrick Rosas kick),7,14
,4:39,Giants,Darius Slayton 28 yard pass from Daniel Jones (Aldrick Rosas kick failed),13,14
,0:20,Lions,Matt Prater 52 yard field goal,13,17
3.0,9:51,Lions,Kenny Golladay 9 yard pass from Matthew Stafford (Matt Prater kick),13,24
,4:54,Giants,Evan Engram 2 yard pass from Daniel Jones (pass failed),19,24
4.0,12:12,Lions,Kenny Golladay 41 yard pass from Matthew Stafford (Matt Prater kick),19,31
,1:19,Giants,Saquon Barkley 4 yard pass from Daniel Jones (Aldrick Rosas kick),26,31
