Unnamed: 0,NYG,DET
First Downs,24,17
Rush-Yds-TDs,24-80-0,25-59-0
Cmp-Att-Yd-TD-INT,28-41-322-4-0,25-32-342-3-1
Sacked-Yards,3-32,4-26
Net Pass Yards,290,316
Total Yards,370,375
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,5-44,7-75
Third Down Conv.,7-12,8-14
Fourth Down Conv.,0-2,0-0
Time of Possession,30:47,29:13
