Unnamed: 0,ATL,CAR
First Downs,20,19
Rush-Yds-TDs,40-165-2,21-67-1
Cmp-Att-Yd-TD-INT,10-18-148-0-0,23-38-308-0-2
Sacked-Yards,0-0,2-15
Net Pass Yards,148,293
Total Yards,313,360
Fumbles-Lost,1-0,2-1
Turnovers,0,3
Penalties-Yards,11-106,10-91
Third Down Conv.,5-12,4-13
Fourth Down Conv.,0-0,1-2
Time of Possession,32:20,27:40
