Quarter,Time,Down,ToGo,Location,CLE,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 48 yards, returned by Leon Washington for no gain. Leon Washington fumbles (forced by Nick Sorensen), recovered by Eric Smith at NYJ-10",0.000,-0.380
1,14:55,1,10,NYJ 10,0,0,Thomas Jones up the middle for 1 yard (tackle by Leon Williams),-0.380,-0.710
1,14:14,2,9,NYJ 11,0,0,Kellen Clemens pass complete short middle to Jerricho Cotchery for 12 yards (tackle by Leigh Bodden),-0.710,0.480
1,13:30,1,10,NYJ 23,0,0,Kellen Clemens pass complete short left to Jerricho Cotchery for 22 yards (tackle by Daven Holly),0.480,1.930
1,13:05,1,10,NYJ 45,0,0,Thomas Jones left end for 4 yards (tackle by Brodney Pool),1.930,1.920
1,12:34,2,6,NYJ 49,0,0,Thomas Jones right end for 1 yard (tackle by Leon Williams and D'Qwell Jackson),1.920,1.360
1,11:47,3,5,,0,0,Kellen Clemens pass complete short right to Laveranues Coles for 6 yards (tackle by Daven Holly),1.360,2.650
1,11:08,1,10,CLE 44,0,0,Thomas Jones left tackle for 2 yards (tackle by Andra Davis and D'Qwell Jackson),2.650,2.380
1,10:25,2,8,CLE 42,0,0,Leon Washington right guard for 1 yard (tackle by D'Qwell Jackson and Kamerion Wimbley),2.380,1.820
1,9:39,3,7,CLE 41,0,0,Kellen Clemens sacked by Antwan Peek and Leon Williams for 0 yards,1.820,0.530
1,9:03,4,7,CLE 41,0,0,Ben Graham punts 39 yards,0.530,0.380
1,8:57,1,10,CLE 2,0,0,Lawrence Vickers left guard for 3 yards (tackle by Sione Pouha),-0.380,-0.560
1,8:22,2,7,CLE 5,0,0,Derek Anderson pass complete short right to Lawrence Vickers for 10 yards (tackle by David Harris),-0.560,-0.220
1,7:56,1,10,CLE 15,0,0,Derek Anderson pass complete short left to Jamal Lewis for 7 yards (tackle by Abram Elam),-0.220,0.350
1,7:15,2,3,CLE 22,0,0,Jamal Lewis right guard for 3 yards (tackle by Eric Barton and David Harris),0.350,0.610
1,6:46,1,10,CLE 25,0,0,Jamal Lewis up the middle for 3 yards (tackle by Kenyon Coleman),0.610,0.470
1,6:07,2,7,CLE 28,0,0,Derek Anderson pass incomplete short right intended for Kellen Winslow Jr.,0.470,-0.230
1,6:02,3,7,CLE 28,0,0,Derek Anderson pass complete short right to Jason Wright for 14 yards (tackle by David Harris),-0.230,1.730
1,5:14,1,10,CLE 42,0,0,Derek Anderson pass complete short left to Steve Heiden for 1 yard (tackle by Abram Elam),1.730,1.320
1,4:32,2,9,CLE 43,0,0,Jamal Lewis left tackle for 4 yards (tackle by David Bowens and Eric Barton),1.320,1.160
1,3:51,3,5,CLE 47,0,0,Derek Anderson pass complete short left to Kellen Winslow Jr. for 4 yards (tackle by Hank Poteat),1.160,0.000
1,3:15,4,1,NYJ 49,0,0,"Dave Zastudil punts 49 yards, touchback",0.000,-0.280
1,3:06,1,10,NYJ 20,0,0,Thomas Jones up the middle for 4 yards (tackle by Robaire Smith and D'Qwell Jackson),0.280,0.270
1,2:31,2,6,NYJ 24,0,0,Kellen Clemens pass complete short right to Laveranues Coles for 12 yards (tackle by Daven Holly),0.270,1.330
1,2:03,1,10,NYJ 36,0,0,Thomas Jones right guard for 5 yards (tackle by Sean Jones and Brodney Pool),1.330,1.470
1,1:25,2,5,NYJ 41,0,0,Leon Washington right guard for 3 yards (tackle by D'Qwell Jackson and Robaire Smith),1.470,1.160
1,0:47,3,2,NYJ 44,0,0,Leon Washington left end for 1 yard (tackle by Brodney Pool and Daven Holly),1.160,-0.390
1,0:47,4,1,NYJ 45,0,0,"Penalty on Kellen Clemens: Delay of Game, 4 yards (no play)",-0.390,-0.650
1,0:03,4,5,NYJ 41,0,0,"Ben Graham punts 48 yards, returned by Josh Cribbs for no gain",-0.650,0.370
1,0:03,1,10,CLE 11,0,0,Derek Anderson pass incomplete short right intended for Kellen Winslow Jr. is intercepted by Kerry Rhodes at CLE-25 and returned for 13 yards (tackle by Hank Fraley),-0.370,-4.780
Quarter,Time,Down,ToGo,Location,CLE,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 12,0,0,Thomas Jones right guard for 4 yards (tackle by Andra Davis),4.780,4.830
2,14:21,2,6,CLE 8,0,0,Thomas Jones left guard for 3 yards (tackle by Shaun Smith and Antwan Peek),4.830,4.610
