Unnamed: 0,CLE,NYJ
First Downs,18,26
Rush-Yds-TDs,29-152-1,30-119-1
Cmp-Att-Yd-TD-INT,16-29-185-2-1,24-41-286-0-2
Sacked-Yards,0-0,4-18
Net Pass Yards,185,268
Total Yards,337,387
Fumbles-Lost,1-0,2-0
Turnovers,1,2
Penalties-Yards,4-29,2-9
Third Down Conv.,5-12,2-12
Fourth Down Conv.,1-1,2-2
Time of Possession,27:59,32:01
