Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
2,10:16,3,10,CHI 14,0,21,Jay Cutler pass complete short left to Alshon Jeffery for 13 yards,-1.400,0.740
2,9:59,1,10,CHI 27,0,21,Jay Cutler pass incomplete deep right intended for Alshon Jeffery,0.740,0.200
2,9:53,2,10,CHI 27,0,21,Jay Cutler pass complete short right to Matt Forte for 3 yards (tackle by Connor Barwin),0.200,-0.100
2,9:20,3,7,CHI 30,0,21,Jay Cutler pass complete short left to Martellus Bennett for 12 yards (tackle by Mychal Kendricks and Patrick Chung),-0.100,1.730
2,8:39,1,10,CHI 42,0,21,Jay Cutler pass complete short right to Earl Bennett for no gain,1.730,1.190
2,7:56,2,10,CHI 42,0,21,Jay Cutler pass complete short left to Martellus Bennett for 15 yards (tackle by DeMeco Ryans),1.190,2.720
2,7:16,1,10,PHI 43,0,21,Jay Cutler pass complete short right to Martellus Bennett for 24 yards (tackle by Bradley Fletcher),2.720,4.310
2,6:41,1,10,PHI 19,0,21,Jay Cutler sacked by Trent Cole for -9 yards,4.310,2.550
2,6:01,2,19,PHI 28,0,21,Jay Cutler sacked by Mychal Kendricks for -9 yards,2.550,0.700
2,5:20,3,28,PHI 37,0,21,Jay Cutler pass incomplete deep left intended for Brandon Marshall,0.700,0.790
2,5:13,4,28,PHI 37,0,21,"Adam Podlesh punts 28 yards, fair catch by Damaris Johnson",0.790,0.380
2,5:06,1,10,PHI 9,0,21,LeSean McCoy right end for 5 yards (tackle by Major Wright),-0.380,-0.390
2,4:37,2,5,PHI 14,0,21,LeSean McCoy right end for 16 yards (tackle by Tim Jennings),-0.390,0.940
2,4:13,1,10,PHI 30,0,21,Bryce Brown left tackle for 15 yards (tackle by Chris Conte),0.940,1.930
2,3:41,1,10,PHI 45,0,21,Nick Foles pass complete short right to LeSean McCoy for 11 yards (tackle by Jonathan Bostic),1.930,2.650
2,3:07,1,10,CHI 44,0,21,Nick Foles pass complete short left to Jason Avant for 17 yards (tackle by Jonathan Bostic),2.650,3.780
2,2:36,1,10,CHI 27,0,21,Nick Foles pass complete short right to LeSean McCoy for -8 yards (tackle by Jonathan Bostic),3.780,2.150
2,2:00,2,18,CHI 35,0,21,DeSean Jackson left end for 4 yards (tackle by Tim Jennings),2.150,2.020
2,1:16,3,14,CHI 31,0,21,Nick Foles pass incomplete short right intended for DeSean Jackson,2.020,2.020
2,1:10,3,14,CHI 31,0,21,Timeout #2 by Chicago Bears,2.020,1.320
2,1:10,4,14,CHI 31,0,24,Alex Henery 49 yard field goal good,1.320,3.000
2,1:10,,,PHI 35,0,24,--,0.000,-0.150
2,0:58,1,10,CHI 19,0,24,Jay Cutler pass complete deep right to Alshon Jeffery for 21 yards (tackle by Nate Allen),0.150,0.150
2,0:48,1,10,CHI 19,0,24,Timeout #3 by Chicago Bears,0.150,1.600
2,0:48,1,10,CHI 40,0,24,Jay Cutler pass incomplete deep right intended for Brandon Marshall,1.600,1.050
2,0:42,2,10,CHI 40,0,24,Jay Cutler pass complete deep middle to Alshon Jeffery for 17 yards (tackle by Patrick Chung),1.050,2.720
2,0:24,1,10,PHI 43,0,24,Jay Cutler spiked the ball,2.720,2.180
2,0:24,2,10,PHI 43,0,24,Jay Cutler pass incomplete short right intended for Martellus Bennett (defended by Brandon Boykin),2.180,1.490
2,0:19,3,10,PHI 43,0,24,Jay Cutler up the middle for 11 yards (tackle by Patrick Chung),1.490,3.450
2,0:03,1,10,PHI 32,0,24,Jay Cutler spiked the ball,3.450,2.900
2,0:03,2,10,PHI 32,3,24,Robbie Gould 50 yard field goal good,2.900,3.000
Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,3,24,"Robbie Gould kicks off 65 yards, returned by Brad Smith for 17 yards (tackle by Blake Costanzo)",0.000,0.060
3,14:56,1,10,PHI 17,3,24,LeSean McCoy left tackle for no gain (tackle by Julius Peppers),-0.060,-0.580
3,14:29,2,10,PHI 17,3,24,LeSean McCoy up the middle for 3 yards (tackle by Shea McClellin),-0.580,-0.870
3,13:54,3,7,PHI 20,3,24,Nick Foles pass complete short right to DeSean Jackson for 10 yards (tackle by Tim Jennings),-0.870,0.940
3,13:33,1,10,PHI 30,3,24,LeSean McCoy right end for 5 yards (tackle by Jonathan Bostic),0.940,1.070
3,13:13,2,5,PHI 35,3,24,Nick Foles pass complete short right to DeSean Jackson for 7 yards,1.070,1.730
3,12:44,1,10,PHI 42,3,24,Nick Foles pass complete short left to DeSean Jackson for 6 yards (tackle by Zackary Bowman),1.730,2.000
3,12:13,2,4,PHI 48,3,24,LeSean McCoy up the middle for 5 yards (tackle by Isaiah Frey),2.000,2.000
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
3,12:02,2,4,PHI 48,3,24,Timeout #1 by Philadelphia Eagles,2.000,2.460
3,11:54,1,10,CHI 47,3,24,Nick Foles pass complete short right to LeSean McCoy for 1 yard (tackle by Zackary Bowman),2.460,2.050
3,11:29,2,9,CHI 46,3,24,"LeSean McCoy right end for no gain (tackle by Lance Briggs). Penalty on Jason Kelce: Offensive Holding, 10 yards (no play)",2.050,0.700
3,11:09,2,19,PHI 44,3,24,Nick Foles pass incomplete short left intended for Brent Celek,0.700,0.040
3,11:04,3,19,PHI 44,3,24,Nick Foles left end for 7 yards (tackle by Isaiah Frey),0.040,0.000
3,10:34,4,12,CHI 49,3,24,Donnie Jones punts 47 yards,0.000,0.380
3,10:24,1,10,CHI 2,3,26,"Matt Forte for -2 yards, safety",-0.380,-2.000
,,,,,,,"PHI challenged the runner was down by contact ruling, and the original play was overturned.",,
3,10:24,,,CHI 20,3,26,"Adam Podlesh kicks off 43 yards, returned by Riley Cooper for -4 yards (tackle by Derrick Martin)",0.000,-1.140
3,9:47,1,10,PHI 33,3,26,LeSean McCoy up the middle for 17 yards (tackle by Chris Conte),1.140,2.260
3,9:16,1,10,,3,26,Nick Foles pass complete deep right to Riley Cooper for 32 yards (tackle by Chris Conte),2.260,4.370
3,8:49,1,10,CHI 18,3,26,Nick Foles pass complete short right to Jason Avant for 5 yards (tackle by Zackary Bowman),4.370,4.610
3,8:09,2,5,CHI 13,3,26,Bryce Brown up the middle for 9 yards (tackle by Chris Conte),4.610,6.280
3,7:48,1,4,CHI 4,3,26,Bryce Brown left guard for 3 yards (tackle by Major Wright),6.280,5.910
3,7:17,2,1,CHI 1,3,32,"LeSean McCoy left end for 1 yard, touchdown",5.910,7.000
3,7:17,,,CHI 2,3,33,Alex Henery kicks extra point good,0.000,0.000
3,7:17,,,PHI 35,3,33,"Alex Henery kicks off 70 yards, returned by Devin Hester for 27 yards (tackle by Brandon Graham)",0.000,-0.410
3,7:06,1,10,CHI 22,3,33,Jay Cutler pass incomplete short left intended for Martellus Bennett,0.410,-0.130
3,7:01,2,10,CHI 22,3,33,Jay Cutler pass complete short middle to Matt Forte for 3 yards (tackle by DeMeco Ryans),-0.130,-0.430
3,6:23,3,7,CHI 25,3,33,"Jay Cutler sacked by Mychal Kendricks for -8 yards. Jay Cutler fumbles (forced by Mychal Kendricks), recovered by Jordan Mills at CHI-17",-0.430,-2.320
3,5:41,4,15,CHI 17,3,33,"Adam Podlesh punts 37 yards, fair catch by Damaris Johnson",-2.320,-1.990
3,5:34,1,10,PHI 46,3,33,"Nick Foles pass complete deep right to Brent Celek for 24 yards (tackle by Chris Conte). Brent Celek fumbles (forced by Chris Conte), recovered by Jonathan Bostic at CHI-30 (tackle by James Casey)",1.990,-0.940
3,5:21,1,10,CHI 30,3,33,Jay Cutler pass incomplete short left intended for Alshon Jeffery,0.940,0.390
3,5:14,2,10,CHI 30,3,33,Jay Cutler pass complete short right to Brandon Marshall for 5 yards (tackle by Brandon Boykin),0.390,0.370
3,4:53,3,5,CHI 35,3,33,Jay Cutler pass incomplete short left intended for Matt Forte (defended by DeMeco Ryans),0.370,0.370
3,4:48,3,5,CHI 35,3,33,Timeout #1 by Chicago Bears,0.370,-1.040
3,4:48,4,5,CHI 35,3,33,Jay Cutler pass complete short left to Alshon Jeffery for 7 yards (tackle by Cary Williams),-1.040,1.730
3,4:14,1,10,CHI 42,3,33,Jay Cutler pass complete short left to Brandon Marshall for 11 yards (tackle by DeMeco Ryans),1.730,2.460
3,3:35,1,10,PHI 47,3,33,"Jay Cutler pass incomplete. Penalty on Mychal Kendricks: Defensive Holding, 5 yards (no play)",2.460,2.790
3,3:29,1,10,PHI 42,3,33,Jay Cutler sacked by Trent Cole for -12 yards,2.790,0.620
3,2:53,2,22,CHI 46,3,33,Jay Cutler pass complete short right to Martellus Bennett for 4 yards (tackle by Bradley Fletcher),0.620,0.500
3,2:08,3,18,,3,33,Jay Cutler pass complete short left to Matt Forte for 9 yards (tackle by Cary Williams),0.500,0.530
3,1:32,4,9,PHI 41,3,33,Jay Cutler pass complete short left to Matt Forte for 10 yards (tackle by Mychal Kendricks),0.530,3.510
3,0:49,1,10,PHI 31,3,33,Jay Cutler pass complete deep left to Martellus Bennett for 30 yards,3.510,6.970
3,0:24,1,1,PHI 1,3,33,"Penalty on Jay Cutler: Delay of Game, 5 yards (no play)",6.970,5.830
3,0:02,1,6,PHI 6,9,33,"Jay Cutler pass complete short left to Brandon Marshall for 6 yards, touchdown",5.830,7.000
3,0:02,,,,11,33,"Two Point Attempt: Jay Cutler pass complete to Earl Bennett, conversion succeeds",0.000,1.000
Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,CHI 35,11,33,"Adam Podlesh kicks off no gain, returned by Chris Polk for 8 yards (tackle by Blake Costanzo)",0.000,0.940
4,14:56,1,10,PHI 30,11,33,LeSean McCoy up the middle for 9 yards (tackle by David Bass),0.940,1.610
4,14:23,2,1,PHI 39,11,33,LeSean McCoy left tackle for 14 yards (tackle by Major Wright),1.610,2.460
4,13:38,1,10,CHI 47,11,33,Bryce Brown up the middle for 4 yards (tackle by David Bass),2.460,2.450
4,12:55,2,6,CHI 43,11,33,Bryce Brown up the middle for 18 yards (tackle by James Anderson),2.450,3.910
4,12:08,1,10,CHI 25,11,33,LeSean McCoy up the middle for 15 yards (tackle by Major Wright),3.910,4.910
4,11:23,1,10,CHI 10,11,39,"Chris Polk right guard for 10 yards, touchdown",4.910,7.000
4,11:23,,,CHI 2,11,40,Alex Henery kicks extra point good,0.000,0.000
4,11:23,,,PHI 35,11,40,"Alex Henery kicks off 57 yards, returned by Devin Hester for 8 yards (tackle by Chris Polk)",0.000,0.140
4,11:15,1,10,CHI 16,11,40,Matt Forte left tackle for 2 yards (tackle by Mychal Kendricks),-0.140,-0.350
4,10:37,2,8,CHI 18,11,40,Matt Forte right end for 12 yards (tackle by Bradley Fletcher),-0.350,0.940
4,10:00,1,10,CHI 30,11,40,Jay Cutler pass incomplete deep left intended for Brandon Marshall (defended by Cary Williams),0.940,0.390
4,9:55,2,10,CHI 30,11,40,Matt Forte left end for 7 yards (tackle by Cary Williams),0.390,0.630
4,9:22,3,3,CHI 37,11,40,Jay Cutler pass complete short right to Alshon Jeffery for 10 yards (tackle by Bradley Fletcher),0.630,2.060
4,8:50,1,10,CHI 47,11,40,Matt Forte up the middle for 2 yards (tackle by Patrick Chung),2.060,1.790
4,8:10,2,8,CHI 49,11,46,"Jay Cutler pass incomplete short left intended for Earl Bennett is intercepted by Brandon Boykin at PHI-46 and returned for 54 yards, touchdown",1.790,-7.000
4,8:00,,,CHI 2,11,47,Alex Henery kicks extra point good,0.000,0.000
4,8:00,,,PHI 35,11,47,"Alex Henery kicks off 65 yards, touchback",0.000,-0.280
4,8:00,1,10,CHI 20,11,47,"Josh McCown for -3 yards. Josh McCown fumbles, recovered by Josh McCown at CHI-17",0.280,-0.790
4,7:22,2,13,CHI 17,11,47,Michael Bush up the middle for 3 yards (tackle by Damion Square),-0.790,-0.960
4,6:40,3,10,CHI 20,11,47,Josh McCown pass incomplete (defended by Najee Goode),-0.960,-2.030
4,6:35,4,10,CHI 20,11,47,"Adam Podlesh punts 50 yards, returned by Damaris Johnson for 5 yards (tackle by Eric Weems)",-2.030,-1.270
4,6:24,1,10,PHI 35,11,53,"Bryce Brown up the middle for 65 yards, touchdown",1.270,7.000
4,6:24,,,CHI 2,11,54,Alex Henery kicks extra point good,0.000,0.000
4,6:24,,,PHI 35,11,54,"Alex Henery kicks off 69 yards, returned by Devin Hester for 37 yards (tackle by Brad Smith)",0.000,-1.140
4,6:05,1,10,CHI 33,11,54,Michael Bush up the middle for 5 yards (tackle by Jake Knott),1.140,1.270
4,5:22,2,5,CHI 38,11,54,Michael Bush up the middle for 3 yards (tackle by Vinny Curry),1.270,0.960
4,4:40,3,2,CHI 41,11,54,Josh McCown pass complete short right to Eric Weems for 8 yards (tackle by Bradley Fletcher),0.960,2.190
4,4:35,1,10,CHI 49,11,54,Michael Bush right end for 2 yards (tackle by Keelan Johnson),2.190,1.920
4,3:56,2,8,PHI 49,11,54,Josh McCown pass complete short right to Earl Bennett for 12 yards (tackle by Bradley Fletcher),1.920,3.120
4,3:12,1,10,PHI 37,11,54,Michael Bush up the middle for 1 yard (tackle by Vinny Curry),3.120,2.710
4,2:28,2,9,PHI 36,11,54,Michael Bush right end for 6 yards (tackle by Casey Matthews),2.710,2.810
4,2:00,3,3,PHI 30,11,54,Michael Bush up the middle for no gain (tackle by Clifton Geathers),2.810,1.480
4,1:18,4,3,PHI 30,11,54,Josh McCown pass incomplete deep right intended for Eric Weems,1.480,-0.940
4,1:12,1,10,PHI 30,11,54,Michael Vick kneels for -1 yards,0.940,0.260
4,0:42,2,11,PHI 29,11,54,Michael Vick kneels for -1 yards,0.260,-0.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
