Unnamed: 0,CHI,PHI
First Downs,18,28
Rush-Yds-TDs,19-61-0,36-289-4
Cmp-Att-Yd-TD-INT,22-39-242-1-1,21-25-230-2-0
Sacked-Yards,5-46,2-5
Net Pass Yards,196,225
Total Yards,257,514
Fumbles-Lost,3-1,1-1
Turnovers,2,1
Penalties-Yards,2-10,2-15
Third Down Conv.,5-14,5-9
Fourth Down Conv.,2-3,1-1
Time of Possession,29:40,30:20
