Unnamed: 0,CAR,ATL
First Downs,12,25
Rush-Yds-TDs,21-101-0,39-187-3
Cmp-Att-Yd-TD-INT,9-26-126-0-1,20-27-214-0-0
Sacked-Yards,4-22,1-8
Net Pass Yards,104,206
Total Yards,205,393
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,6-40,9-65
Third Down Conv.,3-11,5-11
Fourth Down Conv.,0-2,1-1
Time of Possession,19:52,40:08
