Unnamed: 0,NWE,PIT
First Downs,26,27
Rush-Yds-TDs,24-103-1,16-76-0
Cmp-Att-Yd-TD-INT,30-43-350-3-0,30-49-387-3-1
Sacked-Yards,0-0,5-38
Net Pass Yards,350,349
Total Yards,453,425
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,10-113,6-45
Third Down Conv.,3-10,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,31:28,28:32
