Unnamed: 0,DET,PIT
First Downs,16,20
Rush-Yds-TDs,25-105-0,44-199-4
Cmp-Att-Yd-TD-INT,17-33-212-3-0,7-16-135-0-2
Sacked-Yards,1-9,1-3
Net Pass Yards,203,132
Total Yards,308,331
Fumbles-Lost,3-2,0-0
Turnovers,2,2
Penalties-Yards,5-47,2-15
Third Down Conv.,10-17,4-10
Fourth Down Conv.,0-0,1-1
Time of Possession,27:29,32:31
