Quarter,Time,Down,ToGo,Location,DET,PIT,Detail,EPB,EPA
1,,,,PIT 2,7,7,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,7,7,"Jason Hanson kicks off 70 yards, returned by Quincy Morgan for 27 yards (tackle by Paul Smith)",0.000,0.740
1,9:43,1,10,PIT 27,7,7,Willie Parker up the middle for 5 yards (tackle by Cory Redding and Wali Rainer),0.740,0.870
1,9:01,2,5,PIT 32,7,7,Willie Parker up the middle for 6 yards (tackle by Wali Rainer),0.870,1.470
1,8:21,1,10,PIT 38,7,7,Ben Roethlisberger pass incomplete intended for Heath Miller,1.470,0.920
1,8:15,2,10,PIT 38,7,7,Willie Parker up the middle for 5 yards (tackle by R.W. McQuarters),0.920,0.890
1,7:33,3,5,PIT 43,7,7,Ben Roethlisberger pass incomplete intended for Quincy Morgan (defended by R.W. McQuarters),0.890,-0.520
1,7:24,4,5,PIT 43,7,7,"Chris Gardocki punts 38 yards, fair catch by Eddie Drummond",-0.520,-0.150
1,7:19,1,10,DET 19,7,7,Kevin Jones left tackle for 5 yards (tackle by Joey Porter and Aaron Smith),0.150,0.340
1,6:34,2,5,DET 24,7,7,Joey Harrington pass complete to Roy Williams for 6 yards (tackle by Clark Haggans),0.340,0.940
1,5:51,1,10,DET 30,7,7,"Penalty on Damien Woody: False Start, 5 yards (no play)",0.940,0.610
1,5:34,1,15,DET 25,7,7,Joey Harrington pass complete to Kevin Jones for 2 yards (tackle by James Farrior),0.610,-0.010
1,4:50,2,13,DET 27,7,7,Joey Harrington pass incomplete intended for Scottie Vines (defended by Aaron Smith),-0.010,-0.690
1,4:46,3,13,DET 27,7,7,"Joey Harrington pass complete to Shawn Bryson for 63 yards (tackle by Deshea Townsend). Penalty on Deshea Townsend: Face Mask (15 Yards), 5 yards",-0.690,6.060
1,4:15,1,5,PIT 5,7,7,Kevin Jones up the middle for 4 yards (tackle by Chris Hope and Troy Polamalu),6.060,5.910
1,3:37,2,1,PIT 1,13,7,"Joey Harrington pass complete to Cory Schlesinger for 1 yard, touchdown",5.910,7.000
1,,,,PIT 2,14,7,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,14,7,"Jason Hanson kicks off 66 yards, returned by Ricardo Colclough for 63 yards (tackle by Jason Hanson)",0.000,3.380
1,3:33,1,10,DET 33,14,7,"Ben Roethlisberger pass incomplete intended for Hines Ward. Penalty on Dre' Bly: Defensive Pass Interfere, 16 yards (no play)",3.380,4.440
1,3:08,1,10,DET 17,14,7,Antwaan Randle El right end for 1 yard (tackle by Matt Grootegoed),4.440,4.000
1,2:33,2,9,DET 16,14,7,Ben Roethlisberger pass complete to Heath Miller for 11 yards (tackle by James Davis),4.000,6.060
1,1:45,1,5,DET 5,14,7,Jerome Bettis up the middle for 2 yards (tackle by James Hall and LeVar Woods),6.060,5.530
1,1:13,2,3,DET 3,14,7,Ben Roethlisberger pass incomplete intended for Hines Ward,5.530,4.720
1,1:09,3,3,DET 3,14,7,Verron Haynes left guard for 2 yards (tackle by James Hall and Kenoy Kennedy),4.720,3.550
1,0:25,4,1,DET 1,14,13,"Jerome Bettis up the middle for 1 yard, touchdown",3.550,7.000
1,,,,DET 2,14,14,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,14,14,"Jeff Reed kicks off 61 yards, returned by Eddie Drummond for 14 yards (tackle by Clint Kriewaldt)",0.000,0.480
1,0:21,1,10,DET 23,14,14,Joey Harrington pass complete to Scottie Vines for 2 yards (tackle by Aaron Smith and Larry Foote),0.480,0.200
Quarter,Time,Down,ToGo,Location,DET,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DET 25,14,14,Shawn Bryson up the middle for 3 yards (tackle by Aaron Smith and James Farrior),0.200,-0.100
2,14:19,3,5,DET 28,14,14,Joey Harrington pass complete to Roy Williams for 10 yards (tackle by Chris Hope),-0.100,1.470
2,14:19,1,10,DET 38,14,14,Kevin Jones up the middle for 7 yards (tackle by Ike Taylor and Troy Polamalu),1.470,1.870
2,13:00,2,3,DET 45,14,14,Kevin Jones up the middle for 1 yard,1.870,1.290
2,12:17,3,2,DET 46,14,14,Joey Harrington pass complete to Marcus Pollard for 6 yards (tackle by Chris Hope and Deshea Townsend),1.290,2.390
2,11:38,1,10,PIT 48,14,14,Kevin Jones up the middle for 5 yards (tackle by Troy Polamalu),2.390,2.520
2,10:57,2,5,PIT 43,14,14,Joey Harrington pass incomplete intended for Roy Williams (defended by Troy Polamalu),2.520,1.820
2,10:49,3,5,PIT 43,14,14,Joey Harrington pass incomplete intended for Scottie Vines,1.820,0.400
2,10:45,4,5,PIT 43,14,14,"Nick Harris punts 30 yards, fair catch by Antwaan Randle El",0.400,0.320
2,10:38,1,10,PIT 13,14,14,Willie Parker right guard for 2 yards (tackle by Jared DeVries and Shaun Rogers),-0.320,-0.570
2,9:59,2,8,PIT 15,14,14,Willie Parker up the middle for 7 yards (tackle by Wali Rainer and James Davis),-0.570,-0.350
2,9:15,3,1,PIT 22,14,14,"Ben Roethlisberger pass incomplete intended for Quincy Morgan. Penalty on Andre' Goodman: Defensive Pass Interfere, 21 yards, Penalty on R.W. McQuarters: Defensive Holding (Declined) (no play)",-0.350,1.800
2,9:10,1,10,PIT 43,14,14,Ben Roethlisberger pass incomplete intended for Cedrick Wilson,1.800,1.250
2,9:06,2,10,PIT 43,14,14,Willie Parker left end for 1 yard (tackle by Shaun Rogers),1.250,0.690
2,8:25,3,9,PIT 44,14,14,Ben Roethlisberger pass complete to Heath Miller for 8 yards (tackle by Keith Smith),0.690,0.070
2,7:34,4,1,DET 48,14,14,"Chris Gardocki punts 40 yards, fair catch by Eddie Drummond",0.070,0.380
2,7:26,1,10,DET 8,14,14,Kevin Jones right guard for 8 yards (tackle by Chris Hope),-0.380,-0.090
2,6:46,2,2,DET 16,14,14,Joey Harrington pass incomplete intended for Kevin Jones,-0.090,-0.480
2,6:41,3,2,DET 16,14,14,Joey Harrington pass complete to Scottie Vines for 19 yards (tackle by Ricardo Colclough),-0.480,1.270
2,5:57,1,10,DET 35,14,14,Kevin Jones right end for no gain (tackle by Larry Foote),1.270,0.720
2,5:15,2,10,DET 35,14,14,Joey Harrington pass complete to Scottie Vines for 5 yards (tackle by James Farrior),0.720,0.700
2,4:34,3,5,DET 40,14,14,Joey Harrington pass incomplete intended for Paul Smith. Penalty on Kyle Kosier: Offensive Holding (Declined),0.700,-0.720
2,4:27,4,5,DET 40,14,14,"Nick Harris punts 37 yards, returned by Antwaan Randle El for -2 yards (tackle by Keith Smith)",-0.720,-0.340
2,4:17,1,10,PIT 21,14,14,Ben Roethlisberger pass incomplete intended for Heath Miller,0.340,-0.200
2,4:11,2,10,PIT 21,14,14,Ben Roethlisberger sacked by James Hall for -3 yards,-0.200,-1.410
2,3:34,3,13,PIT 18,14,14,Ben Roethlisberger pass complete to Verron Haynes for 3 yards (tackle by Keith Smith and Kenoy Kennedy),-1.410,-1.960
2,2:50,4,10,PIT 21,14,14,"Chris Gardocki punts 48 yards, returned by Eddie Drummond for 7 yards (tackle by Chidi Iwuoma). Eddie Drummond fumbles, recovered by Brett Keisel at DET-37",-1.960,3.120
2,2:35,1,10,DET 37,14,14,Willie Parker up the middle for 8 yards (tackle by Bracy Walker and LeVar Woods),3.120,3.650
2,2:04,2,2,DET 29,14,14,Ben Roethlisberger pass complete to Willie Parker for 17 yards (tackle by Kenoy Kennedy),3.650,4.780
2,1:55,1,10,DET 12,14,14,Willie Parker right tackle for 7 yards (tackle by LeVar Woods),4.780,5.410
2,1:16,2,3,DET 5,14,20,"Jerome Bettis up the middle for 5 yards, touchdown",5.410,7.000
2,,,,DET 2,14,21,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,14,21,"Jeff Reed kicks off 68 yards, returned by Eddie Drummond for 13 yards (tackle by Sean Morey)",0.000,-0.220
2,1:11,1,10,DET 15,14,21,Paul Smith left end for 1 yard (tackle by James Farrior and Ricardo Colclough),-0.220,-0.580
2,0:28,2,9,DET 16,14,21,Paul Smith left guard for 4 yards (tackle by Troy Polamalu),-0.580,-0.760
2,0:28,3,5,DET 20,14,21,"Joey Harrington pass complete to Paul Smith for 5 yards (tackle by Troy Polamalu). Paul Smith fumbles (forced by Troy Polamalu), recovered by Aaron Smith at DET-25 (tackle by Kyle Kosier)",-0.760,-3.910
2,0:14,1,10,DET 25,14,21,Ben Roethlisberger pass incomplete intended for Hines Ward,3.910,3.360
2,0:09,2,10,DET 25,14,21,"Ben Roethlisberger pass incomplete intended for Antwaan Randle El is intercepted by Bracy Walker at DET-3 and returned for 22 yards. Penalty on Bracy Walker: Illegal Forward Pass, not enforced",,
Quarter,Time,Down,ToGo,Location,DET,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,14,21,"Jason Hanson kicks off 67 yards, returned by Quincy Morgan for 20 yards (tackle by Vernon Fox)",0.000,0.480
3,15:00,1,10,PIT 23,14,21,Willie Parker right guard for no gain (tackle by Shaun Rogers),0.480,-0.070
3,14:17,2,10,PIT 23,14,21,Willie Parker left end for 17 yards (tackle by Bracy Walker),-0.070,1.600
3,13:40,1,10,PIT 40,14,21,Willie Parker up the middle for 8 yards (tackle by James Davis and Shaun Rogers),1.600,2.130
3,13:01,2,2,PIT 48,14,21,Willie Parker left end for 3 yards (tackle by Bracy Walker),2.130,2.320
3,12:31,1,10,DET 49,14,21,Willie Parker right guard for 5 yards (tackle by Cory Redding),2.320,2.460
3,11:54,2,5,DET 44,14,21,Ben Roethlisberger pass complete to Hines Ward for 40 yards (tackle by James Davis),2.460,6.280
3,11:05,1,4,DET 4,14,27,"Jerome Bettis up the middle for 4 yards, touchdown",6.280,7.000
3,,,,DET 2,14,28,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,14,28,"Jeff Reed kicks off 51 yards, returned by Eddie Drummond for 18 yards (tackle by Brett Keisel)",0.000,1.400
3,11:00,1,10,DET 37,14,28,"Kevin Jones right tackle for 5 yards (tackle by James Farrior). Kevin Jones fumbles (forced by James Farrior), recovered by Kelly Butler at DET-42",1.400,1.530
3,11:00,2,5,DET 42,14,28,Kevin Jones up the middle for 2 yards,1.530,1.090
3,9:35,3,3,DET 44,14,28,Joey Harrington pass complete to Marcus Pollard for 6 yards (tackle by Troy Polamalu and Deshea Townsend),1.090,2.260
3,8:57,1,10,PIT 50,14,28,Joey Harrington pass incomplete intended for Roy Williams,2.260,1.710
3,8:51,2,10,PIT 50,14,28,Kevin Jones right end for 8 yards (tackle by Deshea Townsend),1.710,2.080
3,8:22,3,2,PIT 42,14,28,Joey Harrington pass complete to Paul Smith for 11 yards (tackle by Aaron Smith),2.080,3.510
3,7:53,1,10,PIT 31,14,28,Joey Harrington pass incomplete intended for Paul Smith (defended by Clark Haggans),3.510,2.970
3,7:46,2,10,PIT 31,14,28,Kevin Jones right tackle for 5 yards (tackle by Brett Keisel),2.970,2.940
3,6:57,3,5,PIT 26,14,28,Joey Harrington left end for 8 yards (tackle by Bryant McFadden),2.940,4.370
3,6:17,1,10,PIT 18,14,28,Kevin Jones up the middle for 3 yards (tackle by Troy Polamalu),4.370,4.250
3,5:43,2,7,PIT 15,14,28,Joey Harrington pass incomplete intended for Kevin Jones,4.250,3.460
3,5:38,3,7,PIT 15,20,28,"Joey Harrington pass complete to Roy Williams for 15 yards, touchdown",3.460,7.000
3,,,,PIT 2,21,28,Jason Hanson kicks extra point good,0.000,0.000
3,,,,DET 30,21,28,"Jason Hanson kicks off 65 yards, returned by Quincy Morgan for 13 yards (tackle by Stanley Wilson)",0.000,0.040
3,5:32,1,10,PIT 18,21,28,Ben Roethlisberger pass complete to Antwaan Randle El for 13 yards (tackle by LeVar Woods),0.040,1.000
3,4:48,1,10,PIT 31,21,28,Willie Parker left end for 4 yards (tackle by Bracy Walker),1.000,1.000
3,4:12,2,6,PIT 35,21,28,Willie Parker left end for 5 yards (tackle by LeVar Woods and Bracy Walker),1.000,0.960
3,3:35,3,1,PIT 40,21,28,Jerome Bettis up the middle for 3 yards (tackle by Donte Curry and LeVar Woods),0.960,1.800
3,2:55,1,10,PIT 43,21,28,Willie Parker left tackle for 5 yards (tackle by James Davis),1.800,1.930
3,2:19,2,5,PIT 48,21,28,Ben Roethlisberger pass complete to Heath Miller for 43 yards (tackle by Donte Curry),1.930,5.140
3,1:32,1,9,DET 9,21,28,Jerome Bettis right guard for 2 yards (tackle by LeVar Woods and Donte Curry),5.140,4.760
3,0:49,2,7,DET 7,21,34,"Ben Roethlisberger left end for 7 yards, touchdown",4.760,7.000
3,,,,DET 2,21,35,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,21,35,"Jeff Reed kicks off 65 yards, returned by Eddie Drummond for 28 yards (tackle by Tyrone Carter)",0.000,1.140
3,0:42,1,10,DET 33,21,35,Joey Harrington pass complete to Cory Schlesinger for 5 yards (tackle by Troy Polamalu),1.140,1.270
3,0:05,2,5,DET 38,21,35,Joey Harrington pass incomplete intended for Scottie Vines (defended by Larry Foote),1.270,0.560
3,0:01,3,5,DET 38,21,35,Joey Harrington up the middle for 3 yards,0.560,-0.650
Quarter,Time,Down,ToGo,Location,DET,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,2,DET 41,21,35,"Nick Harris punts 46 yards, fair catch by Antwaan Randle El",-0.650,0.320
4,14:53,1,10,PIT 13,21,35,Willie Parker right guard for 21 yards (tackle by R.W. McQuarters),-0.320,1.200
4,14:11,1,10,PIT 34,21,35,Willie Parker up the middle for 1 yard (tackle by Donte Curry),1.200,0.790
4,13:28,2,9,PIT 35,21,35,Willie Parker up the middle for -5 yards (tackle by James Hall),0.790,-0.560
4,12:47,3,14,PIT 30,21,35,Ben Roethlisberger pass incomplete intended for Hines Ward,-0.560,-1.370
4,12:38,4,14,PIT 30,21,35,"Chris Gardocki punts 38 yards, returned by Eddie Drummond for -5 yards (tackle by Ricardo Colclough)",-1.370,-0.740
4,12:28,1,10,DET 27,21,35,Kevin Jones up the middle for 7 yards (tackle by Clark Haggans and Ike Taylor),0.740,1.140
4,11:52,2,3,DET 34,21,35,Kevin Jones left end for 4 yards (tackle by Chris Hope and Deshea Townsend),1.140,1.470
4,11:21,1,10,DET 38,21,35,Joey Harrington pass incomplete intended for Cory Schlesinger,1.470,0.920
4,11:21,2,10,DET 38,21,35,Joey Harrington pass incomplete intended for Casey Fitzsimmons,0.920,0.230
4,11:18,3,10,DET 38,21,35,Joey Harrington pass incomplete intended for Scottie Vines (defended by Ricardo Colclough),0.230,-0.850
4,11:12,4,10,DET 38,21,35,"Nick Harris punts 34 yards, fair catch by Antwaan Randle El",-0.850,-0.810
4,11:06,1,10,PIT 28,21,35,Willie Parker up the middle for 1 yard (tackle by Kalimba Edwards),0.810,0.400
4,10:21,2,9,PIT 29,21,35,Willie Parker left end for 8 yards (tackle by Kenoy Kennedy),0.400,0.760
4,9:40,3,1,PIT 37,21,35,Jerome Bettis right guard for 12 yards (tackle by R.W. McQuarters and Bracy Walker),0.760,2.190
4,8:56,1,10,PIT 49,21,35,Willie Parker right tackle for 3 yards (tackle by LeVar Woods),2.190,2.050
4,8:13,2,7,DET 48,21,35,"Willie Parker left end for 9 yards (tackle by Kenoy Kennedy). Penalty on Cedrick Wilson: Offensive Holding, 10 yards",2.050,1.920
4,7:00,2,8,DET 49,21,35,Willie Parker left end for 1 yard (tackle by Kenoy Kennedy),1.920,1.360
4,7:00,3,7,DET 48,21,35,Ben Roethlisberger pass incomplete intended for Quincy Morgan is intercepted by Andre' Goodman at DET-39,1.360,-1.530
4,6:54,1,10,DET 39,21,35,Kevin Jones up the middle for 2 yards (tackle by Troy Polamalu and Larry Foote),1.530,1.260
4,6:13,2,8,DET 41,21,35,"Joey Harrington pass complete to Roy Williams for 19 yards (tackle by Troy Polamalu). Penalty on Kevin Jones: Illegal Motion, 5 yards (no play)",1.260,0.580
4,5:55,2,13,DET 36,21,35,Shawn Bryson up the middle for 2 yards (tackle by Aaron Smith and James Farrior),0.580,0.170
4,5:11,3,11,DET 38,21,35,Joey Harrington pass incomplete intended for Scottie Vines (defended by James Farrior),0.170,-0.850
4,5:05,4,11,DET 38,21,35,Nick Harris punts 41 yards,-0.850,-0.340
4,4:56,1,10,PIT 21,21,35,Willie Parker right guard for 8 yards (tackle by Donte Curry and James Davis),0.340,0.880
4,4:13,2,2,PIT 29,21,35,Willie Parker up the middle for no gain (tackle by Shaun Rogers and LeVar Woods),0.880,0.170
4,4:07,,,,21,35,Timeout #1 by Detroit Lions,0.000,0.170
4,4:07,3,2,PIT 29,21,35,Jerome Bettis up the middle for 4 yards (tackle by LeVar Woods),0.170,1.140
4,3:24,1,10,PIT 33,21,35,Jerome Bettis up the middle for 4 yards (tackle by James Hall and LeVar Woods),1.140,1.130
4,3:18,,,,21,35,Timeout #2 by Detroit Lions,0.000,1.130
4,3:18,2,6,PIT 37,21,35,Jerome Bettis up the middle for 4 yards (tackle by James Hall),1.130,0.960
4,3:10,,,,21,35,Timeout #3 by Detroit Lions,0.000,0.960
4,3:10,3,2,PIT 41,21,35,Verron Haynes up the middle for 2 yards (tackle by Kenoy Kennedy and Shaun Rogers),0.960,1.800
4,2:30,1,10,PIT 43,21,35,Verron Haynes right tackle for 1 yard (tackle by Bracy Walker and Jared DeVries),1.800,1.390
4,2:00,2,9,PIT 44,21,35,Verron Haynes left guard for 12 yards (tackle by Bracy Walker),1.390,2.650
4,1:45,1,10,DET 44,21,35,Ben Roethlisberger kneels for -1 yards,2.650,1.980
4,0:55,2,11,DET 45,21,35,Ben Roethlisberger kneels for -1 yards,1.980,1.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
