Unnamed: 0,SDG,OAK
First Downs,19,19
Rush-Yds-TDs,23-77-2,32-148-1
Cmp-Att-Yd-TD-INT,24-36-252-1-1,14-32-225-1-2
Sacked-Yards,3-12,1-7
Net Pass Yards,240,218
Total Yards,317,366
Fumbles-Lost,2-1,1-1
Turnovers,2,3
Penalties-Yards,9-60,6-40
Third Down Conv.,5-12,7-14
Fourth Down Conv.,0-0,1-1
Time of Possession,28:23,31:37
