Unnamed: 0,CIN,CLE
First Downs,26,16
Rush-Yds-TDs,32-148-1,18-95-0
Cmp-Att-Yd-TD-INT,26-34-280-2-1,26-43-278-1-2
Sacked-Yards,2-8,0-0
Net Pass Yards,272,278
Total Yards,420,373
Fumbles-Lost,2-1,3-1
Turnovers,2,3
Penalties-Yards,5-40,7-56
Third Down Conv.,2-8,5-13
Fourth Down Conv.,0-1,0-3
Time of Possession,34:13,25:47
