Quarter,Time,Tm,Detail,CIN,CLE
1.0,4:37,Browns,Phil Dawson 29 yard field goal,0,3
2.0,13:44,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),7,3
,8:46,Bengals,Shayne Graham 32 yard field goal,10,3
,5:03,Browns,Frisman Jackson 68 yard pass from Trent Dilfer (Phil Dawson kick),10,10
,0:45,Bengals,Kevin Walter 20 yard pass from Carson Palmer (Shayne Graham kick),17,10
3.0,9:48,Bengals,Jeremi Johnson 18 yard pass from Carson Palmer (Shayne Graham kick),24,10
,8:24,Bengals,Shayne Graham 23 yard field goal,27,10
4.0,9:48,Browns,Phil Dawson 34 yard field goal,27,13
