Unnamed: 0,ATL,NOR
First Downs,21,17
Rush-Yds-TDs,39-231-2,34-134-0
Cmp-Att-Yd-TD-INT,13-26-97-0-0,13-19-231-3-0
Sacked-Yards,4-8,2-17
Net Pass Yards,89,214
Total Yards,320,348
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,3-30,6-46
Third Down Conv.,9-16,5-11
Fourth Down Conv.,0-1,0-1
Time of Possession,30:56,29:04
