Quarter,Time,Tm,Detail,SEA,SFO
1.0,10:03,Seahawks,Josh Brown 21 yard field goal,3,0
,4:03,49ers,Joe Nedney 33 yard field goal,3,3
2.0,13:09,Seahawks,Shaun Alexander 8 yard rush (Josh Brown kick),10,3
,10:07,49ers,Joe Nedney 31 yard field goal,10,6
,6:28,Seahawks,D.J. Hackett 12 yard pass from Matt Hasselbeck (Josh Brown kick),17,6
,2:00,49ers,Joe Nedney 40 yard field goal,17,9
3.0,6:24,49ers,Joe Nedney 22 yard field goal,17,12
,3:51,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),24,12
,2:23,Seahawks,Josh Brown 47 yard field goal,27,12
4.0,14:18,49ers,Brandon Lloyd 22 yard pass from Ken Dorsey (Joe Nedney kick),27,19
,0:28,49ers,Maurice Hicks 1 yard rush (pass failed),27,25
