Unnamed: 0,SEA,SFO
First Downs,21,17
Rush-Yds-TDs,34-145-2,26-110-1
Cmp-Att-Yd-TD-INT,19-31-233-1-0,18-29-249-1-0
Sacked-Yards,1-5,4-23
Net Pass Yards,228,226
Total Yards,373,336
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,5-75,6-34
Third Down Conv.,5-15,5-13
Fourth Down Conv.,1-1,0-0
Time of Possession,28:20,31:40
