Quarter,Time,Down,ToGo,Location,BUF,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 62 yards, returned by Darren Sproles for 17 yards (tackle by Ryan Neufeld)",0.000,0.610
1,14:56,1,10,SDG 25,0,0,LaDainian Tomlinson up the middle for 12 yards (tackle by Lawyer Milloy and Nate Clements),0.610,1.400
1,14:19,1,10,SDG 37,0,0,Drew Brees pass complete to Reche Caldwell for 39 yards (tackle by Troy Vincent),1.400,3.970
1,13:34,1,10,BUF 24,0,0,LaDainian Tomlinson left end for 3 yards (tackle by London Fletcher),3.970,3.840
1,12:53,2,7,BUF 21,0,0,Drew Brees pass complete to Lorenzo Neal for 6 yards (tackle by Jeff Posey and Chris Kelsay),3.840,4.170
1,12:15,3,1,BUF 15,0,0,LaDainian Tomlinson up the middle for 5 yards (tackle by Angelo Crowell and London Fletcher),4.170,4.910
1,11:40,1,10,BUF 10,0,0,LaDainian Tomlinson right guard for -1 yards (tackle by Jabari Greer and Jeff Posey),4.910,4.020
1,11:02,2,11,BUF 11,0,0,Drew Brees pass complete to Lorenzo Neal for 9 yards (tackle by Nate Clements),4.020,4.950
1,10:16,3,2,BUF 2,0,0,LaDainian Tomlinson up the middle for 1 yard (tackle by Tim Anderson and London Fletcher),4.950,3.550
1,9:33,4,1,BUF 1,0,6,"LaDainian Tomlinson up the middle for 1 yard, touchdown",3.550,7.000
1,,,,BUF 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Nate Kaeding kicks off 59 yards, returned by Terrence McGee for 42 yards (tackle by Nate Kaeding)",0.000,2.460
1,9:21,1,10,SDG 47,0,7,J.P. Losman pass complete to Eric Moulds for 8 yards (tackle by Drayton Florence),2.460,2.990
1,9:02,2,2,SDG 39,0,7,Willis McGahee right guard for 3 yards (tackle by Luis Castillo and Igor Olshansky),2.990,3.180
1,8:21,1,10,SDG 36,0,7,Willis McGahee right tackle for 3 yards (tackle by Luis Castillo and Jamal Williams),3.180,3.040
1,7:39,,,,0,7,Timeout #1 by Buffalo Bills,0.000,3.040
1,7:39,2,7,SDG 33,0,7,"Penalty on Mark Campbell: False Start, 5 yards (no play)",3.040,2.370
1,7:39,2,12,SDG 38,0,7,J.P. Losman pass complete to Tim Euhus for 3 yards (tackle by Donnie Edwards),2.370,2.080
1,6:55,3,9,SDG 35,0,7,J.P. Losman pass incomplete intended for Josh Reed (defended by Bhawoh Jue),2.080,0.970
1,6:45,4,9,SDG 35,3,7,Rian Lindell 53 yard field goal good,0.970,3.000
1,,,,BUF 30,3,7,"Rian Lindell kicks off 59 yards, returned by Darren Sproles for 17 yards (tackle by Josh Stamer)",0.000,0.810
1,6:34,1,10,SDG 28,3,7,LaDainian Tomlinson left end for 4 yards (tackle by Nate Clements),0.810,0.800
1,5:53,2,6,SDG 32,3,7,Drew Brees pass complete to LaDainian Tomlinson for 8 yards (tackle by Nate Clements),0.800,1.600
1,5:15,1,10,SDG 40,3,7,Keenan McCardell right end for 3 yards (tackle by Troy Vincent),1.600,1.460
1,4:38,2,7,SDG 43,3,7,Drew Brees pass complete to Keenan McCardell for 3 yards (tackle by Troy Vincent),1.460,1.160
1,3:56,3,4,SDG 46,3,7,LaDainian Tomlinson up the middle for 6 yards (tackle by Lawyer Milloy and London Fletcher),1.160,2.390
1,3:16,1,10,BUF 48,3,7,LaDainian Tomlinson right tackle for 1 yard (tackle by Angelo Crowell),2.390,1.980
1,2:35,2,9,BUF 47,3,7,Drew Brees pass complete to Antonio Gates for 6 yards (tackle by Eric King and Angelo Crowell),1.980,2.080
1,1:57,3,3,BUF 41,3,7,Drew Brees pass complete to Eric Parker for 11 yards (tackle by Nate Clements),2.080,3.580
1,1:14,1,10,BUF 30,3,7,Keenan McCardell right end for 3 yards (tackle by Troy Vincent and London Fletcher),3.580,3.440
1,0:39,2,7,BUF 27,3,13,"Drew Brees pass complete to Antonio Gates for 27 yards, touchdown",3.440,7.000
1,,,,BUF 2,3,14,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,3,14,"Nate Kaeding kicks off 54 yards, returned by Roscoe Parrish for 12 yards (tackle by Hanik Milligan)",0.000,0.810
1,0:27,1,10,BUF 28,3,14,J.P. Losman pass incomplete intended for Josh Reed (defended by Quentin Jammer),0.810,0.260
1,0:21,2,10,BUF 28,3,14,J.P. Losman sacked by Shawne Merriman for -4 yards,0.260,-0.960
Quarter,Time,Down,ToGo,Location,BUF,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,14,BUF 24,3,14,"J.P. Losman sacked by Luis Castillo for -2 yards. J.P. Losman fumbles (forced by Luis Castillo), ball out of bounds at BUF-22",-0.960,-1.900
2,14:43,4,16,BUF 22,3,14,"Brian Moorman punts 51 yards, returned by Darren Sproles for 2 yards (tackle by Josh Stamer)",-1.900,-0.870
2,14:33,1,10,SDG 29,3,14,LaDainian Tomlinson up the middle for 1 yard (tackle by Aaron Schobel),0.870,0.460
2,13:51,2,9,SDG 30,3,14,Drew Brees pass complete to Antonio Gates for 7 yards (tackle by Lawyer Milloy and Nate Clements),0.460,0.700
2,13:15,,,,3,14,Timeout #2 by Buffalo Bills,0.000,0.700
2,13:15,3,2,SDG 37,3,14,Drew Brees pass incomplete intended for Antonio Gates,0.700,-0.910
2,13:10,4,2,SDG 37,3,14,"Mike Scifres punts 53 yards, fair catch by Roscoe Parrish",-0.910,0.380
2,13:02,1,10,BUF 10,3,14,J.P. Losman pass incomplete intended for Eric Moulds,-0.380,-0.780
2,12:55,2,10,BUF 10,3,14,"J.P. Losman up the middle for no gain (tackle by Donnie Edwards and DeQuincy Scott). Penalty on Trey Teague: Offensive Holding, 5 yards (no play)",-0.780,-1.150
2,12:29,2,15,BUF 5,3,14,J.P. Losman pass complete to Lee Evans for 9 yards (tackle by Drayton Florence),-1.150,-0.950
2,12:01,3,6,BUF 14,3,14,Shaud Williams for -4 yards (tackle by Shaun Phillips),-0.950,-2.490
2,11:28,4,10,BUF 10,3,14,"Brian Moorman punts 58 yards, muffed catch by Darren Sproles, recovered by Darren Sproles and returned for -2 yards (tackle by Sam Aiken)",-2.490,-0.940
2,11:16,1,10,SDG 30,3,14,LaDainian Tomlinson up the middle for 1 yard (tackle by Jeff Posey),0.940,0.530
2,10:31,,,,3,14,Timeout #1 by San Diego Chargers,0.000,0.530
2,10:31,2,9,SDG 31,3,14,Drew Brees pass complete to Darren Sproles for 6 yards (tackle by London Fletcher and Troy Vincent),0.530,0.630
2,9:50,3,3,SDG 37,3,14,Drew Brees pass complete to Keenan McCardell for 10 yards (tackle by Eric King),0.630,2.060
2,9:34,1,10,SDG 47,3,14,LaDainian Tomlinson left tackle for 2 yards (tackle by Chris Kelsay and Angelo Crowell),2.060,1.790
2,8:53,2,8,SDG 49,3,14,Drew Brees pass complete to LaDainian Tomlinson for 12 yards (tackle by Angelo Crowell),1.790,2.980
2,8:23,1,10,BUF 39,3,14,"Drew Brees sacked by Jeff Posey for -2 yards. Drew Brees fumbles (forced by Jeff Posey), recovered by Lorenzo Neal at BUF-41. Penalty on Jeff Posey: Unnecessary Roughness, 15 yards",2.980,3.840
2,7:56,1,10,BUF 26,3,14,Drew Brees pass complete to Lorenzo Neal for 3 yards (tackle by Angelo Crowell),3.840,3.700
2,7:25,2,7,BUF 23,3,20,"Drew Brees pass complete to Eric Parker for 23 yards, touchdown",3.700,7.000
2,,,,BUF 2,3,21,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,3,21,"Nate Kaeding kicks off 66 yards, returned by Roscoe Parrish for 20 yards (tackle by Hanik Milligan)",0.000,0.540
2,7:15,1,10,BUF 24,3,21,"J.P. Losman for no gain. J.P. Losman fumbles, recovered by Randall Godfrey at BUF-22 (tackle by Willis McGahee)",0.540,-4.110
2,7:08,1,10,BUF 22,3,21,LaDainian Tomlinson left tackle for 2 yards (tackle by Aaron Schobel),4.110,3.830
2,6:28,2,8,BUF 20,3,21,"Drew Brees right tackle for 3 yards (tackle by Justin Bannan). Penalty on Nate Clements: Defensive Offside, 5 yards (no play)",3.830,4.650
