Unnamed: 0,BUF,SDG
First Downs,12,28
Rush-Yds-TDs,13-65-0,34-141-2
Cmp-Att-Yd-TD-INT,20-36-168-1-1,28-33-339-4-0
Sacked-Yards,6-31,1-2
Net Pass Yards,137,337
Total Yards,202,478
Fumbles-Lost,3-1,2-0
Turnovers,2,0
Penalties-Yards,9-65,2-10
Third Down Conv.,3-13,6-11
Fourth Down Conv.,2-4,2-2
Time of Possession,22:30,37:30
