Unnamed: 0,NYJ,DET
First Downs,26,13
Rush-Yds-TDs,39-189-0,20-108-0
Cmp-Att-Yd-TD-INT,21-26-229-4-1,15-30-171-2-1
Sacked-Yards,1-10,0-0
Net Pass Yards,219,171
Total Yards,408,279
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,4-45,5-47
Third Down Conv.,8-11,4-12
Fourth Down Conv.,0-0,0-2
Time of Possession,38:44,21:16
