Quarter,Time,Tm,Detail,BUF,JAX
1.0,8:57,Jaguars,Matthew Wright 39 yard field goal,0,3
,3:54,Bills,Tyler Bass 24 yard field goal,3,3
2.0,10:59,Bills,Tyler Bass 41 yard field goal,6,3
,5:30,Jaguars,Matthew Wright 55 yard field goal,6,6
4.0,12:10,Jaguars,Matthew Wright 21 yard field goal,6,9
