Unnamed: 0,BUF,JAX
First Downs,17,16
Rush-Yds-TDs,14-72-0,27-79-0
Cmp-Att-Yd-TD-INT,31-47-264-0-2,17-28-151-0-0
Sacked-Yards,4-35,2-12
Net Pass Yards,229,139
Total Yards,301,218
Fumbles-Lost,2-1,1-1
Turnovers,3,1
Penalties-Yards,12-118,8-54
Third Down Conv.,6-15,2-13
Fourth Down Conv.,0-1,2-2
Time of Possession,30:38,29:22
