Unnamed: 0,GNB,CLE
First Downs,25,12
Rush-Yds-TDs,41-202-1,21-58-0
Cmp-Att-Yd-TD-INT,16-22-258-3-0,12-29-99-0-1
Sacked-Yards,0-0,2-18
Net Pass Yards,258,81
Total Yards,460,139
Fumbles-Lost,0-0,3-1
Turnovers,0,2
Penalties-Yards,8-70,5-40
Third Down Conv.,6-11,2-12
Fourth Down Conv.,0-1,0-1
Time of Possession,35:54,24:06
