Quarter,Time,Down,ToGo,Location,GNB,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,Mason Crosby kicks off 69 yards,0.000,1.600
1,15:00,1,10,CLE 40,0,0,Jamal Lewis right guard for 3 yards (tackle by A.J. Hawk),1.600,1.460
1,14:18,2,7,CLE 43,0,0,"Derek Anderson pass incomplete short left intended for Mohamed Massaquoi. Penalty on Mohamed Massaquoi: Offensive Pass Interfere, 10 yards (no play)",1.460,0.110
1,14:13,2,17,CLE 33,0,0,Jamal Lewis right guard for no gain (tackle by Cullen Jenkins),0.110,-0.560
1,13:32,3,17,CLE 33,0,0,Derek Anderson pass complete short right to Jerome Harrison for 9 yards (tackle by Brandon Chillar and Clay Matthews),-0.560,-0.590
1,12:53,4,8,CLE 42,0,0,"Dave Zastudil punts 46 yards, returned by Tramon Williams for 2 yards (tackle by Mike Adams)",-0.590,0.280
1,12:44,1,10,GNB 14,0,0,Ryan Grant for 4 yards (tackle by Eric Wright),-0.280,-0.210
1,12:18,2,6,GNB 18,0,0,Ryan Grant right tackle for 3 yards (tackle by Kaluka Maiava),-0.210,-0.560
1,11:36,3,3,GNB 21,0,0,Brandon Jackson right guard for 3 yards (tackle by Brandon McDonald and Hank Poteat),-0.560,0.540
1,10:53,1,10,GNB 24,0,0,Ryan Grant right guard for 9 yards (tackle by Brodney Pool and Kamerion Wimbley),0.540,1.210
1,10:12,2,1,GNB 33,0,0,Aaron Rodgers pass complete short left to Jermichael Finley for 16 yards (tackle by Eric Wright),1.210,2.190
1,9:27,1,10,GNB 49,0,0,Brandon Jackson left guard for 6 yards (tackle by Kamerion Wimbley and Mike Adams),2.190,2.460
1,8:47,2,4,CLE 45,0,0,Ryan Grant left guard for 4 yards (tackle by Robaire Smith),2.460,2.850
1,8:13,1,10,CLE 41,0,0,Ryan Grant left tackle for 5 yards (tackle by Kaluka Maiava),2.850,2.980
1,7:36,2,5,CLE 36,0,0,Ryan Grant left guard for 2 yards (tackle by Eric Barton),2.980,2.540
1,6:57,3,3,CLE 34,0,0,Brandon Jackson left tackle for 2 yards (tackle by Shaun Rogers),2.540,1.310
1,6:24,4,1,CLE 32,0,0,Aaron Rodgers middle for no gain (tackle by Robaire Smith and David Bowens),1.310,-1.000
,,,,,,,"GNB challenged the first down ruling, and the play was upheld.",,
1,6:19,1,10,CLE 31,0,0,Derek Anderson pass complete short right to Michael Gaines for 9 yards (tackle by Atari Bigby),1.000,1.680
1,5:46,2,1,CLE 40,0,0,Derek Anderson middle for 3 yards (tackle by A.J. Hawk),1.680,1.800
1,5:14,1,10,CLE 43,0,0,Jamal Lewis left tackle for -1 yards (tackle by A.J. Hawk and Aaron Kampman),1.800,1.120
1,4:34,2,11,CLE 42,0,0,"Derek Anderson pass complete deep middle to Mohamed Massaquoi for 22 yards (tackle by Al Harris). Penalty on Al Harris: Face Mask (15 Yards), 15 yards",1.120,4.170
1,4:10,1,10,GNB 21,0,0,Josh Cribbs left guard for 1 yard (tackle by Clay Matthews),4.170,3.760
1,3:29,2,9,GNB 20,0,0,Derek Anderson pass complete short right to Mike Furrey for 5 yards (tackle by Charles Woodson),3.760,3.810
1,2:50,3,4,GNB 15,0,0,Derek Anderson pass complete short left to Lawrence Vickers for 10 yards (tackle by Cullen Jenkins),3.810,6.060
1,2:04,1,5,GNB 5,0,0,Jamal Lewis right tackle for 3 yards (tackle by A.J. Hawk),6.060,5.720
1,2:04,,,,0,0,Timeout #1 by Cleveland Browns,0.000,5.720
1,1:18,2,2,GNB 2,0,0,"Derek Anderson for no gain. Derek Anderson fumbles, recovered by Derek Anderson at GNB-2",5.720,4.490
1,0:06,3,4,GNB 4,0,0,Derek Anderson pass incomplete short right intended for Mike Furrey (defended by Nick Barnett),4.490,3.030
Quarter,Time,Down,ToGo,Location,GNB,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,GNB 4,0,3,Billy Cundiff 22 yard field goal good,3.030,3.000
2,,,,CLE 30,0,3,"Billy Cundiff kicks off 64 yards, returned by Brandon Jackson for 23 yards (tackle by Jason Trusnik)",0.000,0.870
2,14:53,1,10,GNB 29,0,3,Aaron Rodgers pass incomplete short right intended for Greg Jennings,0.870,0.330
2,14:50,2,10,GNB 29,0,3,Aaron Rodgers pass complete short left to Donald Lee for 4 yards (tackle by Kaluka Maiava),0.330,0.170
2,14:10,3,6,GNB 33,0,3,Aaron Rodgers pass complete short right to Donald Driver for 13 yards (tackle by Brodney Pool),0.170,1.990
2,13:41,1,10,GNB 46,0,3,Aaron Rodgers pass complete short left to Greg Jennings for 6 yards (tackle by Mike Furrey and Brandon McDonald),1.990,2.260
2,13:00,2,4,CLE 48,0,3,Ryan Grant right guard for 3 yards (tackle by Mike Adams and Ahtyba Rubin),2.260,1.950
2,12:22,3,1,CLE 45,6,3,"Aaron Rodgers pass complete short right to Spencer Havner for 45 yards, touchdown",1.950,7.000
2,,,,CLE 2,7,3,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,7,3,"Mason Crosby kicks off 71 yards, returned by Josh Cribbs for 28 yards (tackle by Spencer Havner)",0.000,0.740
2,12:03,1,10,CLE 27,7,3,Derek Anderson pass incomplete short left intended for Lawrence Vickers,0.740,0.200
2,11:59,2,10,CLE 27,7,3,Derek Anderson pass complete short left to Greg Estandia for 5 yards (tackle by A.J. Hawk),0.200,0.170
2,11:15,3,5,CLE 32,7,3,Derek Anderson pass incomplete deep left intended for Mohamed Massaquoi,0.170,-1.240
2,11:09,4,5,CLE 32,7,3,"Dave Zastudil punts 40 yards, returned by Tramon Williams for 5 yards (tackle by Blake Costanzo). Penalty on GNB: Defensive 12 On-field, 5 yards (no play)",-1.240,1.400
2,10:56,1,10,CLE 37,7,3,Jamal Lewis right tackle for no gain (tackle by Johnny Jolly and Ryan Pickett),1.400,0.860
2,10:56,2,10,CLE 37,7,3,"Penalty on Lawrence Vickers: False Start, 5 yards (no play)",0.860,0.180
2,9:55,2,15,CLE 32,7,3,Derek Anderson pass incomplete deep left intended for Mohamed Massaquoi,0.180,-0.490
2,9:49,3,15,CLE 32,7,3,Jerome Harrison right guard for 4 yards (tackle by Johnny Jolly and Brandon Chillar),-0.490,-0.980
2,9:14,4,11,CLE 36,7,3,"Dave Zastudil punts 56 yards, returned by Tramon Williams for 6 yards (tackle by Raymond Ventrone)",-0.980,0.280
2,8:58,1,10,GNB 14,7,3,Ryan Grant right guard for 6 yards (tackle by David Bowens),-0.280,0.150
2,8:22,2,4,GNB 20,7,3,"Ryan Grant for 4 yards (tackle by Eric Wright). Penalty on Donald Lee: Offensive Holding, 10 yards (no play)",0.150,-1.070
2,7:59,2,14,GNB 10,7,3,Aaron Rodgers pass complete deep middle to Donald Lee for 19 yards (tackle by Eric Barton and Brodney Pool),-1.070,0.870
2,7:12,1,10,GNB 29,13,3,"Aaron Rodgers pass complete short left to Donald Driver for 71 yards, touchdown",0.870,7.000
2,,,,CLE 2,14,3,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,14,3,"Mason Crosby kicks off 73 yards, touchback",0.000,0.280
2,7:01,1,10,CLE 20,14,3,Derek Anderson pass incomplete short left intended for Lawrence Vickers,0.280,-0.270
2,6:55,2,10,CLE 20,14,3,Jerome Harrison right guard for 2 yards (tackle by Brandon Chillar),-0.270,-0.690
2,6:09,3,8,CLE 22,14,3,"Derek Anderson pass incomplete deep left intended for Mohamed Massaquoi. Penalty on Al Harris: Illegal Contact, 5 yards (no play)",-0.690,0.740
2,6:05,1,10,CLE 27,14,3,Derek Anderson pass incomplete short left intended for Brian Robiskie,0.740,0.200
2,6:00,2,10,CLE 27,14,3,Jamal Lewis left tackle for 1 yard (tackle by Clay Matthews),0.200,-0.360
2,5:15,3,9,CLE 28,14,3,Derek Anderson pass incomplete short right intended for Brian Robiskie is intercepted by Charles Woodson at CLE-40 and returned for 25 yards,-0.360,-4.580
2,5:03,1,10,CLE 15,14,3,Aaron Rodgers for 3 yards (tackle by Kaluka Maiava),4.580,4.450
2,4:35,2,7,CLE 12,14,3,Ryan Grant right guard for 9 yards (tackle by Brodney Pool and Abram Elam),4.450,6.510
2,3:49,1,3,CLE 3,14,3,Aaron Rodgers pass incomplete short left intended for Greg Jennings,6.510,5.530
2,3:45,2,3,CLE 3,14,3,Ryan Grant left guard for 2 yards (tackle by Kenyon Coleman and David Bowens),5.530,5.170
2,3:01,3,1,CLE 1,14,3,Aaron Rodgers pass incomplete short right intended for Donald Driver. Penalty on Brandon McDonald: Defensive Pass Interfere (no play),5.170,6.970
2,2:56,1,1,CLE 1,14,3,Ryan Grant left guard for no gain (tackle by Robaire Smith and Eric Barton),6.970,5.910
2,2:20,2,1,CLE 1,14,3,John Kuhn right guard for no gain (tackle by Ahtyba Rubin and Robaire Smith),5.910,5.170
2,2:00,3,1,CLE 1,20,3,"Ryan Grant left tackle for 1 yard, touchdown",5.170,7.000
2,,,,CLE 2,21,3,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,21,3,"Mason Crosby kicks off 68 yards, returned by Josh Cribbs for 41 yards (tackle by Derrick Martin)",0.000,1.800
2,1:46,1,10,CLE 43,21,3,Derek Anderson pass complete short right to Jerome Harrison for -2 yards (tackle by Nick Barnett),1.800,0.980
2,1:09,2,12,CLE 41,21,3,Derek Anderson pass complete short right to Jerome Harrison for 10 yards (tackle by Nick Collins),0.980,1.620
2,0:41,3,2,GNB 49,21,3,Derek Anderson pass complete short left to Greg Estandia for 5 yards (tackle by Atari Bigby),1.620,2.650
2,0:35,,,,21,3,Timeout #2 by Cleveland Browns,0.000,2.650
2,0:35,1,10,GNB 44,21,3,Derek Anderson pass incomplete short left intended for Brian Robiskie,2.650,2.110
2,0:30,2,10,GNB 44,21,3,Derek Anderson sacked by Aaron Kampman and Cullen Jenkins for -7 yards,2.110,0.500
2,0:02,,,,21,3,Timeout #3 by Cleveland Browns,0.000,0.500
2,0:02,3,17,CLE 49,21,3,Derek Anderson pass incomplete deep right intended for Brian Robiskie (defended by Atari Bigby),0.500,-0.130
Quarter,Time,Down,ToGo,Location,GNB,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,21,3,"Billy Cundiff kicks off 67 yards, returned by Brandon Jackson for 13 yards (tackle by Nick Sorensen)",0.000,-0.140
3,14:55,1,10,GNB 16,21,3,Ryan Grant right guard for 7 yards (tackle by David Bowens and Robaire Smith),-0.140,0.420
3,14:15,2,3,GNB 23,21,3,"Aaron Rodgers pass complete short right to Greg Jennings for 8 yards (tackle by Eric Barton). Penalty on Kaluka Maiava: Unnecessary Roughness, 15 yards",0.420,1.990
3,13:43,1,10,GNB 46,21,3,"Ryan Grant right guard for -1 yards (tackle by Shaun Rogers). Penalty on Shaun Rogers: Tripping, 10 yards",1.990,2.590
3,13:27,1,10,CLE 45,21,3,Aaron Rodgers middle for 1 yard (tackle by Robaire Smith),2.590,2.180
3,12:41,2,9,CLE 44,21,3,Aaron Rodgers pass complete short right to Greg Jennings for 8 yards (tackle by Brandon McDonald),2.180,2.540
3,11:58,3,1,CLE 36,21,3,Ryan Grant right tackle for 9 yards (tackle by Brodney Pool),2.540,3.780
3,11:15,1,10,CLE 27,21,3,Aaron Rodgers pass incomplete deep right intended for Donald Driver,3.780,3.230
3,11:08,,,,21,3,Timeout #1 by Green Bay Packers,0.000,3.230
3,11:07,2,10,CLE 27,21,3,Aaron Rodgers pass incomplete deep right intended for Greg Jennings,3.230,2.540
3,11:04,3,10,CLE 27,21,3,"Aaron Rodgers pass complete short middle to Spencer Havner for 12 yards (tackle by Brandon McDonald). Penalty on Donald Lee: Offensive Pass Interfere, 10 yards (no play)",2.540,1.220
3,10:33,3,20,CLE 37,21,3,Aaron Rodgers pass incomplete short left intended for Donald Lee (defended by Mike Adams),1.220,0.790
3,10:28,4,20,CLE 37,21,3,Mason Crosby 55 yard field goal no good,0.790,-1.930
3,10:23,1,10,CLE 45,21,3,Jamal Lewis right guard for 4 yards (tackle by Nick Barnett),1.930,1.920
3,9:53,2,6,CLE 49,21,3,Jamal Lewis left guard for 4 yards (tackle by Johnny Jolly),1.920,1.750
3,9:06,3,2,GNB 47,21,3,"Derek Anderson pass complete short right to Josh Cribbs for -1 yards (tackle by Charles Woodson). Josh Cribbs fumbles (forced by Charles Woodson), recovered by Brandon Chillar at GNB-48 (tackle by Alex Mack)",1.750,-2.130
,,,,,,,"CLE challenged the fumble ruling, and the play was upheld.",,
3,8:56,1,10,GNB 48,21,3,Ryan Grant left guard for 15 yards (tackle by Abram Elam),2.130,3.120
3,8:14,1,10,CLE 37,21,3,Ryan Grant right guard for 5 yards (tackle by Robaire Smith and David Bowens),3.120,3.250
3,7:35,2,5,CLE 32,21,3,Ryan Grant right guard for 6 yards (tackle by Kaluka Maiava and Eric Barton),3.250,3.840
3,6:56,1,10,CLE 26,21,3,Brandon Jackson right guard for 2 yards (tackle by Robaire Smith and Shaun Rogers),3.840,3.570
3,6:17,2,8,CLE 24,21,3,Aaron Rodgers pass complete short left to Donald Lee for 16 yards (tackle by Brandon McDonald and Abram Elam),3.570,5.370
3,5:39,1,8,CLE 8,21,3,Ryan Grant right guard for 4 yards (tackle by Kenyon Coleman),5.370,5.340
3,5:00,2,4,CLE 4,21,3,Aaron Rodgers pass complete short right to Quinn Johnson for no gain,5.340,4.490
3,4:22,3,4,CLE 4,21,3,Aaron Rodgers pass complete short right to Ryan Grant for 3 yards (tackle by Eric Barton),4.490,3.550
3,3:36,4,1,CLE 1,24,3,Mason Crosby 18 yard field goal good,3.550,3.000
3,,,,GNB 30,24,3,"Mason Crosby kicks off 76 yards, touchback",0.000,0.280
3,3:34,1,10,CLE 20,24,3,"Penalty on Ryan Pickett: Encroachment, 5 yards (no play)",0.280,1.010
3,3:34,1,5,CLE 25,24,3,Derek Anderson pass incomplete deep left intended for Mohamed Massaquoi,1.010,0.410
3,3:30,2,5,CLE 25,24,3,Jamal Lewis left guard for 11 yards (tackle by Aaron Kampman and A.J. Hawk),0.410,1.330
3,2:49,1,10,CLE 36,24,3,Jamal Lewis left guard for no gain (tackle by Nick Barnett and Aaron Kampman),1.330,0.790
3,2:05,2,10,CLE 36,24,3,Derek Anderson pass incomplete short left intended for Josh Cribbs,0.790,0.100
3,2:01,3,10,CLE 36,24,3,"Derek Anderson pass incomplete short right intended for Greg Estandia. Penalty on Brady Poppinga: Defensive Holding, 5 yards (no play)",0.100,1.660
3,1:57,1,10,CLE 41,24,3,Derek Anderson pass incomplete deep left intended for Mohamed Massaquoi,1.660,1.120
3,1:51,2,10,CLE 41,24,3,"Derek Anderson pass complete short left to Jerome Harrison for 6 yards (tackle by Nick Barnett). Penalty on Atari Bigby: Unnecessary Roughness, 15 yards",1.120,3.050
3,1:29,1,10,GNB 38,24,3,Jamal Lewis for 16 yards (tackle by Charles Woodson),3.050,4.110
3,1:02,1,10,GNB 22,24,3,Derek Anderson pass complete deep right to Michael Gaines for 21 yards (tackle by Brandon Chillar),4.110,6.970
3,0:30,,,,24,3,Timeout #2 by Green Bay Packers,0.000,6.970
3,0:30,1,1,GNB 1,24,3,Jamal Lewis left guard for -2 yards (tackle by A.J. Hawk),6.970,5.530
3,0:30,2,3,GNB 3,24,3,Derek Anderson pass incomplete short left intended for Mohamed Massaquoi,5.530,4.720
Quarter,Time,Down,ToGo,Location,GNB,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,GNB 3,24,3,Jamal Lewis right guard for 2 yards (tackle by Atari Bigby),4.720,3.550
4,14:19,4,1,GNB 1,24,3,Derek Anderson pass incomplete short left intended for Mohamed Massaquoi,3.550,0.380
4,14:14,1,10,GNB 1,24,3,Aaron Rodgers pass complete short right to Greg Jennings for 18 yards (tackle by Abram Elam),-0.380,0.150
4,13:37,1,10,GNB 19,24,3,Ryan Grant right tackle for 2 yards (tackle by Eric Barton and Shaun Rogers),0.150,-0.060
4,13:00,2,8,GNB 21,24,3,Aaron Rodgers pass complete short right to Spencer Havner for 14 yards (tackle by Brandon McDonald),-0.060,1.270
4,12:23,1,10,GNB 35,24,3,Ryan Grant right tackle for 1 yard (tackle by C.J. Mosley and Jason Trusnik),1.270,0.860
4,11:44,2,9,GNB 36,24,3,Ryan Grant left tackle for 3 yards (tackle by Robaire Smith and David Bowens),0.860,0.560
4,11:05,3,6,GNB 39,24,3,Aaron Rodgers middle for 19 yards (tackle by Eric Wright),0.560,2.790
4,10:19,1,10,CLE 42,24,3,Ryan Grant right tackle for 37 yards (tackle by Abram Elam),2.790,6.060
4,9:47,1,5,CLE 5,30,3,"Aaron Rodgers pass complete short left to James Jones for 5 yards, touchdown",6.060,7.000
4,,,,CLE 2,31,3,Mason Crosby kicks extra point good,0.000,0.000
4,,,,GNB 30,31,3,Mason Crosby kicks off 66 yards,0.000,1.600
4,9:42,1,10,CLE 40,31,3,Derek Anderson pass incomplete short left intended for Lawrence Vickers,1.600,1.050
4,9:38,2,10,CLE 40,31,3,Jamal Lewis left tackle for 5 yards (tackle by Nick Barnett and Atari Bigby),1.050,1.030
4,9:09,3,5,CLE 45,31,3,Derek Anderson pass incomplete short right intended for Mohamed Massaquoi,1.030,-0.390
4,9:04,4,5,CLE 45,31,3,"Dave Zastudil punts 44 yards, fair catch by Tramon Williams",-0.390,0.370
4,8:56,1,10,GNB 11,31,3,Ryan Grant right guard for 3 yards (tackle by Jason Trusnik),-0.370,-0.530
4,8:15,2,7,GNB 14,31,3,Ryan Grant right tackle for -2 yards (tackle by Robaire Smith),-0.530,-1.300
4,7:30,3,9,GNB 12,31,3,Matt Flynn pass incomplete short middle intended for Donald Lee (defended by Brandon McDonald),-1.300,-2.490
4,7:25,4,9,GNB 12,31,3,"Jeremy Kapinos punts 42 yards, returned by Josh Cribbs for 9 yards (tackle by Spencer Havner)",-2.490,-2.590
4,7:14,1,10,GNB 45,31,3,Derek Anderson pass incomplete short middle intended for Brian Robiskie (defended by Ryan Pickett),2.590,2.040
4,7:09,2,10,GNB 45,31,3,Jamal Lewis left guard for 1 yard (tackle by Nick Barnett and Nick Collins),2.040,1.490
4,6:25,3,9,GNB 44,31,3,"Derek Anderson sacked by Cullen Jenkins for -11 yards. Derek Anderson fumbles (forced by Cullen Jenkins), recovered by Derek Anderson at CLE-45",1.490,-0.390
4,6:01,4,20,CLE 45,31,3,"Dave Zastudil punts 39 yards, returned by Tramon Williams for -2 yards (tackle by Alex Hall)",-0.390,0.280
4,5:52,1,10,GNB 14,31,3,Ryan Grant right guard for 8 yards (tackle by Robaire Smith and Brodney Pool),-0.280,0.420
4,5:19,2,2,GNB 22,31,3,Ryan Grant right tackle for 3 yards (tackle by David Bowens and Robaire Smith),0.420,0.610
4,4:34,1,10,GNB 25,31,3,Matt Flynn pass complete short right to Greg Jennings for 12 yards (tackle by Eric Wright),0.610,1.400
4,3:55,1,10,GNB 37,31,3,Brandon Jackson right guard for 2 yards (tackle by Jason Trusnik),1.400,1.130
4,3:12,2,8,GNB 39,31,3,Brandon Jackson left guard for 9 yards (tackle by Brandon McDonald),1.130,2.130
4,2:25,1,10,GNB 48,31,3,Brandon Jackson right guard for 3 yards (tackle by Jason Trusnik and Kamerion Wimbley),2.130,1.990
4,2:00,2,7,CLE 49,31,3,Brandon Jackson right tackle for 2 yards (tackle by Kamerion Wimbley),1.990,1.550
4,1:19,3,5,CLE 47,31,3,Brandon Jackson right tackle for 2 yards (tackle by Corey Williams and Hank Poteat),1.550,0.270
4,0:35,4,3,CLE 45,31,3,"Jeremy Kapinos punts 45 yards, touchback",0.270,-0.280
4,0:27,1,10,CLE 20,31,3,Jerome Harrison left guard for 1 yard (tackle by B.J. Raji),0.280,-0.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
