Quarter,Time,Tm,Detail,GNB,CLE
2.0,14:58,Browns,Billy Cundiff 22 yard field goal,0,3
,12:11,Packers,Spencer Havner 45 yard pass from Aaron Rodgers (Mason Crosby kick),7,3
,7:01,Packers,Donald Driver 71 yard pass from Aaron Rodgers (Mason Crosby kick),14,3
,1:56,Packers,Ryan Grant 1 yard rush (Mason Crosby kick),21,3
3.0,3:34,Packers,Mason Crosby 18 yard field goal,24,3
4.0,9:42,Packers,James Jones 5 yard pass from Aaron Rodgers (Mason Crosby kick),31,3
