Quarter,Time,Tm,Detail,SFO,SEA
1.0,10:06,49ers,Jose Cortez 37 yard field goal,3,0
,6:50,49ers,Terrell Owens 8 yard pass from Jeff Garcia (Jose Cortez kick),10,0
,1:45,Seahawks,Mack Strong 5 yard pass from Trent Dilfer (Rian Lindell kick),10,7
2.0,5:41,Seahawks,Bobby Engram 61 yard punt return (Rian Lindell kick),10,14
,2:09,49ers,Jose Cortez 29 yard field goal,13,14
3.0,5:29,49ers,Kevan Barlow 6 yard rush (Jose Cortez kick),20,14
,1:11,Seahawks,Shaun Alexander 1 yard rush (Rian Lindell kick),20,21
4.0,7:46,49ers,Terrell Owens 37 yard pass from Jeff Garcia (Garrison Hearst pass from Jeff Garcia),28,21
