Unnamed: 0,SFO,SEA
First Downs,24,24
Rush-Yds-TDs,31-161-1,30-123-1
Cmp-Att-Yd-TD-INT,16-29-202-2-0,21-31-212-1-2
Sacked-Yards,2-12,1-1
Net Pass Yards,190,211
Total Yards,351,334
Fumbles-Lost,0-0,2-0
Turnovers,0,2
Penalties-Yards,8-51,10-80
Third Down Conv.,7-12,10-15
Fourth Down Conv.,0-0,0-0
Time of Possession,29:31,30:29
