Quarter,Time,Tm,Detail,SFO,ATL
1.0,5:57,49ers,Vernon Davis 12 yard pass from Alex Smith (Joe Nedney kick),7,0
,4:26,49ers,Taylor Mays blocked punt recovery in end zone (Joe Nedney kick),14,0
2.0,13:09,Falcons,Harry Douglas 8 yard pass from Matt Ryan (Matt Bryant kick),14,7
,0:00,Falcons,Matt Bryant 37 yard field goal,14,10
3.0,5:49,Falcons,Matt Bryant 31 yard field goal,14,13
4.0,0:02,Falcons,Matt Bryant 43 yard field goal,14,16
