Unnamed: 0,SFO,ATL
First Downs,17,23
Rush-Yds-TDs,23-81-0,29-98-0
Cmp-Att-Yd-TD-INT,21-32-188-1-2,26-43-273-1-2
Sacked-Yards,1-7,3-14
Net Pass Yards,181,259
Total Yards,262,357
Fumbles-Lost,3-1,0-0
Turnovers,3,2
Penalties-Yards,6-41,4-60
Third Down Conv.,6-12,5-14
Fourth Down Conv.,1-1,1-1
Time of Possession,30:41,29:19
