Unnamed: 0,STL,WAS
First Downs,11,19
Rush-Yds-TDs,13-67-0,37-182-2
Cmp-Att-Yd-TD-INT,17-32-150-1-0,23-27-203-1-0
Sacked-Yards,1-4,2-12
Net Pass Yards,146,191
Total Yards,213,373
Fumbles-Lost,2-0,1-1
Turnovers,0,1
Penalties-Yards,9-80,7-53
Third Down Conv.,2-12,8-16
Fourth Down Conv.,0-1,0-0
Time of Possession,22:16,37:44
