Quarter,Time,Tm,Detail,STL,WAS
1.0,7:05,Redskins,Matt Jones 39 yard rush (Dustin Hopkins kick),0,7
,0:53,Redskins,Dustin Hopkins 46 yard field goal,0,10
2.0,3:02,Redskins,Pierre Garcon 4 yard pass from Kirk Cousins (Dustin Hopkins kick),0,17
3.0,9:33,Rams,Greg Zuerlein 52 yard field goal,3,17
,7:01,Rams,Kenny Britt 40 yard pass from Nick Foles (Greg Zuerlein kick),10,17
4.0,2:38,Redskins,Matt Jones 3 yard rush (Dustin Hopkins kick),10,24
