#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:27,WAS 38,2,0:50,4,Interception
2,1,10:37,WAS 28,4,2:12,72,Touchdown
3,1,4:33,WAS 40,4,2:13,18,Punt
4,1,0:22,JAX 45,6,2:23,19,Field Goal
5,2,11:20,WAS 20,6,2:37,10,Punt
6,2,6:13,WAS 20,6,3:19,39,Punt
7,2,2:14,WAS 10,3,1:13,5,Punt
8,2,1:01,JAX 46,4,0:55,27,Field Goal
9,3,15:00,WAS 34,7,3:48,26,Punt
10,3,8:00,WAS 14,10,5:11,86,Touchdown
11,3,1:12,JAX 29,7,3:48,29,Touchdown
12,4,10:20,WAS 26,2,1:23,-3,Fumble
13,4,6:40,WAS 49,8,4:45,31,Field Goal
14,4,0:06,WAS 35,1,0:06,23,End of Half
15,5,15:00,WAS 20,3,1:49,80,Touchdown
