Unnamed: 0,JAX,WAS
First Downs,12,22
Rush-Yds-TDs,16-32-0,40-152-1
Cmp-Att-Yd-TD-INT,20-34-290-3-1,18-30-329-3-1
Sacked-Yards,4-15,0-0
Net Pass Yards,275,329
Total Yards,307,481
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,4-35,4-40
Third Down Conv.,2-13,7-14
Fourth Down Conv.,2-2,0-0
Time of Possession,25:17,36:32
