Quarter,Time,Down,ToGo,Location,JAX,WAS,Detail,EPB,EPA
1,7:39,2,11,WAS 46,3,7,Byron Leftwich pass complete short left to Marcedes Lewis for 9 yards (tackle by Warrick Holdman),1.910,2.410
1,7:00,3,2,WAS 37,3,7,Maurice Jones-Drew middle for 1 yard (tackle by Kedric Golston and Sean Taylor),2.410,0.890
1,6:15,4,1,WAS 36,3,7,Byron Leftwich middle for 2 yards (tackle by Marcus Washington),0.890,3.310
1,5:33,1,10,WAS 34,3,7,Byron Leftwich pass incomplete deep right intended for Matt Jones (defended by Sean Taylor),3.310,2.770
1,5:26,1,10,WAS 34,3,7,Timeout #1 by Jacksonville Jaguars,3.310,2.770
1,5:26,2,10,WAS 34,3,7,Byron Leftwich pass complete short middle to Maurice Jones-Drew for 1 yard (tackle by Cornelius Griffin and Carlos Rogers),2.770,2.210
1,4:43,3,9,WAS 33,9,7,"Byron Leftwich pass complete short middle to Reggie Williams for 33 yards, touchdown",2.210,7.000
1,4:43,,,WAS 2,10,7,Josh Scobee kicks extra point good,0.000,0.000
1,4:43,,,JAX 30,10,7,"Josh Scobee kicks off 59 yards, out of bounds",0.000,1.600
1,4:33,1,10,WAS 40,10,7,Mark Brunell pass complete short left to Christian Fauria for 11 yards (tackle by Brian Williams),1.600,2.320
1,3:57,1,10,JAX 49,10,7,Ladell Betts right end for 5 yards (tackle by Donovin Darius),2.320,2.460
1,3:16,2,5,JAX 44,10,7,Ladell Betts left guard for 2 yards (tackle by Deon Grant),2.460,2.020
1,3:16,3,3,JAX 42,10,7,Mark Brunell pass incomplete short left intended for Santana Moss (defended by Rashean Mathis),2.020,0.460
1,2:31,4,3,JAX 42,10,7,Derrick Frost punts 36 yards,0.460,0.380
1,2:20,1,10,JAX 6,10,7,Fred Taylor left guard for 3 yards (tackle by Adam Archuleta),-0.380,-0.560
1,1:39,2,7,JAX 9,10,7,Fred Taylor right tackle for 3 yards (tackle by Cornelius Griffin and Andre Carter),-0.560,-0.720
1,1:00,3,4,JAX 12,10,7,Byron Leftwich sacked by Phillip Daniels for -3 yards,-0.720,-2.490
1,0:30,4,7,JAX 9,10,7,"Chris Hanson punts 40 yards, returned by Antwaan Randle El for 4 yards (tackle by Gerald Sensabaugh)",-2.490,-2.590
1,0:22,1,10,JAX 45,10,7,Antwaan Randle El left end for 3 yards (tackle by Mike Peterson),2.590,2.450
Quarter,Time,Down,ToGo,Location,JAX,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,JAX 42,10,7,Clinton Portis left end for 10 yards (tackle by Donovin Darius),2.450,3.450
2,14:19,1,10,JAX 32,10,7,Mark Brunell pass complete short left to Clinton Portis for 5 yards (tackle by Deon Grant),3.450,3.580
2,13:47,2,5,JAX 27,10,7,Clinton Portis left end for 1 yard (tackle by Mike Peterson),3.580,3.010
2,13:08,3,4,JAX 26,10,7,Mark Brunell pass incomplete short right intended for Clinton Portis,3.010,1.810
2,13:04,4,4,JAX 26,10,10,John Hall 44 yard field goal good,1.810,3.000
2,13:04,,,WAS 30,10,10,"John Hall kicks off 57 yards, returned by Maurice Jones-Drew for 18 yards (tackle by Ade Jimoh)",0.000,1.000
2,12:55,1,10,JAX 31,10,10,Byron Leftwich pass complete deep right to George Wrighster for 23 yards (tackle by Warrick Holdman),1.000,2.520
2,12:12,1,10,WAS 46,10,10,Byron Leftwich pass incomplete deep right intended for Matt Jones,2.520,1.980
2,12:08,2,10,WAS 46,10,10,Byron Leftwich sacked by Adam Archuleta for -5 yards,1.980,0.630
2,11:29,3,15,JAX 49,16,10,"Byron Leftwich pass complete short middle to Maurice Jones-Drew for 51 yards, touchdown",0.630,7.000
2,11:29,,,WAS 2,17,10,Josh Scobee kicks extra point good,0.000,0.000
2,11:29,,,JAX 30,17,10,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
2,11:20,1,10,WAS 20,17,10,Mark Brunell pass incomplete deep left intended for Chris Cooley,0.280,-0.270
2,11:14,2,10,WAS 20,17,10,Ladell Betts right end for 9 yards (tackle by Nick Greisen and Donovin Darius),-0.270,0.230
2,10:37,3,1,WAS 29,17,10,Ladell Betts left end for 1 yard (tackle by Mike Peterson and Nick Greisen),0.230,0.940
2,9:55,1,10,WAS 30,17,10,Mark Brunell pass incomplete short left intended for Clinton Portis,0.940,0.390
2,9:49,2,10,WAS 30,17,10,Antwaan Randle El right end for no gain (tackle by Bobby McCray),0.390,-0.300
2,9:07,3,10,WAS 30,17,10,Mark Brunell pass incomplete deep right intended for Santana Moss (defended by Deon Grant),-0.300,-1.370
2,9:00,4,10,WAS 30,17,10,"Derrick Frost punts 41 yards, returned by Alvin Pearman for 1 yard (tackle by Mike Sellers)",-1.370,-1.370
2,8:51,4,10,WAS 30,17,10,"Derrick Frost punts 24 yards, out of bounds",-1.370,-1.990
2,8:43,1,10,JAX 46,17,10,Maurice Jones-Drew right end for 2 yards (tackle by Anthony Montgomery and Cornelius Griffin),1.990,1.720
2,7:59,2,8,JAX 48,17,10,Byron Leftwich pass complete short left to Ernest Wilford for 3 yards (tackle by Carlos Rogers),1.720,1.420
2,7:16,3,5,WAS 49,17,10,Byron Leftwich pass complete short right to Matt Jones for 4 yards (tackle by Kenny Wright),1.420,0.270
2,7:16,4,1,WAS 45,17,10,"Penalty on Byron Leftwich: False Start, 5 yards (no play)",0.270,-0.060
2,6:22,4,6,,17,10,"Chris Hanson punts 50 yards, touchback",-0.060,-0.280
2,6:13,1,10,WAS 20,17,10,Clinton Portis right end for 2 yards (tackle by Rashean Mathis),0.280,0.000
2,5:31,2,8,WAS 22,17,10,Clinton Portis right end for 11 yards (tackle by Rashean Mathis),0.000,1.140
2,5:01,1,10,WAS 33,17,10,Mark Brunell pass complete deep middle to Chris Cooley for 22 yards (tackle by Donovin Darius and Deon Grant),1.140,2.590
2,4:19,1,10,JAX 45,17,10,Mark Brunell pass complete short right to Santana Moss for 7 yards,2.590,2.990
2,3:51,2,3,JAX 38,17,10,Clinton Portis left end for -3 yards (tackle by Mike Peterson),2.990,1.880
2,3:07,3,6,JAX 41,17,10,Mark Brunell pass incomplete deep left intended for Brandon Lloyd,1.880,0.530
2,3:02,4,6,JAX 41,17,10,Derrick Frost punts 26 yards,0.530,0.220
2,2:54,1,10,JAX 15,17,10,Byron Leftwich pass incomplete short middle intended for Fred Taylor (defended by Kedric Golston),-0.220,-0.710
2,2:49,2,10,JAX 15,17,10,Byron Leftwich pass complete short middle to Fred Taylor for 7 yards (tackle by Marcus Washington),-0.710,-0.510
2,2:34,2,10,JAX 15,17,10,Timeout #1 by Washington Redskins,-0.710,-0.510
2,2:34,3,3,JAX 22,17,10,Byron Leftwich pass incomplete short right intended for Ernest Wilford (defended by Mike Rumph),-0.510,-1.900
2,2:27,4,3,JAX 22,17,10,"Chris Hanson punts 53 yards, returned by Antwaan Randle El for -5 yards, lateral to Sean Taylor for no gain (tackle by Gerald Sensabaugh). Penalty on James Thrash: Illegal Block Above the Waist, 10 yards",-1.900,0.380
2,2:14,1,10,WAS 10,17,10,Ladell Betts right guard for 1 yard (tackle by John Henderson),-0.380,-0.710
2,2:00,2,9,WAS 11,17,10,Ladell Betts right end for 4 yards (tackle by Marcus Stroud),-0.710,-0.840
2,1:22,3,5,WAS 15,17,10,Mark Brunell pass incomplete short right intended for Santana Moss,-0.840,-2.440
2,1:13,4,5,WAS 15,17,10,"Derrick Frost punts 40 yards, returned by Alvin Pearman for 1 yard (tackle by Khary Campbell). Alvin Pearman fumbles (forced by Khary Campbell), recovered by Khary Campbell at JAX-46",-2.440,2.520
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:01,1,10,JAX 46,17,10,Mark Brunell pass complete deep left to Antwaan Randle El for 19 yards (tackle by Brian Williams),2.520,3.780
2,0:33,1,10,JAX 27,17,10,Mark Brunell pass complete short right to Antwaan Randle El for 4 yards (tackle by Rashean Mathis),3.780,3.770
2,0:24,1,10,JAX 27,17,10,Timeout #2 by Washington Redskins,3.780,3.770
2,0:21,2,6,JAX 23,17,10,Mark Brunell pass complete short right to Ladell Betts for 4 yards (tackle by Donovin Darius),3.770,3.640
2,0:11,2,6,JAX 23,17,10,Timeout #3 by Washington Redskins,3.770,3.640
2,0:11,3,2,JAX 19,17,13,John Hall 37 yard field goal good,3.640,3.000
2,0:11,,,WAS 30,17,13,John Hall kicks off 35 yards,0.000,1.270
2,0:05,1,10,JAX 35,17,13,Byron Leftwich kneels for -1 yards,1.270,0.590
Quarter,Time,Down,ToGo,Location,JAX,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,17,13,"Josh Scobee kicks off 71 yards, returned by Rock Cartwright for 35 yards (tackle by Rashean Mathis)",0.000,1.200
3,14:53,1,10,WAS 34,17,13,Clinton Portis left end for no gain (tackle by Deon Grant),1.200,0.660
3,14:11,2,10,WAS 34,17,13,Mark Brunell pass complete short left to Brandon Lloyd for 11 yards (tackle by Nick Greisen),0.660,1.930
3,13:29,1,10,WAS 45,17,13,Mark Brunell pass complete short left to Chris Cooley for 5 yards (tackle by Deon Grant and Brian Williams),1.930,2.060
3,12:53,2,5,,17,13,Clinton Portis right end for 7 yards (tackle by John Henderson),2.060,2.720
3,12:14,1,10,JAX 43,17,13,Clinton Portis left end for 3 yards (tackle by Brian Williams and Daryl Smith),2.720,2.580
3,11:36,2,7,JAX 40,17,13,Mark Brunell pass incomplete short left intended for James Thrash,2.580,1.880
3,11:28,3,7,JAX 40,17,13,Mark Brunell pass incomplete short left intended for Antwaan Randle El (defended by Terry Cousin),1.880,0.590
3,11:20,4,7,JAX 40,17,13,"Derrick Frost punts 28 yards, fair catch by Alvin Pearman",0.590,0.350
3,11:12,1,10,JAX 12,17,13,Byron Leftwich left end for 4 yards (tackle by Marcus Washington),-0.350,-0.370
3,10:35,2,6,JAX 16,17,13,Fred Taylor left guard for 6 yards (tackle by Demetric Evans),-0.370,0.410
3,9:49,1,10,JAX 22,17,13,Maurice Jones-Drew left end for no gain (tackle by Sean Taylor and Marcus Washington),0.410,-0.130
3,9:07,2,10,JAX 22,17,13,Byron Leftwich for 6 yards,-0.130,-0.030
3,8:17,2,10,JAX 22,17,13,Timeout #1 by Jacksonville Jaguars,-0.130,-0.030
3,8:17,3,4,JAX 28,17,13,Byron Leftwich pass incomplete short middle intended for Reggie Williams (defended by Sean Taylor),-0.030,-1.500
3,8:12,4,4,JAX 28,17,13,"Chris Hanson punts 58 yards, returned by Antwaan Randle El for no gain",-1.500,0.280
3,8:00,1,10,WAS 14,17,13,Mark Brunell pass complete short middle to Chris Cooley for 34 yards (tackle by Daryl Smith and Tony McDaniel),-0.280,2.130
3,7:11,1,10,WAS 48,17,13,Mark Brunell pass incomplete short left intended for Santana Moss,2.130,1.580
3,7:06,2,10,WAS 48,17,13,Clinton Portis left end for 1 yard (tackle by Paul Spicer),1.580,1.020
3,6:23,3,9,WAS 49,17,13,Mark Brunell pass complete short left to Chris Cooley for 9 yards (tackle by Daryl Smith and Brian Williams),1.020,2.790
3,5:34,1,10,JAX 42,17,13,Mark Brunell pass incomplete short middle intended for David Patten,2.790,2.240
3,5:28,2,10,JAX 42,17,13,Ladell Betts left guard for 4 yards (tackle by Brent Hawkins),2.240,2.080
3,4:49,3,6,JAX 38,17,13,Mark Brunell pass complete deep left to Brandon Lloyd for 33 yards,2.080,6.060
3,4:16,1,5,JAX 5,17,13,Clinton Portis left end for 3 yards (tackle by Deon Grant and John Henderson),6.060,5.720
3,3:40,2,2,JAX 2,17,13,Clinton Portis middle for 1 yard (tackle by Paul Spicer and John Henderson),5.720,5.170
3,2:57,3,1,JAX 1,17,19,"Clinton Portis right tackle for 1 yard, touchdown",5.170,7.000
3,2:57,,,JAX 2,17,20,John Hall kicks extra point good,0.000,0.000
3,2:57,,,WAS 30,17,20,"John Hall kicks off 64 yards, returned by Alvin Pearman for 16 yards (tackle by Sean Taylor)",0.000,0.410
3,2:44,1,10,JAX 22,17,20,Byron Leftwich pass complete short middle to Maurice Jones-Drew for 1 yard (tackle by Lemar Marshall),0.410,0.000
3,2:05,2,9,JAX 23,17,20,Byron Leftwich left end for 3 yards,0.000,-0.290
3,1:19,3,6,JAX 26,17,20,Byron Leftwich pass incomplete intended for Reggie Williams is intercepted by Phillip Daniels at JAX-29,-0.290,-3.640
3,1:12,1,10,JAX 29,17,20,Clinton Portis right end for 9 yards (tackle by Deon Grant and Mike Peterson),3.640,4.320
3,0:31,2,1,JAX 20,17,20,Clinton Portis middle for 3 yards (tackle by Paul Spicer),4.320,4.440
Quarter,Time,Down,ToGo,Location,JAX,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 17,17,20,Clinton Portis left end for 3 yards (tackle by Donovin Darius),4.440,4.320
4,14:21,2,7,JAX 14,17,20,Clinton Portis right tackle for 8 yards (tackle by Mike Peterson),4.320,5.830
4,13:39,1,6,JAX 6,17,20,Clinton Portis middle for -1 yards (tackle by Daryl Smith),5.830,4.760
4,13:12,1,6,JAX 6,17,20,Timeout #2 by Jacksonville Jaguars,5.830,4.760
4,13:12,2,7,JAX 7,17,20,Clinton Portis right end for -1 yards (tackle by Nick Greisen),4.760,3.580
4,12:29,3,8,JAX 8,17,26,"Mark Brunell pass complete short left to Santana Moss for 8 yards, touchdown",3.580,7.000
4,12:29,,,JAX 2,17,27,John Hall kicks extra point good,0.000,0.000
4,12:29,,,WAS 30,17,27,"John Hall kicks off 69 yards, returned by Maurice Jones-Drew for 17 yards (tackle by Rock Cartwright)",0.000,0.040
4,12:17,1,10,JAX 18,17,27,Byron Leftwich pass complete deep middle to Reggie Williams for 35 yards (tackle by Carlos Rogers),0.040,2.460
4,11:38,1,10,WAS 47,17,27,Byron Leftwich sacked by Demetric Evans for -5 yards,2.460,1.240
4,10:59,2,15,JAX 48,17,27,Byron Leftwich pass complete short left to Marcedes Lewis for 31 yards (tackle by Carlos Rogers and Lemar Marshall),1.240,4.170
4,10:24,1,10,WAS 21,23,27,"Byron Leftwich pass complete deep middle to Reggie Williams for 21 yards, touchdown",4.170,7.000
4,10:24,,,WAS 2,24,27,Josh Scobee kicks extra point good,0.000,0.000
4,10:24,,,JAX 30,24,27,"Josh Scobee kicks off 66 yards, returned by Rock Cartwright for 22 yards (tackle by Nick Sorensen)",0.000,0.670
4,10:14,1,10,WAS 26,24,27,"Antwaan Randle El left end for 12 yards (tackle by Tony McDaniel). Penalty on Christian Fauria: Offensive Holding, 10 yards (no play)",0.670,-0.300
4,9:46,1,20,WAS 16,24,27,Ladell Betts left end for 2 yards (tackle by Bobby McCray),-0.300,-1.050
4,9:05,2,18,WAS 18,24,27,"Mark Brunell pass complete to Brandon Lloyd for 5 yards (tackle by Brian Williams). Brandon Lloyd fumbles (forced by Brian Williams), recovered by Deon Grant at WAS-24 and returned for 6 yards (tackle by Derrick Dockery). Penalty on Marcus Stroud: Unsportsmanlike Conduct, 15 yards",-1.050,-3.380
4,8:57,1,10,WAS 33,24,27,Fred Taylor left end for 1 yard (tackle by Andre Carter and Sean Taylor),3.380,2.970
4,8:16,2,9,WAS 32,24,27,Byron Leftwich pass complete short middle to George Wrighster for 13 yards (tackle by Warrick Holdman),2.970,4.310
4,7:35,1,10,WAS 19,24,27,Reggie Williams left end for -1 yards (tackle by Carlos Rogers),4.310,3.630
4,6:52,2,11,WAS 20,24,27,Byron Leftwich pass incomplete short left intended for Ernest Wilford,3.630,2.940
4,6:48,3,11,WAS 20,24,27,"Penalty on Byron Leftwich: Delay of Game, 5 yards (no play)",2.940,2.280
4,6:47,3,16,WAS 25,24,27,Byron Leftwich pass incomplete short middle intended for Maurice Jones-Drew (defended by Phillip Daniels),2.280,1.800
4,6:45,4,16,WAS 25,27,27,Josh Scobee 43 yard field goal good,1.800,3.000
4,6:45,,,JAX 30,27,27,"Josh Scobee kicks off 67 yards, returned by Rock Cartwright for 46 yards (tackle by Terry Cousin)",0.000,2.190
4,6:33,1,10,WAS 49,27,27,Clinton Portis left tackle for 11 yards (tackle by Deon Grant and Brian Williams),2.190,2.920
4,5:49,1,10,JAX 40,27,27,Clinton Portis left end for 3 yards (tackle by Brian Williams),2.920,2.780
4,5:08,2,7,JAX 37,27,27,Mark Brunell pass complete short left to Mike Sellers for 6 yards (tackle by Donovin Darius),2.780,2.870
4,4:38,3,1,JAX 31,27,27,Clinton Portis right tackle for 2 yards (tackle by Donovin Darius and Paul Spicer),2.870,3.640
4,3:55,1,10,JAX 29,27,27,Ladell Betts left end for 6 yards (tackle by Donovin Darius and Mike Peterson),3.640,3.910
4,3:10,2,4,JAX 23,27,27,Ladell Betts right tackle for 3 yards (tackle by John Henderson and Mike Peterson),3.910,3.600
4,2:30,3,1,JAX 20,27,27,Ladell Betts right tackle for no gain (tackle by Mike Peterson),3.600,2.270
,,,,,,,"WAS challenged the ruling, and the play was upheld.",,
4,2:00,4,1,JAX 20,27,30,John Hall 37 yard field goal good,2.270,3.000
4,2:00,,,WAS 30,27,30,"John Hall kicks off 65 yards, returned by Maurice Jones-Drew for 28 yards (tackle by Khary Campbell)",0.000,1.140
4,1:50,1,10,JAX 33,27,30,Byron Leftwich pass complete short left to George Wrighster for 8 yards (tackle by Curry Burns),1.140,1.670
4,1:43,2,2,JAX 41,27,30,Byron Leftwich pass complete short middle to George Wrighster for 7 yards (tackle by Adam Archuleta and Kenny Wright),1.670,2.130
4,1:18,1,10,JAX 48,27,30,Byron Leftwich pass incomplete deep right intended for Ernest Wilford (defended by Mike Rumph),2.130,1.580
4,1:10,2,10,JAX 48,27,30,Byron Leftwich pass complete short right to George Wrighster for 2 yards (tackle by Lemar Marshall),1.580,1.160
4,0:44,3,8,,27,30,Byron Leftwich pass incomplete short left intended for George Wrighster,1.160,-0.060
4,0:39,4,8,,27,30,Byron Leftwich pass complete short left to Ernest Wilford for 13 yards,-0.060,3.120
4,0:33,1,10,WAS 37,27,30,Byron Leftwich pass complete short left to Ernest Wilford for 14 yards (tackle by Carlos Rogers),3.120,4.040
4,0:27,1,10,WAS 23,27,30,Byron Leftwich pass incomplete deep middle intended for Reggie Williams,4.040,3.500
4,0:23,2,10,WAS 23,27,30,Byron Leftwich pass incomplete short left intended for Reggie Williams,3.500,2.810
4,0:17,3,10,WAS 23,27,30,Byron Leftwich pass incomplete deep right intended for Cortez Hankton,2.810,1.930
4,0:11,4,10,WAS 23,30,30,Josh Scobee 41 yard field goal good,1.930,3.000
4,0:11,,,JAX 30,30,30,"Josh Scobee kicks off 47 yards, returned by Mike Sellers for 12 yards (tackle by Tony Gilbert)",0.000,1.270
4,0:00,1,10,WAS 35,30,30,Mark Brunell pass complete short right to Clinton Portis for 23 yards (tackle by Bobby McCray),1.270,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,JAX,WAS,Detail,EPB,EPA
,,,,,,,"Redskins won the coin toss, Redskins to receive the overtime kickoff.",,
OT,15:00,,,JAX 30,30,30,"Josh Scobee kicks off 72 yards, returned by Rock Cartwright for 22 yards (tackle by Nick Sorensen)",0.000,0.280
OT,14:55,1,10,WAS 20,30,30,Clinton Portis right end for 15 yards (tackle by Rashean Mathis),0.280,1.270
OT,14:55,1,10,WAS 35,30,30,Clinton Portis left end for 2 yards (tackle by Rob Meier),1.270,0.990
OT,13:45,2,8,WAS 37,30,30,"Mark Brunell pass complete deep left to Chris Cooley for 19 yards. Penalty on Chris Cooley: Illegal Touch Pass, 5 yards (no play)",0.990,0.320
OT,13:23,2,13,WAS 32,30,36,"Mark Brunell pass complete deep left to Santana Moss for 68 yards, touchdown",0.320,6.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
