Quarter,Time,Tm,Detail,DAL,NWE
1,3:05,Patriots,Adam Vinatieri 23 yard field goal,0,3
2,2:34,Patriots,Antowain Smith 2 yard rush (Adam Vinatieri kick failed),0,9
4,1:56,Patriots,Adam Vinatieri 26 yard field goal,0,12
