Unnamed: 0,MIN,WAS
First Downs,27,20
Rush-Yds-TDs,24-94-0,32-183-3
Cmp-Att-Yd-TD-INT,35-52-352-2-2,17-22-182-1-1
Sacked-Yards,4-25,1-4
Net Pass Yards,327,178
Total Yards,421,361
Fumbles-Lost,2-1,1-0
Turnovers,3,1
Penalties-Yards,5-29,7-66
Third Down Conv.,8-17,6-12
Fourth Down Conv.,1-1,1-1
Time of Possession,31:32,28:28
