Quarter,Time,Tm,Detail,TEN,CLE
1.0,6:48,Browns,Phil Dawson 48 yard field goal,0,3
,3:25,Titans,Craig Stevens 12 yard pass from Matt Hasselbeck (Rob Bironas kick),7,3
2.0,14:17,Browns,Phil Dawson 51 yard field goal,7,6
,13:59,Titans,Jared Cook 80 yard pass from Matt Hasselbeck (Rob Bironas kick),14,6
,0:33,Titans,Damian Williams 4 yard pass from Matt Hasselbeck (Rob Bironas kick),21,6
3.0,6:45,Titans,Rob Bironas 39 yard field goal,24,6
,2:28,Titans,Jordan Babineaux 97 yard interception return (Rob Bironas kick),31,6
4.0,11:36,Browns,Ben Watson 10 yard pass from Colt McCoy (Phil Dawson kick),31,13
