Unnamed: 0,TEN,CLE
First Downs,13,25
Rush-Yds-TDs,29-112-0,22-84-0
Cmp-Att-Yd-TD-INT,10-21-220-3-1,40-61-350-1-1
Sacked-Yards,0-0,4-18
Net Pass Yards,220,332
Total Yards,332,416
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,5-45,5-40
Third Down Conv.,4-12,8-20
Fourth Down Conv.,0-0,2-5
Time of Possession,23:07,36:53
