Quarter,Time,Tm,Detail,DAL,WAS
1.0,6:29,Redskins,"Safety,",0,2
,4:23,Redskins,Nick Novak 28 yard field goal,0,5
2.0,12:55,Cowboys,Terry Glenn 10 yard pass from Tony Romo (pass failed),6,5
,3:27,Cowboys,Mike Vanderjagt 33 yard field goal,9,5
,2:23,Redskins,Clinton Portis 38 yard rush (Nick Novak kick),9,12
,0:03,Cowboys,Mike Vanderjagt 30 yard field goal,12,12
3.0,10:17,Cowboys,Terrell Owens 4 yard pass from Tony Romo (Mike Vanderjagt kick),19,12
4.0,14:05,Redskins,Chris Cooley 18 yard pass from Mark Brunell (Nick Novak kick),19,19
,0:00,Redskins,Nick Novak 47 yard field goal,19,22
