Quarter,Time,Tm,Detail,CHI,DET
1.0,9:49,Bears,Robbie Gould 44 yard field goal,3,0
,1:01,Lions,Jason Hanson 42 yard field goal,3,3
2.0,12:59,Bears,Robbie Gould 28 yard field goal,6,3
,2:59,Lions,Bryant Johnson 12 yard pass from Daunte Culpepper (Jason Hanson kick),6,10
,0:11,Bears,Greg Olsen 7 yard pass from Jay Cutler (Robbie Gould kick),13,10
3.0,10:05,Bears,Devin Aromashodu 9 yard pass from Jay Cutler (Robbie Gould kick),20,10
,1:50,Lions,Jason Hanson 48 yard field goal,20,13
4.0,9:37,Lions,Calvin Johnson 5 yard pass from Daunte Culpepper (Jason Hanson kick),20,20
,7:20,Bears,Desmond Clark 1 yard pass from Jay Cutler (Robbie Gould kick),27,20
,4:38,Lions,Jason Hanson 32 yard field goal,27,23
,2:57,Bears,Devin Aromashodu 12 yard pass from Jay Cutler (Robbie Gould kick),34,23
,1:09,Bears,Robbie Gould 34 yard field goal,37,23
