Unnamed: 0,CHI,DET
First Downs,22,18
Rush-Yds-TDs,28-150-0,25-100-0
Cmp-Att-Yd-TD-INT,22-36-276-4-0,23-34-262-2-1
Sacked-Yards,2-8,2-13
Net Pass Yards,268,249
Total Yards,418,349
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,5-35,6-35
Third Down Conv.,7-15,5-14
Fourth Down Conv.,0-0,1-2
Time of Possession,29:13,30:47
