Unnamed: 0,WAS,OAK
First Downs,21,15
Rush-Yds-TDs,27-100-2,24-65-1
Cmp-Att-Yd-TD-INT,16-28-222-2-0,20-34-227-0-1
Sacked-Yards,3-27,8-65
Net Pass Yards,195,162
Total Yards,295,227
Fumbles-Lost,1-1,4-0
Turnovers,1,1
Penalties-Yards,7-45,14-118
Third Down Conv.,5-12,4-15
Fourth Down Conv.,0-0,1-3
Time of Possession,27:53,32:07
