Unnamed: 0,CLE,BUF
First Downs,18,19
Rush-Yds-TDs,27-161-2,38-186-1
Cmp-Att-Yd-TD-INT,14-36-185-0-0,16-26-148-1-3
Sacked-Yards,1-9,0-0
Net Pass Yards,176,148
Total Yards,337,334
Fumbles-Lost,0-0,2-1
Turnovers,0,4
Penalties-Yards,2-15,3-30
Third Down Conv.,3-13,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,26:48,33:12
