Quarter,Time,Down,ToGo,Location,NYJ,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,GNB 25,0,0,AJ Dillon right guard for 1 yard (tackle by Jordan Whitehead and Quincy Williams),0.610,0.200
1,14:24,2,9,GNB 26,0,0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard (defended by Sauce Gardner),0.200,-0.490
1,14:19,3,9,GNB 26,0,0,"Aaron Rodgers pass short right intended for Robert Tonyan is intercepted by Sauce Gardner at GB-35 and returned for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Aaron Rodgers pass incomplete short right intended for Robert Tonyan",-0.490,-1.630
1,14:15,4,9,GNB 26,0,0,"Pat O'Donnell punts 60 yards, returned by Braxton Berrios for 19 yards (tackle by Dallin Leavitt and Jack Coco). Penalty on Ashtyn Davis: Offensive Holding, 10 yards (accepted)",-1.630,-0.480
1,14:03,1,10,NYJ 23,0,0,Breece Hall up the middle for 3 yards (tackle by Dean Lowry and Quay Walker),0.480,0.340
1,13:23,2,7,NYJ 26,0,0,Zach Wilson pass complete short right to Michael Carter for 6 yards (tackle by Eric Stokes),0.340,0.430
1,12:42,3,1,NYJ 32,0,0,Zach Wilson pass incomplete short left intended for Garrett Wilson,0.430,-1.240
1,12:37,4,1,NYJ 32,0,0,"Braden Mann punts 50 yards, returned by Amari Rodgers for 3 yards (tackle by Justin Hardee)",-1.240,-0.340
1,12:29,1,10,GNB 21,0,0,Aaron Jones left end for -5 yards (tackle by Quinnen Williams),0.340,-1.010
1,11:50,2,15,GNB 16,0,0,"Aaron Rodgers sacked by Quinnen Williams for -8 yards. Aaron Rodgers fumbles (forced by Quinnen Williams), recovered by Aaron Jones at GB-8 (tackle by Quinnen Williams)",-1.010,-2.940
1,11:01,3,23,GNB 8,0,0,Aaron Rodgers pass complete short right to Robert Tonyan for 10 yards (tackle by Michael Carter),-2.940,-2.240
1,10:23,4,13,GNB 18,0,0,"Pat O'Donnell punts 62 yards, returned by Braxton Berrios for 4 yards (tackle by Keisean Nixon)",-2.240,-0.540
1,10:12,1,10,NYJ 24,0,0,Breece Hall right end for 9 yards (tackle by Darnell Savage and Quay Walker),0.540,1.210
1,9:31,2,1,NYJ 33,0,0,Breece Hall right guard for 2 yards (tackle by Jarran Reed),1.210,1.270
1,8:54,1,10,NYJ 35,0,0,Zach Wilson pass incomplete short middle intended for Corey Davis (defended by Dean Lowry),1.270,0.720
1,8:49,2,10,NYJ 35,0,0,Michael Carter right tackle for 4 yards (tackle by De'Vondre Campbell and Kenny Clark),0.720,0.560
1,8:12,3,6,NYJ 39,0,0,"Zach Wilson scrambles left end for 4 yards (tackle by Rudy Ford). Penalty on Alijah Vera-Tucker: Illegal Motion, 5 yards (declined)",0.560,-0.520
1,7:58,4,2,NYJ 43,0,0,"Braden Mann punts 43 yards, returned by Amari Rodgers for 7 yards (tackle by Ashtyn Davis)",-0.520,-0.340
1,7:48,1,10,GNB 21,0,0,Aaron Rodgers pass complete short right to Aaron Jones for 6 yards (tackle by C.J. Mosley),0.340,0.610
1,7:23,2,4,GNB 27,0,0,AJ Dillon up the middle for -2 yards (tackle by Vinny Curry),0.610,-0.360
1,6:40,3,6,GNB 25,0,0,Aaron Rodgers pass incomplete deep right intended for Aaron Jones (no play),-0.360,1.600
1,6:28,1,10,GNB 40,0,0,Aaron Rodgers pass complete short middle to Romeo Doubs for 7 yards (tackle by D.J. Reed),1.600,2.000
1,5:49,2,3,GNB 47,0,0,"Penalty on Elgton Jenkins: False Start, 5 yards (accepted) (no play)",2.000,1.320
1,5:32,2,8,GNB 42,0,0,Aaron Rodgers pass incomplete short middle intended for AJ Dillon,1.320,0.630
1,5:27,3,8,GNB 42,0,0,Aaron Rodgers pass complete short left to Romeo Doubs for 3 yards (tackle by Quincy Williams),0.630,-0.390
1,4:47,4,5,GNB 45,0,0,"Pat O'Donnell punts 40 yards, fair catch by Braxton Berrios at NYJ-15",-0.390,0.220
1,4:40,1,10,NYJ 15,0,0,Zach Wilson pass complete short right to C.J. Uzomah for 3 yards (tackle by Adrian Amos),-0.220,-0.280
1,4:00,2,7,NYJ 18,0,0,Breece Hall left tackle for 1 yard (tackle by Jarran Reed and Jonathan Garvin),-0.280,-0.880
1,3:18,3,6,NYJ 19,0,0,Zach Wilson sacked by Rashan Gary for -7 yards,-0.880,-2.490
1,2:35,4,13,NYJ 12,0,0,"Braden Mann punts 61 yards, returned by Amari Rodgers for no gain (tackle by Justin Hardee)",-2.490,-0.740
1,2:22,1,10,GNB 27,0,0,Aaron Rodgers pass incomplete short middle intended for Romeo Doubs (defended by C.J. Mosley),0.740,0.200
1,2:16,2,10,GNB 27,0,0,Aaron Rodgers pass complete short right to Romeo Doubs for 3 yards (tackle by C.J. Mosley),0.200,-0.100
1,1:43,3,7,GNB 30,0,0,Aaron Rodgers pass complete deep left to Allen Lazard for 35 yards (tackle by Lamarcus Joyner),-0.100,3.250
1,1:09,1,10,NYJ 35,0,0,AJ Dillon left guard for 5 yards (tackle by Jordan Whitehead),3.250,3.380
1,0:33,2,5,NYJ 30,0,0,Aaron Rodgers pass incomplete short right intended for Juwann Winfree,3.380,2.680
1,0:30,3,5,NYJ 30,0,0,AJ Dillon up the middle for 1 yard (tackle by Quinnen Williams and Quincy Williams),2.680,1.560
Quarter,Time,Down,ToGo,Location,NYJ,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,NYJ 29,0,0,Mason Crosby 47 yard field goal no good blocked by Quinnen Williams,1.560,-1.400
2,14:54,1,10,NYJ 37,0,0,Zach Wilson sacked by Kingsley Enagbare for -4 yards,1.400,0.320
2,14:06,2,14,NYJ 33,0,0,"Zach Wilson pass incomplete deep left intended for Elijah Moore. Penalty on Duane Brown: Chop Block, 15 yards (accepted) (no play)",0.320,-1.820
2,14:06,2,29,NYJ 18,0,0,Zach Wilson pass complete short left to Breece Hall for 3 yards (tackle by Quay Walker),-1.820,-1.950
2,13:28,3,26,NYJ 21,0,0,Breece Hall for 9 yards (tackle by Rudy Ford),-1.950,-1.370
2,12:52,4,17,NYJ 30,0,0,Braden Mann punts 6 yards downed by Micheal Clemons,-1.370,-3.180
2,12:41,1,10,NYJ 36,0,0,"Aaron Jones left tackle for 4 yards (tackle by Lamarcus Joyner). Penalty on Elgton Jenkins: Offensive Holding, 10 yards (accepted)",3.180,2.790
2,12:19,1,16,NYJ 42,0,0,Aaron Rodgers pass incomplete short right intended for Aaron Jones,2.790,1.830
2,12:13,2,16,NYJ 42,0,0,Aaron Rodgers pass complete short middle to Robert Tonyan for 7 yards (tackle by Jordan Whitehead),1.830,2.080
2,11:49,3,9,NYJ 35,0,0,Aaron Rodgers sacked by Sheldon Rankins for -9 yards,2.080,0.330
2,11:07,4,18,NYJ 44,0,0,Pat O'Donnell punts 36 yards out of bounds,0.330,0.380
2,10:59,1,10,NYJ 8,0,0,Zach Wilson pass incomplete short middle intended for Garrett Wilson (defended by Jaire Alexander),-0.380,-0.780
2,10:55,,,,,,Timeout #1 by New York Jets,,
2,10:55,2,10,NYJ 8,0,0,Zach Wilson pass incomplete short right,-0.780,-1.420
2,10:50,3,10,NYJ 8,0,0,Zach Wilson pass complete short middle to Garrett Wilson for 8 yards (tackle by Darnell Savage),-1.420,-2.390
2,10:00,4,2,NYJ 16,0,0,"Braden Mann punts 58 yards, returned by Amari Rodgers for 8 yards (tackle by Brandin Echols). Penalty on Eric Wilson: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-2.390,-0.540
2,10:00,1,10,GNB 24,0,0,AJ Dillon right guard for 6 yards (tackle by Vinny Curry and Nathan Shepherd),0.540,0.810
2,9:26,2,4,GNB 30,0,0,AJ Dillon up the middle for 3 yards (tackle by Quincy Williams and C.J. Mosley),0.810,0.500
2,8:48,3,1,GNB 33,0,0,"Aaron Rodgers aborted snap, recovered by Lamarcus Joyner at GB-34 and returned for 1 yard",0.500,-3.310
2,8:44,1,10,GNB 34,0,0,Breece Hall right tackle for 9 yards (tackle by Jaire Alexander and De'Vondre Campbell),3.310,3.990
2,8:08,2,1,GNB 25,0,0,Breece Hall up the middle for 7 yards (tackle by De'Vondre Campbell and Jonathan Garvin),3.990,4.370
2,7:25,1,10,GNB 18,0,0,Breece Hall right end for 1 yard (tackle by Jarran Reed),4.370,3.940
2,6:49,2,9,GNB 17,0,0,Breece Hall right end for 3 yards (tackle by Adrian Amos),3.940,3.630
2,5:59,3,6,GNB 14,0,0,Zach Wilson pass incomplete short middle intended for Corey Davis (defended by Darnell Savage),3.630,2.530
2,5:50,4,6,GNB 14,3,0,Greg Zuerlein 32 yard field goal good,2.530,3.000
2,5:46,,,NYJ 35,3,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,5:46,1,10,GNB 25,3,0,Aaron Rodgers pass incomplete deep left intended for Romeo Doubs,0.610,0.060
