Quarter,Time,Tm,Detail,NYJ,GNB
2.0,5:46,Jets,Greg Zuerlein 32 yard field goal,3,0
,0:00,Packers,Mason Crosby 29 yard field goal,3,3
3.0,8:11,Jets,Braxton Berrios 20 yard rush (Greg Zuerlein kick),10,3
,5:43,Jets,Will Parks 20 yard blocked punt return (Greg Zuerlein kick),17,3
,2:35,Packers,Allen Lazard 25 yard pass from Aaron Rodgers (Mason Crosby kick),17,10
4.0,14:52,Jets,Breece Hall 34 yard rush (Greg Zuerlein kick),24,10
,2:34,Jets,Greg Zuerlein 23 yard field goal,27,10
