Unnamed: 0,NYJ,GNB
First Downs,14,15
Rush-Yds-TDs,33-179-2,20-60-0
Cmp-Att-Yd-TD-INT,10-18-110-0-0,28-45-254-1-0
Sacked-Yards,2-11,4-36
Net Pass Yards,99,218
Total Yards,278,278
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,7-79,7-42
Third Down Conv.,1-11,4-16
Fourth Down Conv.,0-0,1-4
Time of Possession,28:48,31:12
