Quarter,Time,Down,ToGo,Location,CLE,CHI,Detail,EPB,EPA
1,6:01,1,10,CLE 33,0,0,"Mitch Trubisky for no gain. Mitch Trubisky fumbles, recovered by Mitch Trubisky at CLE-37",3.380,2.300
1,5:21,2,14,CLE 37,0,0,Mitch Trubisky left guard for 8 yards,2.300,2.680
1,4:34,3,6,CLE 29,0,0,Mitch Trubisky for 11 yards (tackle by Jabrill Peppers),2.680,4.370
1,3:52,1,10,CLE 18,0,0,Jordan Howard left end for 1 yard (tackle by James Burgess),4.370,3.940
1,3:13,2,9,CLE 17,0,0,"Jordan Howard right guard for 1 yard (tackle by Danny Shelton). Penalty on Carl Nassib: Unsportsmanlike Conduct, 7 yards",3.940,5.140
1,2:48,1,9,CLE 9,0,0,Tarik Cohen right tackle for 6 yards (tackle by Jabrill Peppers),5.140,5.530
1,2:07,2,3,CLE 3,0,0,Mitch Trubisky middle for 1 yard (tackle by Danny Shelton),5.530,4.950
1,1:23,3,2,CLE 2,0,6,"Jordan Howard right guard for 2 yards, touchdown",4.950,7.000
1,1:20,,,CLE 15,0,6,"Mike Nugent kicks extra point no good, blocked by Carl Nassib",0.000,-1.000
1,1:20,,,CHI 35,0,6,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.610
1,1:20,1,10,CLE 25,0,6,DeShone Kizer right end for 2 yards,0.610,0.330
1,0:37,2,8,CLE 27,0,6,DeShone Kizer pass incomplete short right intended for Isaiah Crowell,0.330,-0.360
1,0:31,3,8,CLE 27,0,6,DeShone Kizer pass incomplete deep left intended for Josh Gordon,-0.360,-1.570
1,0:24,4,8,CLE 27,0,6,"Britton Colquitt punts 58 yards, returned by Tarik Cohen for no gain",-1.570,0.220
1,0:13,1,10,CHI 15,0,6,Jordan Howard left guard for 4 yards (tackle by Caleb Brantley),-0.220,-0.110
Quarter,Time,Down,ToGo,Location,CLE,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,CHI 19,0,6,Mitch Trubisky pass complete short left to Tarik Cohen for -1 yards (tackle by Jason McCourty),-0.110,-1.000
2,14:15,3,7,CHI 18,0,6,Mitch Trubisky pass complete short right to Josh Bellamy for 5 yards (tackle by Justin Currie),-1.000,-1.830
2,13:31,4,2,CHI 23,0,6,"Penalty on Sherrick McManis: False Start, 5 yards (no play)",-1.830,-2.240
2,13:12,4,7,CHI 18,0,6,"Pat O'Donnell punts 50 yards, returned by Jabrill Peppers for 9 yards (tackle by Sherrick McManis)",-2.240,-1.660
2,13:02,1,10,CLE 41,0,6,Isaiah Crowell left tackle for 2 yards (tackle by Lamarr Houston and Danny Trevathan),1.660,1.390
2,12:25,2,8,CLE 43,0,6,DeShone Kizer pass incomplete short middle intended for Josh Gordon (defended by Kyle Fuller),1.390,0.700
2,12:19,3,8,CLE 43,0,6,DeShone Kizer pass incomplete short right intended for David Njoku,0.700,-0.520
2,12:14,4,8,CLE 43,0,6,"Britton Colquitt punts 57 yards, touchback",-0.520,-2.130
2,11:21,1,10,CHI 48,0,6,Mitch Trubisky left end for 6 yards (tackle by James Burgess),2.130,2.390
2,10:38,2,4,CLE 46,0,6,"Penalty on Bradley Sowell: False Start, 5 yards (no play)",2.390,1.720
2,10:17,2,9,CHI 49,0,6,Mitch Trubisky pass incomplete short right intended for Dion Sims,1.720,1.020
2,10:13,3,9,CHI 49,0,6,Mitch Trubisky sacked by Myles Garrett for -8 yards,1.020,-0.650
2,9:29,4,17,CHI 41,0,6,"Pat O'Donnell punts 37 yards, out of bounds",-0.650,-0.410
2,9:21,1,10,CLE 22,0,6,Isaiah Crowell left guard for 2 yards (tackle by Eddie Goldman),0.410,0.140
2,8:39,2,8,CLE 24,0,6,Isaiah Crowell right tackle for 6 yards (tackle by Nick Kwiatkoski),0.140,0.230
2,7:54,3,2,CLE 30,0,6,Isaiah Crowell right end for 2 yards (tackle by Danny Trevathan and John Jenkins),0.230,1.070
2,7:09,1,10,CLE 32,0,6,DeShone Kizer pass complete short left to Seth Devalve for 5 yards (tackle by Eddie Jackson),1.070,1.200
2,6:32,2,5,CLE 37,0,6,Isaiah Crowell left tackle for 5 yards (tackle by Danny Trevathan),1.200,1.730
2,5:50,1,10,CLE 42,0,6,DeShone Kizer pass complete short right to Rashard Higgins for 3 yards (tackle by Bryce Callahan),1.730,1.590
2,5:12,2,7,CLE 45,0,6,DeShone Kizer pass complete short right to Seth Devalve for 3 yards (tackle by Adrian Amos),1.590,1.290
2,4:31,3,4,CLE 48,0,6,DeShone Kizer pass complete short right to Duke Johnson for 5 yards (tackle by Nick Kwiatkoski),1.290,2.460
2,3:58,1,10,CHI 47,0,6,DeShone Kizer pass complete short middle to Josh Gordon for 8 yards (tackle by Nick Kwiatkoski),2.460,2.990
2,3:25,2,2,CHI 39,0,6,Duke Johnson left guard for 5 yards (tackle by Nick Kwiatkoski),2.990,3.310
2,2:44,1,10,CHI 34,0,6,Isaiah Crowell right guard for 6 yards (tackle by Danny Trevathan),3.310,3.580
2,2:04,2,4,CHI 28,0,6,DeShone Kizer pass incomplete deep right intended for Josh Gordon is intercepted by Kyle Fuller at CHI--5,3.580,-0.280
2,1:57,1,10,CHI 20,0,6,Mitch Trubisky pass complete short right to Josh Bellamy for 16 yards (tackle by Christian Kirksey and Justin Currie),0.280,1.330
2,1:33,1,10,CHI 36,0,6,Mitch Trubisky pass incomplete short right intended for Daniel Brown,1.330,0.790
2,1:29,2,10,CHI 36,0,6,Mitch Trubisky pass incomplete short right intended for Dontrelle Inman (defended by Jamar Taylor),0.790,0.100
2,1:25,3,10,CHI 36,0,6,Mitch Trubisky left tackle for 14 yards,0.100,2.260
2,0:57,1,10,,0,6,Mitch Trubisky pass incomplete short right intended for Kendall Wright,2.260,1.710
2,0:53,2,10,,0,6,Mitch Trubisky pass incomplete deep right intended for Kendall Wright,1.710,1.030
2,0:48,3,10,,0,6,Mitch Trubisky sacked by Jamar Taylor and Joe Schobert for -7 yards,1.030,0.000
2,0:43,,,,,,Timeout #1 by Cleveland Browns,0.000,0.520
2,0:43,4,17,CHI 43,0,6,"Pat O'Donnell punts 44 yards, returned by Jabrill Peppers for 9 yards (tackle by John Timu)",-0.520,-0.410
2,0:31,1,10,CLE 22,0,6,DeShone Kizer pass complete short right to Duke Johnson for 13 yards (tackle by Sam Acho),0.410,0.000
2,0:22,,,,,,Timeout #2 by Cleveland Browns,0.000,-1.270
2,0:22,1,10,CLE 35,0,6,DeShone Kizer pass incomplete short middle intended for Corey Coleman,1.270,0.720
2,0:17,2,10,CLE 35,0,6,DeShone Kizer pass complete deep left to Ricardo Louis for 35 yards (tackle by Prince Amukamara),0.720,0.000
2,0:06,,,,,,Timeout #3 by Cleveland Browns,0.000,-3.580
2,0:06,1,10,CHI 30,3,6,Zane Gonzalez 48 yard field goal good,3.580,3.000
2,0:01,,,CLE 35,3,6,"Zane Gonzalez kicks off 42 yards, returned by Roy Robertson-Harris for 7 yards",0.000,1.270
Quarter,Time,Down,ToGo,Location,CLE,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,3,6,"Zane Gonzalez kicks off 53 yards, returned by Benny Cunningham for 28 yards (tackle by Sammie Coates)",0.000,-1.600
3,14:52,1,10,CHI 40,3,6,"Mitch Trubisky pass incomplete short middle intended for Jordan Howard is intercepted by Myles Garrett at CHI-42 and returned for 37 yards. Penalty on Carl Nassib: Defensive Offside, 5 yards (no play)",1.600,2.330
3,14:40,1,5,CHI 45,3,6,Jordan Howard right guard for -2 yards (tackle by James Burgess),2.330,1.460
3,14:05,2,7,CHI 43,3,6,Jordan Howard right guard for 1 yard (tackle by Nate Orchard),1.460,0.890
3,13:23,3,6,CHI 44,3,6,Mitch Trubisky pass complete short right to Benny Cunningham for 40 yards (tackle by Kai Nacua),0.890,4.510
3,12:30,1,10,CLE 16,3,12,"Jordan Howard left guard for 16 yards, touchdown",4.510,7.000
3,12:23,,,CLE 15,3,13,Mike Nugent kicks extra point good,0.000,0.000
3,12:23,,,CHI 35,3,13,"Mike Nugent kicks off 54 yards, returned by Matthew Dayes for 18 yards (tackle by Ben Braunecker)",0.000,-0.870
3,12:18,1,10,CLE 29,3,13,"Isaiah Crowell right guard for 4 yards (tackle by Akiem Hicks). Penalty on Kevin Zeitler: Offensive Holding, 10 yards (no play)",0.870,0.110
3,11:58,1,20,CLE 19,3,13,Duke Johnson right guard for 6 yards (tackle by Akiem Hicks and Nick Kwiatkoski),0.110,-0.210
3,11:18,2,14,CLE 25,3,13,DeShone Kizer pass incomplete deep right intended for Seth Devalve,-0.210,-0.890
3,11:12,3,14,CLE 25,3,13,DeShone Kizer pass incomplete deep right intended for Josh Gordon (defended by Kyle Fuller),-0.890,-1.700
3,11:07,4,14,CLE 25,3,13,"Britton Colquitt punts 40 yards, returned by Tarik Cohen for -1 yards (tackle by Ricardo Louis)",-1.700,-1.200
3,10:57,1,10,CHI 34,3,13,Mitch Trubisky pass complete short right to Dontrelle Inman for 6 yards (tackle by Christian Kirksey),1.200,1.470
3,10:24,2,4,CHI 40,3,13,Jordan Howard right guard for 1 yard (tackle by Lavar Edwards and Joe Schobert),1.470,0.890
3,9:43,3,3,CHI 41,3,13,Mitch Trubisky pass complete short right to Benny Cunningham for 22 yards (tackle by Kai Nacua),0.890,3.120
3,9:04,1,10,CLE 37,3,13,Mitch Trubisky sacked by Larry Ogunjobi for -7 yards,3.120,1.630
3,8:20,2,17,CLE 44,3,13,Mitch Trubisky pass complete short middle to Kendall Wright for 9 yards (tackle by Christian Kirksey),1.630,2.150
3,7:38,3,8,CLE 35,3,13,Mitch Trubisky pass complete short left to Kendall Wright for 11 yards (tackle by James Burgess and Christian Kirksey),2.150,3.970
3,6:53,1,10,CLE 24,3,13,Jordan Howard left guard for -4 yards (tackle by James Burgess),3.970,2.890
3,6:06,2,14,CLE 28,3,13,Mitch Trubisky pass complete short right to Kendall Wright for no gain,2.890,2.210
3,5:22,3,14,CLE 28,3,13,Mitch Trubisky pass complete short middle to Tarik Cohen for 13 yards (tackle by James Burgess),2.210,2.590
,,,,,,,"CHI challenged the short of the line to gain ruling, and the play was upheld.",,
3,4:47,4,1,CLE 15,3,13,Jordan Howard right guard for 8 yards (tackle by Christian Kirksey). Penalty on Jabrill Peppers: Defensive Offside (Declined),2.590,5.600
3,4:18,1,7,CLE 7,3,13,Tarik Cohen left guard for 3 yards (tackle by Joe Schobert),5.600,5.340
3,3:33,2,4,CLE 4,3,19,"Mitch Trubisky middle for 4 yards, touchdown",5.340,7.000
3,3:27,,,CLE 15,3,20,"Mike Nugent kicks extra point good. Penalty on Carl Nassib: Defensive Holding, 5 yards",0.000,0.000
3,3:27,,,CHI 40,3,20,"Mike Nugent kicks off 60 yards, touchback",0.000,-0.610
3,3:27,1,10,CLE 25,3,20,DeShone Kizer pass complete short right to Duke Johnson for 29 yards (tackle by Bryce Callahan),0.610,2.520
3,2:43,1,10,CHI 46,3,20,DeShone Kizer pass incomplete short right intended for Isaiah Crowell (defended by Danny Trevathan),2.520,1.980
3,2:37,2,10,CHI 46,3,20,DeShone Kizer pass complete short left to Seth Devalve for 4 yards (tackle by Eddie Jackson),1.980,1.820
3,1:59,3,6,CHI 42,3,20,DeShone Kizer pass complete short middle to Duke Johnson for 15 yards (tackle by Eddie Jackson),1.820,3.780
3,1:16,1,10,CHI 27,3,20,Duke Johnson left end for 7 yards (tackle by Prince Amukamara),3.780,4.180
3,0:47,2,3,CHI 20,3,20,DeShone Kizer pass incomplete short right intended for Corey Coleman,4.180,3.470
3,0:40,3,3,CHI 20,3,20,"DeShone Kizer pass complete short left to Rashard Higgins for 17 yards (tackle by Danny Trevathan and Eddie Goldman). Rashard Higgins fumbles (forced by Danny Trevathan), recovered by Prince Amukamara at CHI--4",3.470,-0.280
3,0:19,1,10,CHI 20,3,20,Mitch Trubisky pass complete short left to Dontrelle Inman for 13 yards (tackle by Jason McCourty),0.280,1.140
Quarter,Time,Down,ToGo,Location,CLE,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 33,3,20,Mitch Trubisky pass incomplete short left intended for Michael Burton,1.140,0.590
4,14:56,2,10,CHI 33,3,20,Jordan Howard right end for 2 yards (tackle by Jabrill Peppers),0.590,0.170
4,14:18,3,8,CHI 35,3,20,Mitch Trubisky pass incomplete short right intended for Dion Sims,0.170,-1.040
4,14:13,4,8,CHI 35,3,20,"Pat O'Donnell punts 37 yards, fair catch by Jabrill Peppers",-1.040,-0.810
4,14:06,1,10,CLE 28,3,20,DeShone Kizer sacked by Sam Acho and Akiem Hicks for -4 yards,0.810,-0.280
4,13:26,2,14,CLE 24,3,20,DeShone Kizer left tackle for 4 yards (tackle by Roy Robertson-Harris and Nick Kwiatkoski),-0.280,-0.430
4,12:42,3,10,CLE 28,3,20,DeShone Kizer pass complete short right to Corey Coleman for 3 yards (tackle by Nick Kwiatkoski),-0.430,-1.310
4,11:53,4,7,CLE 31,3,20,Britton Colquitt punts 51 yards,-1.310,-0.040
4,11:43,1,10,CHI 18,3,20,Jordan Howard left end for no gain (tackle by Larry Ogunjobi),0.040,-0.490
4,11:04,2,10,CHI 18,3,20,Jordan Howard left guard for -1 yards (tackle by James Burgess and Larry Ogunjobi),-0.490,-1.340
4,10:18,3,11,CHI 17,3,20,Mitch Trubisky sacked by James Burgess for -3 yards,-1.340,-2.470
4,9:27,4,14,CHI 14,3,20,"Pat O'Donnell punts 41 yards, returned by Jabrill Peppers for 12 yards (tackle by DeAndre Houston-Carson). Jabrill Peppers fumbles (forced by DeAndre Houston-Carson), recovered by Derron Smith at CHI-43 (tackle by Christian Jones). Penalty on Sammie Coates: Offensive Holding, 10 yards, Penalty on Ricardo Louis: Offensive Holding (Declined)",-2.470,-1.270
4,9:11,1,10,CLE 35,3,20,DeShone Kizer pass complete short middle to Duke Johnson for 4 yards (tackle by Jonathan Bullard),1.270,1.260
4,8:45,2,6,CLE 39,3,20,DeShone Kizer pass incomplete short right intended for Corey Coleman (defended by Kyle Fuller),1.260,0.560
4,8:41,3,6,CLE 39,3,20,DeShone Kizer pass complete short right to Duke Johnson for 6 yards (tackle by Kyle Fuller),0.560,1.930
4,8:11,1,10,CLE 45,3,20,DeShone Kizer pass incomplete short right intended for Josh Gordon (defended by Kyle Fuller),1.930,1.380
4,8:07,2,10,CLE 45,3,20,DeShone Kizer pass incomplete short right intended for Isaiah Crowell,1.380,0.700
4,8:01,3,10,CLE 45,3,20,DeShone Kizer pass incomplete short right intended for Corey Coleman,0.700,-0.390
4,7:57,4,10,CLE 45,3,20,"Britton Colquitt punts 47 yards, fair catch by Tarik Cohen",-0.390,0.380
4,7:50,1,10,CHI 8,3,20,Jordan Howard left tackle for 1 yard (tackle by Trevon Coley),-0.380,-0.710
4,7:11,2,9,CHI 9,3,20,Jordan Howard left guard for -1 yards (tackle by Christian Kirksey),-0.710,0.000
4,6:58,,,,,,Timeout #1 by Cleveland Browns,0.000,1.420
4,6:58,3,10,CHI 8,3,20,Mitch Trubisky pass incomplete short left intended for Dontrelle Inman (defended by Jason McCourty),-1.420,-2.490
4,6:53,4,10,CHI 8,3,20,"Pat O'Donnell punts 50 yards, returned by Jabrill Peppers for 9 yards (tackle by Christian Jones)",-2.490,-2.320
4,6:43,1,10,CHI 49,3,20,DeShone Kizer pass incomplete short right intended for Corey Coleman,2.320,1.780
4,6:38,2,10,CHI 49,3,20,DeShone Kizer pass complete short right to Josh Gordon for 11 yards (tackle by Adrian Amos),1.780,3.050
4,6:10,1,10,CHI 38,3,20,DeShone Kizer pass complete short right to Duke Johnson for 9 yards (tackle by Danny Trevathan),3.050,3.720
4,5:38,2,1,CHI 29,3,20,"Duke Johnson left guard for 10 yards (tackle by Nick Kwiatkoski). Penalty on Shon Coleman: Offensive Holding, 10 yards (no play)",3.720,2.370
4,5:10,2,11,CHI 39,3,20,DeShone Kizer pass complete short right to Isaiah Crowell for -1 yards (tackle by John Timu),2.370,1.550
4,4:29,3,12,CHI 40,3,20,DeShone Kizer left end for 2 yards (tackle by Bryce Callahan),1.550,0.720
4,4:21,4,10,CHI 38,3,20,DeShone Kizer pass incomplete short left intended for Rashard Higgins is intercepted by Bryce Callahan at CHI-37 and returned for 21 yards,0.720,-2.790
4,4:11,1,10,CLE 42,3,20,Mitch Trubisky pass incomplete short right intended for Josh Bellamy,2.790,2.240
4,4:07,2,10,CLE 42,3,20,"Penalty on Michael Burton: False Start, 5 yards (no play)",2.240,1.570
4,4:07,2,15,CLE 47,3,20,Jordan Howard left end for 9 yards (tackle by James Burgess),1.570,2.080
4,3:21,3,6,CLE 38,3,20,Jordan Howard left end for 8 yards (tackle by Joe Schobert),2.080,3.580
4,2:30,1,10,CLE 30,3,20,Jordan Howard right tackle for no gain (tackle by Jamar Taylor),3.580,3.030
4,2:00,2,10,CLE 30,3,20,"Jordan Howard left end for 3 yards (tackle by Jason McCourty). Penalty on Cody Whitehair: Offensive Holding, 10 yards (no play)",3.030,1.680
4,1:54,2,20,CLE 40,3,20,Jordan Howard right tackle for 2 yards (tackle by Christian Kirksey),1.680,1.290
4,1:04,3,18,CLE 38,3,20,Jordan Howard left tackle for -5 yards (tackle by Larry Ogunjobi),1.290,0.000
4,0:13,,,,,,Timeout #2 by Chicago Bears,0.000,-0.400
4,0:13,4,23,CLE 43,3,20,"Pat O'Donnell punts 42 yards, out of bounds",0.400,0.380
4,0:05,1,10,CLE 1,3,20,Matthew Dayes right guard for 3 yards (tackle by John Jenkins),-0.380,-0.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
