Unnamed: 0,CLE,CHI
First Downs,12,16
Rush-Yds-TDs,20-76-0,31-97-3
Cmp-Att-Yd-TD-INT,18-36-182-0-2,14-23-193-0-0
Sacked-Yards,1-4,5-32
Net Pass Yards,178,161
Total Yards,254,258
Fumbles-Lost,2-1,1-0
Turnovers,3,0
Penalties-Yards,8-60,4-25
Third Down Conv.,4-13,7-16
Fourth Down Conv.,0-1,1-1
Time of Possession,26:46,33:14
