Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 74 yards, returned by Mark Jones for 26 yards (tackle by Ramzee Robinson)",0.000,0.410
1,14:57,1,10,TAM 22,0,0,"Penalty on Anthony Becht: False Start, 5 yards (no play)",0.410,-0.120
1,14:57,1,15,TAM 17,0,0,Earnest Graham left tackle for 14 yards (tackle by Dewayne White),-0.120,1.080
1,14:24,2,1,TAM 31,0,0,"Jeff Garcia pass complete deep right to Michael Clayton for 20 yards (tackle by Gerald Alexander). Penalty on Shaun Rogers: Face Mask (15 Yards) (Offsetting), Penalty on Jeremy Trueblood: Personal Foul (Offsetting)",1.080,2.320
1,13:52,1,10,DET 49,0,0,Earnest Graham right tackle for 5 yards (tackle by Ernie Sims and Kenoy Kennedy),2.320,2.460
1,13:40,2,5,DET 44,0,0,Jeff Garcia pass incomplete short left intended for Earnest Graham (defended by Paris Lenon),2.460,1.750
,,,,,,,"TAM challenged the ruling, and the original play was overturned.",,
1,13:16,3,5,DET 44,0,0,Jeff Garcia sacked by Dewayne White for -8 yards,1.750,-0.190
1,12:32,4,13,TAM 48,0,0,Josh Bidwell punts no gain,-0.190,-3.120
1,12:25,1,10,TAM 37,0,0,Kevin Jones up the middle for 9 yards (tackle by Tanard Jackson),3.120,3.790
1,11:59,2,1,TAM 28,0,0,Kevin Jones left end for 7 yards (tackle by Derrick Brooks and Cato June),3.790,4.170
1,11:17,1,10,TAM 21,0,0,Kevin Jones right end for 6 yards (tackle by Derrick Brooks),4.170,4.550
1,10:38,2,4,TAM 15,0,0,Kevin Jones right end for -1 yards (tackle by Barrett Ruud and Jermaine Phillips),4.550,3.630
1,9:58,3,5,TAM 16,0,0,Jon Kitna pass incomplete short middle intended for Shaun McDonald,3.630,2.430
,,,,,,,"DET challenged the ruling, and the original play was overturned.",,
1,9:55,4,5,TAM 16,0,3,Jason Hanson 34 yard field goal good,2.430,3.000
1,,,,DET 30,0,3,"Jason Hanson kicks off 70 yards, touchback",0.000,0.280
1,9:53,1,10,TAM 20,0,3,Earnest Graham left end for 2 yards (tackle by Ernie Sims),0.280,0.000
1,9:14,2,8,TAM 22,0,3,Jeff Garcia pass complete short left to Joey Galloway for 7 yards (tackle by Travis Fisher),0.000,0.230
1,8:53,3,1,TAM 29,0,3,Earnest Graham right tackle for 1 yard (tackle by Paris Lenon),0.230,0.940
1,8:14,1,10,TAM 30,0,3,Jeff Garcia pass complete short left to Earnest Graham for 9 yards (tackle by Kalimba Edwards),0.940,1.610
1,7:30,2,1,TAM 39,0,3,Earnest Graham left tackle for 10 yards (tackle by Dewayne White),1.610,2.190
1,6:45,1,10,TAM 49,0,3,Michael Bennett left tackle for 4 yards (tackle by Ernie Sims and Travis Fisher),2.190,2.190
1,6:05,2,6,DET 47,0,3,Jeff Garcia pass complete short middle to Earnest Graham for 10 yards (tackle by Ernie Sims),2.190,3.120
