Quarter,Time,Tm,Detail,TAM,DET
1.0,9:53,Lions,Jason Hanson 34 yard field goal,0,3
,2:51,Lions,Kevin Jones 1 yard rush (Jason Hanson kick),0,10
2.0,12:48,Buccaneers,Ike Hilliard 5 yard pass from Jeff Garcia (Matt Bryant kick),7,10
,0:05,Lions,Jason Hanson 42 yard field goal,7,13
3.0,4:13,Lions,Jason Hanson 32 yard field goal,7,16
4.0,6:28,Lions,Calvin Johnson 32 yard rush (Jason Hanson kick),7,23
,2:03,Buccaneers,Maurice Stovall 4 yard pass from Jeff Garcia (pass failed),13,23
,1:04,Buccaneers,Matt Bryant 48 yard field goal,16,23
