Unnamed: 0,TAM,DET
First Downs,27,17
Rush-Yds-TDs,29-124-0,24-147-2
Cmp-Att-Yd-TD-INT,37-45-316-2-0,16-20-147-0-0
Sacked-Yards,3-18,3-16
Net Pass Yards,298,131
Total Yards,422,278
Fumbles-Lost,2-2,1-0
Turnovers,2,0
Penalties-Yards,7-60,4-23
Third Down Conv.,8-14,3-8
Fourth Down Conv.,1-1,0-0
Time of Possession,35:50,24:10
