Unnamed: 0,IND,HOU
First Downs,15,26
Rush-Yds-TDs,16-64-0,41-167-2
Cmp-Att-Yd-TD-INT,16-31-197-1-0,17-24-220-1-2
Sacked-Yards,3-25,1-3
Net Pass Yards,172,217
Total Yards,236,384
Fumbles-Lost,3-2,1-1
Turnovers,2,3
Penalties-Yards,6-60,4-30
Third Down Conv.,1-9,5-11
Fourth Down Conv.,0-1,0-0
Time of Possession,23:16,36:44
