Unnamed: 0,CAR,GNB
First Downs,20,20
Rush-Yds-TDs,27-115-1,27-195-2
Cmp-Att-Yd-TD-INT,21-35-258-0-0,20-29-143-1-0
Sacked-Yards,3-9,5-47
Net Pass Yards,249,96
Total Yards,364,291
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,7-66,5-50
Third Down Conv.,4-12,5-12
Fourth Down Conv.,1-2,0-0
Time of Possession,30:51,29:09
