Quarter,Time,Tm,Detail,CAR,GNB
1.0,9:54,Packers,Robert Tonyan 1 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,5:57,Panthers,Joey Slye 36 yard field goal,3,7
2.0,14:09,Packers,Aaron Rodgers 6 yard rush (Mason Crosby kick),3,14
,3:58,Packers,Aaron Jones 8 yard rush (Mason Crosby kick),3,21
3.0,5:15,Panthers,Teddy Bridgewater 13 yard rush (Joey Slye kick),10,21
4.0,8:39,Panthers,Joey Slye 22 yard field goal,13,21
,3:39,Packers,Mason Crosby 51 yard field goal,13,24
,2:04,Panthers,Joey Slye 33 yard field goal,16,24
