Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
2,14:15,3,6,CAR 6,3,13,"Aaron Rodgers right tackle for 6 yards, touchdown",4.040,7.000
2,14:09,,,CAR 15,3,14,Mason Crosby kicks extra point good,0.000,0.000
2,14:09,,,GNB 35,3,14,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
2,14:09,1,10,CAR 25,3,14,Mike Davis up the middle for 12 yards (tackle by Darnell Savage and Kamal Martin),0.610,1.400
2,13:35,1,10,CAR 37,3,14,Mike Davis left guard for 3 yards (tackle by Adrian Amos),1.400,1.260
2,13:04,2,7,CAR 40,3,14,Rodney Smith left tackle for 5 yards (tackle by Kevin King),1.260,1.220
2,12:24,3,2,CAR 45,3,14,Mike Davis left guard for 3 yards (tackle by Krys Barnes and Preston Smith),1.220,2.130
2,11:55,1,10,CAR 48,3,14,"Curtis Samuel left end for no gain (tackle by Kamal Martin and Kenny Clark). Penalty on Trenton Scott: Offensive Holding, 10 yards (no play)",2.130,1.470
2,11:43,1,20,CAR 38,3,14,"Teddy Bridgewater pass complete short left to Curtis Samuel for 6 yards (tackle by Kevin King). Curtis Samuel fumbles (forced by Kevin King), recovered by Curtis Samuel at CAR-44. Penalty on Kevin King: Lowering the Head to Initiate Contact, 15 yards",1.470,2.850
2,11:16,1,10,GNB 41,3,14,Mike Davis left guard for 3 yards (tackle by Krys Barnes),2.850,2.710
2,10:37,2,7,GNB 38,3,14,Teddy Bridgewater pass complete short middle to Curtis Samuel for 16 yards (tackle by Chandon Sullivan),2.710,4.110
2,9:51,1,10,GNB 22,3,14,Curtis Samuel up the middle for 5 yards (tackle by Kenny Clark),4.110,4.290
2,9:07,2,5,GNB 17,3,14,Mike Davis left guard for 2 yards (tackle by Kevin King),4.290,3.930
2,8:25,3,3,GNB 15,3,14,Rodney Smith right guard for 2 yards (tackle by Za'Darius Smith and Preston Smith),3.930,2.720
2,8:06,4,1,GNB 13,3,14,Rodney Smith right tackle for 12 yards (tackle by Adrian Amos),2.720,6.970
2,7:39,1,1,GNB 1,3,14,"Teddy Bridgewater up the middle for -4 yards (tackle by Krys Barnes). Teddy Bridgewater fumbles (forced by Krys Barnes), recovered by Kevin King at GB-5 and returned for 48 yards (tackle by D.J. Moore)",6.970,-2.460
2,7:29,1,10,CAR 47,3,14,"Aaron Rodgers right end for 5 yards (tackle by Brian Burns). Penalty on Shaq Thompson: Illegal Contact, 5 yards",2.460,3.120
2,6:59,1,10,CAR 37,3,14,Aaron Rodgers pass complete short left to Davante Adams for 6 yards (tackle by Rasul Douglas),3.120,3.380
2,6:33,2,4,CAR 31,3,14,Aaron Jones left end for 7 yards (tackle by Donte Jackson),3.380,3.970
2,6:03,1,10,CAR 24,3,14,Aaron Jones left tackle for 3 yards (tackle by Jeremy Chinn),3.970,3.840
2,5:20,2,7,CAR 21,3,14,Aaron Jones left guard for 8 yards (tackle by Rasul Douglas),3.840,4.710
2,4:42,1,10,CAR 13,3,14,Aaron Jones up the middle for 5 yards (tackle by Tre Boston),4.710,4.960
2,4:04,2,5,CAR 8,3,20,"Aaron Jones left tackle for 8 yards, touchdown",4.960,7.000
2,3:58,,,CAR 15,3,21,Mason Crosby kicks extra point good,0.000,0.000
2,3:58,,,GNB 35,3,21,"Mason Crosby kicks off 63 yards, returned by Trenton Cannon for 28 yards (tackle by Chandon Sullivan)",0.000,0.940
2,3:53,1,10,CAR 30,3,21,Teddy Bridgewater pass incomplete short left intended for Curtis Samuel,0.940,0.390
2,3:48,2,10,CAR 30,3,21,Teddy Bridgewater pass incomplete short middle intended for Pharoh Cooper (defended by Darnell Savage),0.390,-0.300
2,3:44,3,10,CAR 30,3,21,Teddy Bridgewater pass incomplete short right intended for D.J. Moore (defended by Jaire Alexander),-0.300,-1.370
2,3:40,4,10,CAR 30,3,21,Joseph Charlton punts 45 yards downed by Adarius Taylor,-1.370,-0.610
2,3:28,1,10,GNB 25,3,21,Aaron Rodgers pass incomplete deep right intended for Davante Adams,0.610,0.060
2,3:22,2,10,GNB 25,3,21,Aaron Rodgers pass complete short right to Allen Lazard for 12 yards (tackle by Rasul Douglas),0.060,1.400
2,2:47,1,10,GNB 37,3,21,Aaron Rodgers pass complete short left to Allen Lazard for 4 yards (tackle by Jermaine Carter and Juston Burris),1.400,1.400
2,2:09,2,6,GNB 41,3,21,AJ Dillon left tackle for 18 yards (tackle by Jeremy Chinn),1.400,2.850
2,2:00,1,10,CAR 41,3,21,Aaron Rodgers pass incomplete short middle,2.850,2.310
2,1:57,2,10,CAR 41,3,21,Aaron Rodgers sacked by Brian Burns for -10 yards,2.310,0.300
2,1:50,,,,,,Timeout #1 by Carolina Panthers,,
2,1:50,3,20,GNB 49,3,21,Aaron Rodgers left tackle for 10 yards (tackle by Shaq Thompson),0.300,0.530
2,1:38,,,,,,Timeout #2 by Carolina Panthers,,
2,1:38,4,10,CAR 41,3,21,JK Scott punts 36 yards downed by Adrian Amos,0.530,0.380
2,1:29,1,10,CAR 5,3,21,Teddy Bridgewater pass complete short left to D.J. Moore for 20 yards (tackle by Darnell Savage),-0.380,0.610
2,1:20,1,10,CAR 25,3,21,Teddy Bridgewater pass incomplete short right intended for Ian Thomas (defended by Adrian Amos),0.610,0.060
2,1:15,2,10,CAR 25,3,21,Teddy Bridgewater pass incomplete short right intended for Curtis Samuel (defended by Chandon Sullivan),0.060,-0.620
2,1:10,3,10,CAR 25,3,21,Teddy Bridgewater pass incomplete short middle intended for Curtis Samuel (defended by Adrian Amos),-0.620,-1.700
2,1:05,4,10,CAR 25,3,21,"Joseph Charlton punts 49 yards, returned by Tavon Austin for 5 yards (tackle by Julian Stanford)",-1.700,-1.000
2,0:55,1,10,GNB 31,3,21,Aaron Rodgers sacked by Derrick Brown for -6 yards,1.000,-0.350
2,0:26,2,16,GNB 25,3,21,"Aaron Rodgers pass complete short left to Davante Adams for 3 yards (tackle by Shaq Thompson). Penalty on Robert Tonyan: Illegal Block Above the Waist, 10 yards",-0.350,-1.400
2,0:21,2,23,GNB 18,3,21,Aaron Rodgers pass complete short right to Allen Lazard for 14 yards (tackle by Myles Hartsfield),-1.400,-0.100
2,0:16,3,9,GNB 32,3,21,Aaron Rodgers pass incomplete deep left intended for Allen Lazard,-0.100,-1.240
2,0:09,4,9,GNB 32,3,21,JK Scott punts 57 yards downed by Will Redmond,-1.240,1.070
Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,3,21,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,GNB 25,3,21,Aaron Jones left tackle for 3 yards (tackle by Rasul Douglas and Jermaine Carter),0.610,0.470
3,14:27,2,7,GNB 28,3,21,Aaron Rodgers pass incomplete short middle intended for Davante Adams,0.470,-0.230
3,14:23,3,7,GNB 28,3,21,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling (defended by Myles Hartsfield),-0.230,-1.500
3,14:18,4,7,GNB 28,3,21,JK Scott punts 36 yards downed by Randy Ramsey,-1.500,-1.330
3,14:05,1,10,CAR 36,3,21,Teddy Bridgewater pass complete short middle to Curtis Samuel for 7 yards (tackle by Krys Barnes),1.330,1.740
3,13:38,2,3,CAR 43,3,21,Mike Davis right end for 3 yards (tackle by Krys Barnes),1.740,1.990
3,12:52,1,10,CAR 46,3,21,Teddy Bridgewater sacked by Adrian Amos for no gain,1.990,1.450
3,12:45,2,10,CAR 46,3,21,Teddy Bridgewater pass complete short middle to Mike Davis for -6 yards (tackle by Krys Barnes),1.450,-0.030
3,12:03,3,16,CAR 40,3,21,Teddy Bridgewater pass complete short left to Rodney Smith for 6 yards (tackle by Kevin King),-0.030,-0.320
3,11:20,4,10,CAR 46,3,21,"Joseph Charlton punts 39 yards, fair catch by Tavon Austin at GB-15",-0.320,0.220
3,11:12,1,10,GNB 15,3,21,Aaron Rodgers pass complete short left to Aaron Jones for 6 yards (tackle by Shaq Thompson),-0.220,0.210
3,10:39,2,4,GNB 21,3,21,Aaron Jones left tackle for 2 yards (tackle by Rasul Douglas and Jeremy Chinn),0.210,-0.390
3,9:58,3,2,GNB 23,3,21,Aaron Rodgers sacked by Derrick Brown for -9 yards,-0.390,-2.470
3,9:17,4,11,GNB 14,3,21,"JK Scott punts 38 yards, returned by Pharoh Cooper for 1 yard (tackle by Randy Ramsey)",-2.470,-2.190
3,9:08,1,10,CAR 49,3,21,Mike Davis up the middle for 9 yards (tackle by Za'Darius Smith and Rashan Gary),2.190,2.860
3,8:31,2,1,GNB 42,3,21,Mike Davis right tackle for 2 yards (tackle by Christian Kirksey and Rashan Gary),2.860,2.920
3,7:50,1,10,GNB 40,3,21,Teddy Bridgewater pass complete short right to D.J. Moore for 18 yards (tackle by Kamal Martin),2.920,4.110
3,7:06,1,10,GNB 22,3,21,D.J. Moore left tackle for 1 yard (tackle by Chandon Sullivan and Kenny Clark),4.110,3.700
3,6:25,2,9,GNB 21,3,21,Teddy Bridgewater pass incomplete deep right intended for Robby Anderson,3.700,3.010
3,6:19,3,9,GNB 21,3,21,"Teddy Bridgewater pass complete short right to Robby Anderson for 4 yards (tackle by Chandon Sullivan). Penalty on Kevin King: Defensive Holding, 5 yards (no play)",3.010,4.510
3,6:02,1,10,GNB 16,3,21,Mike Davis right end for 3 yards (tackle by Christian Kirksey),4.510,4.390
3,5:22,2,7,GNB 13,9,21,"Teddy Bridgewater up the middle for 13 yards, touchdown",4.390,7.000
3,5:15,,,GNB 15,10,21,Joey Slye kicks extra point good,0.000,0.000
3,5:15,,,CAR 35,10,21,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,5:15,1,10,GNB 25,10,21,"Aaron Jones left tackle for 10 yards (tackle by Tre Boston). Penalty on Bravvion Roy: Defensive Holding, 5 yards",0.610,1.600
3,4:41,1,10,GNB 40,10,21,Aaron Jones left tackle for 2 yards (tackle by Derrick Brown),1.600,1.320
3,4:04,2,8,GNB 42,10,21,Aaron Rodgers pass complete short right to Allen Lazard for 4 yards (tackle by Myles Hartsfield),1.320,1.160
3,3:22,3,4,GNB 46,10,21,Aaron Rodgers pass complete short right to Aaron Jones for -2 yards (tackle by Shaq Thompson),1.160,-0.460
3,2:39,4,6,GNB 44,10,21,"JK Scott punts 55 yards, returned by Pharoh Cooper for 19 yards (tackle by Ty Summers)",-0.460,-0.280
3,2:23,1,10,CAR 20,10,21,Teddy Bridgewater pass complete short middle to Rodney Smith for 7 yards (tackle by Adrian Amos),0.280,0.680
3,1:41,2,3,CAR 27,10,21,Rodney Smith up the middle for 4 yards (tackle by Christian Kirksey and Tyler Lancaster),0.680,1.000
3,0:56,1,10,CAR 31,10,21,Teddy Bridgewater pass complete short right to Alex Armah for 9 yards (tackle by Jaire Alexander),1.000,1.680
3,0:10,2,1,CAR 40,10,21,Mike Davis up the middle for 6 yards (tackle by Kamal Martin and Christian Kirksey),1.680,1.990
Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CAR 46,10,21,Teddy Bridgewater pass complete short right to Robby Anderson for 6 yards (tackle by Jaire Alexander),1.990,2.260
4,14:27,2,4,GNB 48,10,21,Mike Davis left tackle for no gain (tackle by Kamal Martin),2.260,1.550
4,13:45,3,4,GNB 48,10,21,Teddy Bridgewater pass complete short left to Ian Thomas for 9 yards (tackle by Kevin King),1.550,2.980
4,13:13,1,10,GNB 39,10,21,Mike Davis left guard for 5 yards (tackle by Christian Kirksey),2.980,3.120
4,12:29,2,5,GNB 34,10,21,Teddy Bridgewater pass complete short middle to Robby Anderson for 15 yards (tackle by Kevin King),3.120,4.310
4,11:47,1,10,GNB 19,10,21,Brandon Zylstra left end for 1 yard (tackle by Randy Ramsey),4.310,3.880
4,10:59,2,9,GNB 18,10,21,Teddy Bridgewater pass incomplete short middle intended for Rodney Smith (defended by Dean Lowry),3.880,3.140
4,10:54,,,,,,Timeout #1 by Carolina Panthers,,
4,10:54,3,9,GNB 18,10,21,Teddy Bridgewater up the middle for 10 yards (tackle by Christian Kirksey),3.140,5.370
4,10:24,1,8,GNB 8,10,21,Curtis Samuel up the middle for 1 yard (tackle by Darnell Savage),5.370,4.760
4,9:41,2,7,GNB 7,10,21,Teddy Bridgewater pass incomplete short left intended for Robby Anderson (defended by Adrian Amos),4.760,3.810
4,9:36,3,7,GNB 7,10,21,"Teddy Bridgewater up the middle for 5 yards (tackle by Chandon Sullivan). Teddy Bridgewater fumbles (forced by Chandon Sullivan), recovered by Ian Thomas at GB-0. Penalty on John Miller: Offensive Holding, 10 yards (no play)",3.810,2.740
4,9:27,3,17,GNB 17,10,21,Teddy Bridgewater pass complete short middle to Curtis Samuel for 13 yards (tackle by Christian Kirksey),2.740,3.030
4,8:42,4,4,GNB 4,13,21,Joey Slye 22 yard field goal good,3.030,3.000
4,8:39,,,CAR 35,13,21,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,8:39,1,10,GNB 25,13,21,Aaron Rodgers pass complete short right to Robert Tonyan for 10 yards (tackle by Rasul Douglas),0.610,1.270
4,8:09,1,10,GNB 35,13,21,Aaron Jones right end for 5 yards (tackle by Jermaine Carter),1.270,1.400
4,7:24,2,5,GNB 40,13,21,Aaron Rodgers up the middle for 6 yards (tackle by Bravvion Roy),1.400,1.990
4,6:44,1,10,GNB 46,13,21,Aaron Jones up the middle for 3 yards (tackle by Bravvion Roy and Jermaine Carter),1.990,1.860
4,6:07,2,7,GNB 49,13,21,Aaron Rodgers pass incomplete short left intended for Davante Adams Penalty on GNB: Illegal Shift (Declined),1.860,1.160
4,6:03,3,7,GNB 49,13,21,Aaron Rodgers pass complete short right to Allen Lazard for 22 yards (tackle by Tre Boston and Myles Hartsfield),1.160,3.640
4,5:15,1,10,CAR 29,13,21,Aaron Rodgers pass complete short left to Davante Adams for 2 yards (tackle by Donte Jackson),3.640,3.370
4,4:31,2,8,CAR 27,13,21,Aaron Rodgers pass complete short left to Davante Adams for 2 yards (tackle by Rasul Douglas),3.370,2.940
4,3:51,3,6,CAR 25,13,21,Aaron Rodgers sacked by Efe Obada for -8 yards,2.940,1.150
4,3:44,,,,,,Timeout #2 by Carolina Panthers,,
4,3:44,4,14,CAR 33,13,24,Mason Crosby 51 yard field goal good,1.150,3.000
4,3:39,,,GNB 35,13,24,"Mason Crosby kicks off 62 yards, returned by Trenton Cannon for 21 yards (tackle by Ty Summers)",0.000,0.540
4,3:33,1,10,CAR 24,13,24,Teddy Bridgewater pass complete short left to Ian Thomas for 5 yards (tackle by Vernon Scott),0.540,0.670
4,3:08,2,5,CAR 29,13,24,Teddy Bridgewater left end for 7 yards (tackle by Rashan Gary),0.670,1.330
4,2:44,1,10,CAR 36,13,24,Teddy Bridgewater sacked by Za'Darius Smith for -5 yards,1.330,0.120
4,2:24,2,15,CAR 31,13,24,Teddy Bridgewater pass complete short right to D.J. Moore for 14 yards (tackle by Jaire Alexander),0.120,1.290
4,2:17,3,1,CAR 45,13,24,Teddy Bridgewater pass complete short left to D.J. Moore for 40 yards (tackle by Darnell Savage),1.290,4.580
4,2:08,1,10,GNB 15,16,24,Joey Slye 33 yard field goal good,4.580,3.000
4,2:04,,,CAR 35,16,24,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,2:04,1,10,GNB 25,16,24,Aaron Jones right guard for 7 yards (tackle by Jermaine Carter and Jeremy Chinn),0.610,1.010
4,1:58,2,3,GNB 32,16,24,Aaron Jones right tackle for -1 yards (tackle by Bravvion Roy),1.010,0.170
4,1:53,,,,,,Timeout #3 by Carolina Panthers,,
4,1:53,,,,,,Timeout #1 by Green Bay Packers,,
4,1:53,3,4,GNB 31,16,24,Aaron Rodgers sacked by Brian Burns for -14 yards,0.170,-2.320
4,1:07,4,18,GNB 17,16,24,"JK Scott punts 53 yards, returned by Pharoh Cooper for no gain (tackle by Ty Summers). Penalty on Sam Franklin: Offensive Holding, 10 yards",-2.320,-0.280
4,0:55,1,10,CAR 20,16,24,"Teddy Bridgewater pass incomplete short middle. Penalty on Teddy Bridgewater: Intentional Grounding, 10 yards",0.280,-1.510
4,0:37,2,20,CAR 10,16,24,Teddy Bridgewater pass complete short left to Rodney Smith for 11 yards (tackle by Chandon Sullivan),-1.510,-0.820
4,0:30,3,9,CAR 21,16,24,Teddy Bridgewater pass incomplete deep middle intended for Curtis Samuel,-0.820,-1.960
4,0:24,4,9,CAR 21,16,24,"Teddy Bridgewater pass deep right is intercepted by Chandon Sullivan at GB-40 and returned for no gain. Penalty on Za'Darius Smith: Defensive Offside, 5 yards (no play)",-1.960,-1.630
4,0:18,4,4,CAR 26,16,24,Teddy Bridgewater pass incomplete short right intended for Robby Anderson,-1.630,-3.840
4,0:13,1,10,CAR 26,16,24,Aaron Rodgers kneels for -1 yards,3.840,3.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
